Performance Recorder: RTAR_1DOP_Detailed_RandPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      2.071        2.5636       0.61071       1.0595       1.445e+05    2.3121           5.951e+04   0.95219     5.384e+03   0.086144    0.0071177     
1      2.1518       2.3888       0.59071       1.1515       1.443e+05    2.3081           5.951e+04   0.95219     5.452e+03   0.087232    0.0071177     
2      2.0688       2.375        0.59809       1.1613       1.446e+05    2.3141           5.951e+04   0.95219     5.431e+03   0.086896    0.0071177     
3      2.2212       2.3551       0.58455       1.1085       1.446e+05    2.3135           5.951e+04   0.95219     5.376e+03   0.086016    0.0071177     
4      2.0481       2.4894       0.60963       1.2059       1.446e+05    2.3137           5.951e+04   0.95219     5.404e+03   0.086464    0.0071177     
5      2.0999       2.6313       0.58082       0.94689      1.447e+05    2.3146           5.951e+04   0.95219     5.366e+03   0.085856    0.0071177     
6      2.0153       2.6666       0.56942       1.1279       1.442e+05    2.3079           5.951e+04   0.95219     5.424e+03   0.086784    0.0071177     
7      2.0948       2.4645       0.61597       1.2532       1.445e+05    2.3123           5.951e+04   0.95219     5.346e+03   0.085536    0.0071177     
8      1.9828       2.3766       0.59166       1.3046       1.444e+05    2.3105           5.951e+04   0.95219     5.389e+03   0.086224    0.0071177     
9      2.0504       2.3588       0.60252       1.2803       1.443e+05    2.309            5.951e+04   0.95219     5.429e+03   0.086864    0.0071177     
10     2.1939       2.5516       0.60141       0.89342      1.446e+05    2.3133           5.951e+04   0.95219     5.392e+03   0.086272    0.0071177     
11     2.0906       2.4839       0.58586       1.1009       1.445e+05    2.3122           5.951e+04   0.95219     5.416e+03   0.086656    0.0071177     
12     2.0296       2.4622       0.60481       1.1831       1.444e+05    2.3108           5.951e+04   0.95219     5.487e+03   0.087792    0.0071177     
13     1.9718       2.4139       0.59791       1.2396       1.447e+05    2.3146           5.951e+04   0.95219     5.364e+03   0.085824    0.0071177     
14     1.9606       2.5264       0.6075        1.1876       1.445e+05    2.3119           5.951e+04   0.95219     5.409e+03   0.086544    0.0071177     
15     1.9699       2.7322       0.60423       0.99322      1.447e+05    2.3158           5.952e+04   0.95237     5.441e+03   0.087056    0.0071177     
