Performance Recorder: RTAR_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      15.838       97.472       0.82183      1.514e+05    2.4232           4.387e+05   7.0189          5.947e+04   0.9515      5.470e+03   0.08752     0.11425       
1      15.838       97.465       0.81423      1.456e+05    2.3295           4.418e+05   7.0692          6.027e+04   0.96429     5.428e+03   0.086848    0.11425       
2      15.838       97.46        0.82586      1.417e+05    2.2669           4.437e+05   7.0986          5.995e+04   0.95922     5.391e+03   0.086256    0.11425       
3      15.838       97.493       0.80549      1.525e+05    2.4394           4.313e+05   6.9008          5.783e+04   0.92526     5.368e+03   0.085888    0.11425       
4      15.837       97.472       0.83642      1.520e+05    2.4327           4.512e+05   7.2199          6.099e+04   0.97582     5.516e+03   0.088256    0.11425       
5      15.837       97.495       0.81156      1.386e+05    2.2173           4.389e+05   7.0232          5.988e+04   0.95806     5.506e+03   0.088096    0.11425       
6      15.837       97.459       0.80476      1.466e+05    2.3461           4.326e+05   6.9215          5.968e+04   0.95493     5.462e+03   0.087392    0.11425       
7      15.836       97.47        0.80675      1.464e+05    2.3417           4.344e+05   6.9503          5.838e+04   0.93408     5.414e+03   0.086624    0.11425       
8      15.838       97.471       0.82584      1.493e+05    2.3887           4.398e+05   7.0371          6.030e+04   0.96474     5.434e+03   0.086944    0.11425       
9      15.838       97.47        0.81393      1.453e+05    2.3244           4.466e+05   7.1462          6.034e+04   0.96538     5.465e+03   0.08744     0.11425       
10     15.839       97.463       0.81155      1.374e+05    2.1989           4.353e+05   6.9641          5.889e+04   0.94222     5.390e+03   0.08624     0.11425       
11     15.839       97.488       0.81911      1.468e+05    2.3495           4.454e+05   7.1269          5.975e+04   0.95597     5.462e+03   0.087392    0.11425       
12     15.844       97.461       0.79258      1.370e+05    2.1912           4.309e+05   6.8937          5.859e+04   0.93738     5.360e+03   0.08576     0.11425       
13     15.843       97.454       0.82617      1.475e+05    2.3595           4.452e+05   7.1239          5.952e+04   0.95237     5.455e+03   0.08728     0.11425       
14     15.843       97.46        0.81073      1.366e+05    2.1854           4.388e+05   7.021           5.941e+04   0.95062     5.430e+03   0.08688     0.11425       
15     15.844       97.488       0.80987      1.421e+05    2.2739           4.337e+05   6.9391          5.896e+04   0.94341     5.430e+03   0.08688     0.11425       
