Performance Recorder: RTAR_1D_Detailed_NoPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      28.198       19.915       0.21856      3.608e+04    0.57722          5.868e+04   0.93885         1.431e+04   0.22901     1.357e+03   0.021712    0.048956      
1      28.197       19.895       0.22347      3.828e+04    0.61251          5.887e+04   0.94197         1.438e+04   0.23013     1.349e+03   0.021584    0.048956      
2      28.196       19.874       0.21247      3.921e+04    0.62733          6.085e+04   0.97366         1.488e+04   0.23811     1.356e+03   0.021696    0.048956      
3      28.198       19.901       0.22526      3.991e+04    0.63854          6.010e+04   0.96155         1.474e+04   0.23586     1.380e+03   0.02208     0.048956      
4      28.197       19.885       0.22334      3.716e+04    0.59453          5.932e+04   0.94906         1.480e+04   0.23675     1.354e+03   0.021664    0.048956      
5      28.198       19.877       0.22461      3.794e+04    0.60701          5.879e+04   0.94066         1.456e+04   0.23293     1.357e+03   0.021712    0.048956      
6      28.196       19.884       0.22171      3.745e+04    0.59918          5.986e+04   0.95776         1.493e+04   0.23883     1.365e+03   0.02184     0.048956      
7      28.198       19.898       0.24673      3.658e+04    0.58525          6.134e+04   0.98136         1.532e+04   0.24517     1.379e+03   0.022064    0.048956      
8      28.196       19.923       0.21721      3.621e+04    0.57939          5.964e+04   0.9543          1.489e+04   0.23829     1.334e+03   0.021344    0.048956      
9      28.196       19.954       0.22177      3.647e+04    0.58355          5.785e+04   0.92562         1.443e+04   0.23091     1.356e+03   0.021696    0.048956      
10     28.197       19.88        0.2146       3.579e+04    0.57261          5.981e+04   0.95693         1.451e+04   0.23221     1.368e+03   0.021888    0.048956      
11     28.196       19.917       0.21421      3.627e+04    0.58038          6.007e+04   0.96109         1.472e+04   0.23546     1.363e+03   0.021808    0.048956      
12     28.197       19.887       0.21895      3.522e+04    0.56355          6.120e+04   0.97923         1.515e+04   0.24243     1.367e+03   0.021872    0.048956      
13     28.197       19.896       0.22922      3.467e+04    0.55472          6.260e+04   1.0016          1.543e+04   0.24683     1.407e+03   0.022512    0.048956      
14     28.197       19.898       0.22505      3.384e+04    0.54149          6.282e+04   1.0052          1.523e+04   0.24362     1.366e+03   0.021856    0.048956      
15     28.197       19.91        0.22029      3.384e+04    0.5415           5.850e+04   0.93605         1.426e+04   0.22814     1.341e+03   0.021456    0.048956      
16     28.195       19.896       0.20901      3.375e+04    0.53995          5.947e+04   0.95158         1.480e+04   0.23672     1.306e+03   0.020896    0.048956      
17     28.196       19.887       0.23265      3.782e+04    0.6052           6.175e+04   0.98795         1.521e+04   0.24338     1.366e+03   0.021856    0.048956      
18     28.196       19.887       0.21333      4.116e+04    0.65859          5.872e+04   0.93958         1.460e+04   0.23362     1.335e+03   0.02136     0.048956      
19     28.195       19.914       0.22127      3.960e+04    0.63355          6.036e+04   0.96568         1.484e+04   0.23738     1.355e+03   0.02168     0.048956      
20     28.195       19.869       0.21899      3.636e+04    0.58182          5.849e+04   0.93578         1.430e+04   0.22885     1.327e+03   0.021232    0.048956      
21     28.195       19.879       0.22185      3.753e+04    0.60054          6.150e+04   0.98397         1.514e+04   0.24227     1.376e+03   0.022016    0.048956      
22     28.194       19.876       0.21812      3.992e+04    0.63878          5.925e+04   0.94803         1.492e+04   0.23874     1.354e+03   0.021664    0.048956      
23     28.194       19.907       0.22         4.138e+04    0.66206          5.930e+04   0.94877         1.458e+04   0.2332      1.378e+03   0.022048    0.048956      
24     28.195       19.894       0.22521      3.846e+04    0.61544          6.092e+04   0.9748          1.500e+04   0.24008     1.354e+03   0.021664    0.048956      
25     28.195       19.894       0.21986      3.829e+04    0.61267          5.870e+04   0.93923         1.468e+04   0.23483     1.362e+03   0.021792    0.048956      
26     28.195       19.904       0.21342      3.766e+04    0.60262          5.681e+04   0.90893         1.403e+04   0.22446     1.328e+03   0.021248    0.048956      
27     28.195       19.921       0.21673      3.740e+04    0.59834          6.212e+04   0.994           1.535e+04   0.24565     1.392e+03   0.022272    0.048956      
28     28.191       19.888       0.22536      3.651e+04    0.58422          6.112e+04   0.97797         1.511e+04   0.24171     1.389e+03   0.022224    0.048956      
29     28.192       19.913       0.23037      3.698e+04    0.59162          6.338e+04   1.0141          1.552e+04   0.24827     1.390e+03   0.02224     0.048956      
