Performance Recorder: RTAR_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      35.275       136.43       0.64165      3.606e+04    0.57699          2.717e+05   4.3468          1.476e+04   0.23621     1.340e+03   0.02144     0.17315       
1      35.274       136.44       0.75135      3.629e+04    0.5807           2.746e+05   4.3938          1.489e+04   0.23819     1.371e+03   0.021936    0.17315       
2      35.275       136.46       0.69988      3.640e+04    0.5824           2.792e+05   4.467           1.519e+04   0.24298     1.351e+03   0.021616    0.17315       
3      35.275       136.46       0.68932      3.613e+04    0.57808          2.704e+05   4.3263          1.465e+04   0.23442     1.352e+03   0.021632    0.17315       
4      35.273       136.41       0.74793      3.618e+04    0.57888          2.694e+05   4.3101          1.464e+04   0.23419     1.352e+03   0.021632    0.17315       
5      35.275       136.45       0.75392      3.622e+04    0.57949          2.723e+05   4.357           1.482e+04   0.23709     1.364e+03   0.021824    0.17315       
6      35.275       136.42       0.73854      3.600e+04    0.57592          2.706e+05   4.3302          1.467e+04   0.23475     1.378e+03   0.022048    0.17315       
7      35.275       136.44       0.83221      3.621e+04    0.57942          2.717e+05   4.3469          1.472e+04   0.23552     1.371e+03   0.021936    0.17315       
8      35.274       136.45       0.622        3.638e+04    0.58213          2.689e+05   4.303           1.452e+04   0.23224     1.357e+03   0.021712    0.17315       
9      35.274       136.45       0.7419       3.622e+04    0.57949          2.723e+05   4.3565          1.472e+04   0.23549     1.344e+03   0.021504    0.17315       
10     35.274       136.46       0.82635      3.619e+04    0.57904          2.824e+05   4.5181          1.543e+04   0.24693     1.393e+03   0.022288    0.17315       
11     35.277       136.5        0.69547      3.617e+04    0.57874          2.720e+05   4.3526          1.479e+04   0.23659     1.372e+03   0.021952    0.17315       
12     35.276       136.41       0.77584      3.610e+04    0.57762          2.753e+05   4.4049          1.492e+04   0.23874     1.363e+03   0.021808    0.17315       
13     35.277       136.45       0.78465      3.614e+04    0.5783           2.791e+05   4.4655          1.518e+04   0.24282     1.369e+03   0.021904    0.17315       
14     35.278       136.42       0.69306      3.623e+04    0.5797           2.766e+05   4.4249          1.502e+04   0.2403      1.357e+03   0.021712    0.17315       
15     35.279       136.47       0.66281      3.613e+04    0.57808          2.708e+05   4.3328          1.472e+04   0.23558     1.362e+03   0.021792    0.17315       
16     35.276       136.42       0.7225       3.614e+04    0.57826          2.854e+05   4.5671          1.555e+04   0.2488      1.379e+03   0.022064    0.17315       
17     35.275       136.44       0.70582      3.630e+04    0.58085          2.901e+05   4.6415          1.578e+04   0.25253     1.400e+03   0.0224      0.17315       
18     35.275       136.45       0.70899      3.619e+04    0.5791           2.767e+05   4.4279          1.500e+04   0.24008     1.348e+03   0.021568    0.17315       
19     35.276       136.45       0.76122      3.640e+04    0.58238          2.778e+05   4.4448          1.504e+04   0.24069     1.368e+03   0.021888    0.17315       
