Performance Recorder: RTAR_2D_Detailed_GPPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      14.078        6.3736        1.5653       0.068661     3.740e+04    1.510e+04    2.814e+03    0.022946      
1      14.963        5.8473        1.1943       0.046349     3.613e+04    1.478e+04    1.174e+03    0.022946      
2      15.022        5.5628        1.1934       0.045818     3.822e+04    1.427e+04    1.094e+03    0.022946      
3      14.606        6.0348        1.2231       0.046058     3.747e+04    1.485e+04    1.062e+03    0.022946      
4      14.836        5.8923        1.1644       0.050717     3.646e+04    1.459e+04    1.255e+03    0.022946      
5      14.814        5.8451        1.2485       0.049706     3.517e+04    1.679e+04    1.306e+03    0.022946      
6      15.191        5.7123        1.1215       0.049595     3.679e+04    1.418e+04    1.217e+03    0.022946      
7      14.608        6.4033        1.1208       0.046009     3.542e+04    1.446e+04    1.181e+03    0.022946      
8      17.521        3.1831        1.2547       0.047601     3.614e+04    1.496e+04    1.174e+03    0.022946      
9      18.046        2.5816        1.3965       0.066979     3.650e+04    1.445e+04    2.678e+03    0.022946      
10     18.175        2.425         1.1715       0.045608     3.521e+04    1.462e+04    1.151e+03    0.022946      
11     17.791        2.875         1.2011       0.047532     3.578e+04    1.492e+04    1.149e+03    0.022946      
12     18.089        2.6882        1.1526       0.046489     3.725e+04    1.609e+04    1.210e+03    0.022946      
13     17.943        2.6997        1.2034       0.045528     3.643e+04    1.470e+04    1.139e+03    0.022946      
14     18.319        2.5894        1.1193       0.045558     3.494e+04    1.414e+04    1.197e+03    0.022946      
15     17.86         3.1744        1.1012       0.046128     3.704e+04    1.515e+04    1.216e+03    0.022946      
16     11.742        8.9899        1.2552       0.049596     3.557e+04    1.563e+04    1.094e+03    0.022946      
17     11.903        8.9135        1.202        0.046179     3.558e+04    1.418e+04    1.151e+03    0.022946      
18     11.573        8.8991        1.3479       0.083681     3.582e+04    1.467e+04    2.859e+03    0.022946      
19     11.705        8.969         1.2111       0.047712     3.707e+04    1.482e+04    1.202e+03    0.022946      
20     11.801        8.9392        1.1742       0.043734     3.571e+04    1.466e+04    1.119e+03    0.022946      
21     12.031        8.7107        1.1629       0.050538     3.640e+04    1.512e+04    1.108e+03    0.022946      
22     12.211        8.6794        1.1547       0.050758     3.589e+04    1.466e+04    1.206e+03    0.022946      
23     11.836        9.0768        1.1423       0.046089     3.708e+04    1.528e+04    1.213e+03    0.022946      
24     13.978        6.7559        1.2308       0.045107     3.657e+04    1.523e+04    1.062e+03    0.022946      
25     14.109        6.7284        1.1804       0.044145     3.626e+04    1.453e+04    1.149e+03    0.022946      
26     13.96         6.6828        1.1575       0.046109     3.614e+04    1.507e+04    1.202e+03    0.022946      
27     13.787        6.7627        1.3554       0.065947     3.585e+04    1.460e+04    2.876e+03    0.022946      
28     14.145        6.6569        1.1526       0.048283     3.649e+04    1.497e+04    1.154e+03    0.022946      
29     14.196        6.4839        1.1798       0.045617     3.667e+04    1.545e+04    1.161e+03    0.022946      
30     14.396        6.5016        1.1451       0.046319     3.582e+04    1.433e+04    1.187e+03    0.022946      
31     14.081        6.8566        1.1204       0.04679      3.615e+04    1.485e+04    1.232e+03    0.022946      
32     16.17         4.514         1.3363       0.054776     3.598e+04    1.511e+04    1.255e+03    0.022946      
33     16.576        4.2259        1.2362       0.045748     3.860e+04    1.511e+04    1.210e+03    0.022946      
34     16.831        3.7846        1.1745       0.043514     3.630e+04    1.459e+04    1.119e+03    0.022946      
35     16.358        4.3124        1.2064       0.051038     3.618e+04    1.490e+04    1.154e+03    0.022946      
36     16.652        3.9139        1.365        0.06722      3.628e+04    1.493e+04    2.676e+03    0.022946      
37     16.845        3.833         1.2444       0.052792     3.690e+04    1.468e+04    1.340e+03    0.022946      
38     16.958        3.8827        1.2162       0.046149     3.726e+04    1.494e+04    1.189e+03    0.022946      
39     16.732        4.1611        1.1634       0.04681      3.594e+04    1.476e+04    1.131e+03    0.022946      
40     15.374        5.2839        1.3347       0.047762     3.947e+04    1.448e+04    1.306e+03    0.022946      
41     15.879        4.973         1.1834       0.04676      3.543e+04    1.485e+04    1.139e+03    0.022946      
42     16.133        4.5231        1.1293       0.046771     3.720e+04    1.468e+04    1.108e+03    0.022946      
43     15.667        5.0361        1.1778       0.044246     3.756e+04    1.472e+04    1.161e+03    0.022946      
44     16.145        4.611         1.19         0.048063     3.577e+04    1.500e+04    1.340e+03    0.022946      
45     15.911        4.5989        1.3694       0.06728      3.809e+04    1.560e+04    2.840e+03    0.022946      
46     16.256        4.6156        1.1672       0.045308     3.754e+04    1.501e+04    1.184e+03    0.022946      
47     16.055        4.8799        1.1169       0.046419     3.692e+04    1.469e+04    1.066e+03    0.022946      
48     16.565        4.1311        1.2924       0.048353     3.542e+04    1.522e+04    1.217e+03    0.022946      
49     17.007        3.838         1.1854       0.048212     3.469e+04    1.443e+04    1.197e+03    0.022946      
50     17.209        3.4361        1.1678       0.046049     3.550e+04    1.495e+04    1.206e+03    0.022946      
51     17.206        3.4989        1.1889       0.050197     3.544e+04    1.458e+04    1.187e+03    0.022946      
52     17.427        3.2899        1.1926       0.046249     3.673e+04    1.522e+04    1.189e+03    0.022946      
53     17.249        3.4688        1.2          0.05205      3.692e+04    1.533e+04    1.184e+03    0.022946      
54     17.221        3.5404        1.3197       0.080065     3.706e+04    1.481e+04    2.586e+03    0.022946      
55     17.156        3.723         1.1859       0.046509     3.703e+04    1.448e+04    1.168e+03    0.022946      
56     16.036        4.6768        1.2562       0.04701      3.564e+04    1.439e+04    1.181e+03    0.022946      
57     16.423        4.4542        1.148        0.045588     3.708e+04    1.541e+04    1.216e+03    0.022946      
58     16.699        3.9697        1.1408       0.045949     3.723e+04    1.518e+04    1.213e+03    0.022946      
59     16.668        4.0599        1.1611       0.047732     3.678e+04    1.458e+04    1.232e+03    0.022946      
60     16.872        3.9254        1.1499       0.0466       3.638e+04    1.483e+04    1.131e+03    0.022946      
61     16.694        4.0255        1.1459       0.044646     3.581e+04    1.479e+04    1.066e+03    0.022946      
62     16.799        4.1049        1.1507       0.047542     3.614e+04    1.516e+04    1.168e+03    0.022946      
63     16.491        4.2739        1.3156       0.067109     3.588e+04    1.469e+04    2.823e+03    0.022946      
