Performance Recorder: RTAR_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      17.694        5.2063        2.6075       0.10466      1.441e+05    5.900e+04    7.687e+03    0.026074      
1      17.425        5.9602        1.7042       0.071818     1.534e+05    5.988e+04    4.603e+03    0.026074      
2      18.074        5.337         1.6445       0.068632     1.442e+05    5.966e+04    4.739e+03    0.026074      
3      18.297        5.2031        1.6722       0.065996     1.366e+05    5.951e+04    4.587e+03    0.026074      
4      12.354        11.165        1.7874       0.064224     1.469e+05    6.113e+04    4.603e+03    0.026074      
5      11.769        10.979        2.595        0.10033      1.501e+05    5.923e+04    7.704e+03    0.026074      
6      12.308        11.11         1.6594       0.068172     1.461e+05    5.942e+04    4.608e+03    0.026074      
7      12.341        11.205        1.6377       0.068061     1.345e+05    5.826e+04    4.657e+03    0.026074      
8      19.841        3.6503        1.8305       0.064645     1.463e+05    5.964e+04    4.739e+03    0.026074      
9      19.331        4.1012        1.6919       0.065797     1.512e+05    5.951e+04    4.608e+03    0.026074      
10     18.903        3.8182        2.6149       0.10253      1.440e+05    5.913e+04    7.706e+03    0.026074      
11     19.852        3.7088        1.636        0.070044     1.368e+05    5.976e+04    4.622e+03    0.026074      
12     21.03         2.5345        1.7652       0.069554     1.457e+05    5.946e+04    4.587e+03    0.026074      
13     20.844        2.6014        1.656        0.068903     1.483e+05    5.896e+04    4.657e+03    0.026074      
14     20.878        2.5651        1.6267       0.067541     1.453e+05    5.950e+04    4.622e+03    0.026074      
15     20.312        2.5661        2.5566       0.10263      1.379e+05    6.014e+04    7.733e+03    0.026074      
