Performance Recorder: RTAR_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      9.0911        8.6229        3.243        0.20376      3.636e+04    1.500e+04    2.740e+03    0.021734      
1      9.4409        8.7124        2.7269       0.10789      3.612e+04    1.483e+04    1.175e+03    0.021734      
2      9.3369        8.7434        2.7015       0.10277      3.619e+04    1.511e+04    1.120e+03    0.021734      
3      9.4434        8.7686        2.6317       0.09877      3.606e+04    1.480e+04    1.161e+03    0.021734      
4      9.2506        8.8223        2.6914       0.11465      3.640e+04    1.481e+04    1.201e+03    0.021734      
5      9.4292        8.7562        2.6126       0.10233      3.598e+04    1.486e+04    1.195e+03    0.021734      
6      9.4011        8.746         2.6264       0.097017     3.571e+04    1.488e+04    1.167e+03    0.021734      
7      9.2352        8.8099        2.7648       0.10182      3.613e+04    1.473e+04    1.135e+03    0.021734      
8      11.124        7.034         2.7409       0.10006      3.613e+04    1.480e+04    1.175e+03    0.021734      
9      10.261        7.1684        3.536        0.20714      3.636e+04    1.492e+04    2.752e+03    0.021734      
10     10.982        7.083         2.6974       0.11265      3.646e+04    1.523e+04    1.195e+03    0.021734      
11     10.991        7.2327        2.5901       0.10414      3.598e+04    1.463e+04    1.161e+03    0.021734      
12     10.905        7.1783        2.7056       0.12282      3.578e+04    1.503e+04    1.164e+03    0.021734      
13     11.059        7.1734        2.5886       0.09359      3.598e+04    1.492e+04    1.137e+03    0.021734      
14     10.944        7.126         2.5969       0.097367     3.661e+04    1.477e+04    1.142e+03    0.021734      
15     10.9          7.2541        2.655        0.10842      3.607e+04    1.471e+04    1.205e+03    0.021734      
16     11.059        7.0483        2.8072       0.10096      3.665e+04    1.474e+04    1.120e+03    0.021734      
17     10.939        7.1898        2.7624       0.11268      3.671e+04    1.516e+04    1.195e+03    0.021734      
18     9.8997        7.3931        3.5873       0.20405      3.694e+04    1.526e+04    2.750e+03    0.021734      
19     10.963        7.1937        2.6909       0.10635      3.690e+04    1.461e+04    1.136e+03    0.021734      
20     10.824        7.1472        2.8069       0.1103       3.661e+04    1.490e+04    1.246e+03    0.021734      
21     10.895        7.1996        2.7236       0.10111      3.680e+04    1.486e+04    1.170e+03    0.021734      
22     10.916        7.1849        2.6849       0.10457      3.685e+04    1.492e+04    1.194e+03    0.021734      
23     10.91         7.272         2.6418       0.103        3.656e+04    1.458e+04    1.186e+03    0.021734      
24     14.259        3.8882        2.7675       0.098871     3.598e+04    1.486e+04    1.161e+03    0.021734      
25     14.108        4.0208        2.7626       0.10953      3.601e+04    1.484e+04    1.161e+03    0.021734      
26     13.885        4.1449        2.747        0.10288      3.581e+04    1.531e+04    1.136e+03    0.021734      
27     13.325        4.0445        3.5537       0.19657      3.582e+04    1.476e+04    2.692e+03    0.021734      
28     14.128        3.8976        2.7733       0.10347      3.590e+04    1.479e+04    1.131e+03    0.021734      
29     14.081        4.0621        2.692        0.10494      3.586e+04    1.483e+04    1.213e+03    0.021734      
30     14.058        3.9468        2.6822       0.10412      3.631e+04    1.504e+04    1.177e+03    0.021734      
31     14.069        4.1065        2.6471       0.10726      3.594e+04    1.460e+04    1.188e+03    0.021734      
32     10.886        7.2943        2.7347       0.099271     3.592e+04    1.500e+04    1.201e+03    0.021734      
33     10.861        7.3392        2.6917       0.10617      3.634e+04    1.482e+04    1.164e+03    0.021734      
34     10.592        7.4797        2.7272       0.11575      3.635e+04    1.520e+04    1.246e+03    0.021734      
35     10.623        7.5882        2.6438       0.10184      3.621e+04    1.482e+04    1.131e+03    0.021734      
36     9.9321        7.3953        3.5404       0.21355      3.605e+04    1.482e+04    2.680e+03    0.021734      
37     10.373        7.8069        2.6346       0.10071      3.596e+04    1.494e+04    1.132e+03    0.021734      
38     10.527        7.6725        2.5805       0.10072      3.632e+04    1.485e+04    1.146e+03    0.021734      
