Performance Recorder: RTA_2D_Detailed_GPPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      80.158        35.31         24.3         1.0008       5.925e+04    1.156e+07    1.448e+05    0.18834       
1      91.277        24.598        23.847       0.69421      5.864e+04    5.304e+04    1.436e+05    0.18834       
2      89.338        26.707        24.29        0.68463      5.914e+04    0.000e+00    1.430e+05    0.18834       
3      133.04        19.387        24.294       0.66455      6.049e+04    1.671e+04    1.455e+05    0.18834       
4      83.009        32.435        24.423       0.6359       5.829e+04    5.304e+04    1.420e+05    0.18834       
5      85.382        30.554        23.766       0.81359      6.126e+04    1.140e+07    1.479e+05    0.18834       
6      79.699        36.631        24.108       0.65728      5.970e+04    1.398e+05    1.459e+05    0.18834       
7      123.32        39.013        24.47        0.69177      5.967e+04    4.332e+04    1.449e+05    0.18834       
8      78.368        37.749        23.71        0.63117      6.162e+04    0.000e+00    1.489e+05    0.18834       
9      90.537        25.072        24.079       0.77397      5.874e+04    1.398e+05    1.432e+05    0.18834       
10     85.462        30.945        24.051       0.65861      5.966e+04    1.137e+07    1.449e+05    0.18834       
11     125.18        37.22         24.639       0.63685      5.925e+04    1.524e+05    1.449e+05    0.18834       
12     70.32         45.378        24.076       0.66928      5.889e+04    1.671e+04    1.447e+05    0.18834       
13     84.929        30.474        24.305       0.80576      5.941e+04    4.332e+04    1.453e+05    0.18834       
14     91.113        25.242        24.143       0.67565      5.954e+04    1.524e+05    1.446e+05    0.18834       
15     127.22        31.353        24.84        0.67602      5.865e+04    1.138e+07    1.425e+05    0.18834       
