Performance Recorder: RTA_2D_Detailed_NoPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      123.65        84.561        14.572       0.37545      1.422e+04    4.992e+06    3.707e+04    0.24809       
1      147.02        61.951        13.827       0.51377      1.513e+04    9.840e+05    3.510e+04    0.24809       
2      143.42        66.418        19.276       0.374        1.470e+04    1.204e+05    3.789e+04    0.24809       
3      161.1         50.528        16.191       0.40023      1.522e+04    0.000e+00    3.876e+04    0.24809       
4      163.23        47.949        16.595       0.6019       1.576e+04    0.000e+00    3.888e+04    0.24809       
5      166.73        45.043        17.044       0.60836      1.471e+04    0.000e+00    3.581e+04    0.24809       
6      176.16        40.029        16.217       0.41533      1.399e+04    0.000e+00    3.300e+04    0.24809       
7      182.44        47.128        16.237       0.3295       1.478e+04    0.000e+00    3.233e+04    0.24809       
8      123.36        84.424        14.661       0.35711      1.479e+04    9.840e+05    3.789e+04    0.24809       
9      147.04        61.808        13.885       0.34712      1.554e+04    4.425e+06    3.621e+04    0.24809       
10     142.8         67.366        19.053       0.34814      1.395e+04    1.942e+05    3.646e+04    0.24809       
11     160.51        51.384        15.907       0.39477      1.431e+04    0.000e+00    3.673e+04    0.24809       
12     162.42        48.741        16.612       0.52692      1.512e+04    0.000e+00    3.714e+04    0.24809       
13     166.19        45.814        16.778       0.43022      1.521e+04    0.000e+00    3.689e+04    0.24809       
14     175.51        40.776        16.067       0.3482       1.499e+04    0.000e+00    3.473e+04    0.24809       
15     181.85        47.925        15.818       0.32348      1.498e+04    0.000e+00    3.342e+04    0.24809       
16     124.85        84.551        14.597       0.50539      1.450e+04    1.204e+05    3.730e+04    0.24809       
17     122           87.762        14.248       0.34518      1.431e+04    1.942e+05    3.420e+04    0.24809       
18     108.26        102.06        19.228       0.45005      1.402e+04    3.928e+06    3.666e+04    0.24809       
19     167.2         44.54         16.284       0.46654      1.499e+04    5.843e+05    3.747e+04    0.24809       
20     163.07        48.442        16.614       0.71794      1.476e+04    3.495e+05    3.638e+04    0.24809       
21     165.1         46.882        16.851       0.43538      1.587e+04    3.067e+05    3.732e+04    0.24809       
22     165.89        54.636        16.184       0.3455       1.543e+04    3.144e+05    3.624e+04    0.24809       
23     181.83        49.196        16.123       0.33136      1.521e+04    4.072e+05    3.389e+04    0.24809       
24     126.69        83.331        14.571       0.35591      1.507e+04    0.000e+00    3.782e+04    0.24809       
25     124.11        86.537        14.232       0.33113      1.475e+04    0.000e+00    3.552e+04    0.24809       
26     112.71        97.451        19.385       0.43179      1.539e+04    5.843e+05    3.932e+04    0.24809       
27     170.81        41.005        16.283       0.43955      1.455e+04    4.212e+06    3.641e+04    0.24809       
28     166.87        44.857        16.381       0.50006      1.536e+04    6.555e+05    3.717e+04    0.24809       
29     168.72        43.359        16.706       0.4221       1.503e+04    2.551e+05    3.659e+04    0.24809       
30     169.47        51.073        16.176       0.34355      1.508e+04    1.450e+05    3.640e+04    0.24809       
31     185.39        45.65         16.029       0.33261      1.468e+04    2.251e+05    3.311e+04    0.24809       
32     127.6         82.857        14.528       0.52653      1.441e+04    0.000e+00    3.716e+04    0.24809       
33     176.86        33.839        14.312       0.52384      1.497e+04    0.000e+00    3.615e+04    0.24809       
34     169.77        40.122        19.514       0.40163      1.538e+04    3.495e+05    4.005e+04    0.24809       
35     166.91        44.941        16.214       0.57685      1.441e+04    6.555e+05    3.650e+04    0.24809       
36     164.66        47.077        16.392       0.51526      1.442e+04    3.641e+06    3.528e+04    0.24809       
37     167.83        44.209        16.698       0.4196       1.524e+04    8.288e+05    3.684e+04    0.24809       
38     168.09        48.927        16.353       0.41886      1.582e+04    2.775e+05    3.674e+04    0.24809       
39     185.22        45.795        15.726       0.37455      1.524e+04    2.012e+05    3.340e+04    0.24809       
40     127.66        82.712        14.434       0.34052      1.540e+04    0.000e+00    3.825e+04    0.24809       
41     177.27        33.701        14.129       0.34643      1.479e+04    0.000e+00    3.534e+04    0.24809       
42     170.04        39.981        19.42        0.38113      1.552e+04    3.067e+05    3.950e+04    0.24809       
43     166.99        44.95         16.119       0.40908      1.541e+04    2.551e+05    3.802e+04    0.24809       
44     164.58        47.12         16.46        0.50537      1.435e+04    8.288e+05    3.654e+04    0.24809       
45     167.89        44.225        16.582       0.44116      1.464e+04    3.265e+06    3.507e+04    0.24809       
46     168.46        48.947        15.951       0.36524      1.510e+04    7.204e+05    3.620e+04    0.24809       
47     185.22        45.804        15.567       0.32795      1.505e+04    4.053e+05    3.388e+04    0.24809       
48     125.81        83.435        14.57        0.5762       1.523e+04    0.000e+00    3.850e+04    0.24809       
49     149.47        60.378        13.96        0.57057      1.500e+04    0.000e+00    3.566e+04    0.24809       
50     141.86        68.527        19.388       0.55936      1.509e+04    3.144e+05    3.871e+04    0.24809       
51     167.94        43.811        16.289       0.57621      1.533e+04    1.450e+05    3.815e+04    0.24809       
52     164.1         46.86         17.11        0.62271      1.464e+04    2.775e+05    3.651e+04    0.24809       
53     171.18        41.113        16.789       0.4408       1.397e+04    7.204e+05    3.338e+04    0.24809       
54     175.64        40.964        16.326       0.32868      1.436e+04    3.525e+06    3.468e+04    0.24809       
55     182.13        47.937        16.213       0.33845      1.475e+04    6.207e+05    3.262e+04    0.24809       
56     125.51        83.562        14.473       0.33116      1.540e+04    0.000e+00    3.861e+04    0.24809       
57     149.39        60.51         13.937       0.32853      1.454e+04    0.000e+00    3.415e+04    0.24809       
58     142.05        68.33         19.361       0.41574      1.497e+04    4.072e+05    3.894e+04    0.24809       
59     167.84        43.874        16.295       0.35918      1.481e+04    2.251e+05    3.741e+04    0.24809       
60     164.43        46.92         16.832       0.46732      1.461e+04    2.012e+05    3.625e+04    0.24809       
61     171.28        41.13         16.748       0.44529      1.436e+04    4.053e+05    3.583e+04    0.24809       
62     175.84        41.03         16.08        0.32867      1.424e+04    6.207e+05    3.380e+04    0.24809       
63     182.39        47.952        15.849       0.32685      1.434e+04    3.343e+06    3.170e+04    0.24809       
