Performance Recorder: RTA_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      33.422        158.81        43.632       1.6469       1.500e+04    8.274e+05    3.636e+04    0.24491       
1      36.18         153.87        43.148       1.6582       1.480e+04    7.110e+05    3.612e+04    0.24491       
2      25.744        162.66        42.605       1.5802       1.474e+04    7.175e+05    3.619e+04    0.24491       
3      39.244        153.13        41.195       1.715        1.486e+04    7.142e+05    3.606e+04    0.24491       
4      52.162        139.06        40.591       1.6397       1.500e+04    7.082e+05    3.640e+04    0.24491       
5      27.819        159.23        46.816       1.6205       1.472e+04    7.110e+05    3.598e+04    0.24491       
6      29.719        160.95        45.781       1.7485       1.472e+04    7.082e+05    3.571e+04    0.24491       
7      41.033        157.35        42.931       1.7255       1.468e+04    7.159e+05    3.613e+04    0.24491       
8      34.542        158.18        43.176       1.5953       1.483e+04    7.110e+05    3.613e+04    0.24491       
9      37.405        153.23        42.558       1.5598       1.492e+04    8.269e+05    3.636e+04    0.24491       
10     25.805        162.04        43.056       1.2965       1.516e+04    7.113e+05    3.646e+04    0.24491       
11     40.461        152.54        40.539       1.5118       1.484e+04    7.112e+05    3.598e+04    0.24491       
12     53.175        138.44        40.297       1.5939       1.482e+04    7.129e+05    3.578e+04    0.24491       
13     29.414        158.62        45.71        1.4339       1.492e+04    7.111e+05    3.598e+04    0.24491       
14     30.122        160.3         46.084       1.5529       1.508e+04    7.183e+05    3.661e+04    0.24491       
15     41.66         156.74        42.781       1.6189       1.484e+04    7.125e+05    3.607e+04    0.24491       
16     37.536        154.49        44.271       1.662        1.511e+04    7.175e+05    3.665e+04    0.24491       
17     47.211        144.8         42.13        2.0628       1.523e+04    7.113e+05    3.671e+04    0.24491       
18     36            153.58        41.522       1.58         1.526e+04    8.342e+05    3.694e+04    0.24491       
19     37.3          153.58        43.194       1.7415       1.531e+04    7.102e+05    3.690e+04    0.24491       
20     53.006        138.98        40.634       1.6313       1.520e+04    7.074e+05    3.661e+04    0.24491       
21     36.988        153.91        44.508       1.893        1.511e+04    7.164e+05    3.680e+04    0.24491       
22     47.967        144.84        44.241       1.803        1.516e+04    7.109e+05    3.685e+04    0.24491       
23     35.657        156.88        44.174       1.7462       1.505e+04    7.102e+05    3.656e+04    0.24491       
24     37.892        154.21        44.42        1.5511       1.480e+04    7.142e+05    3.598e+04    0.24491       
25     47.136        144.52        42.247       1.8485       1.463e+04    7.112e+05    3.601e+04    0.24491       
26     36.437        153.29        41.201       1.331        1.461e+04    7.102e+05    3.581e+04    0.24491       
27     38.713        153.32        41.988       1.4873       1.476e+04    8.312e+05    3.582e+04    0.24491       
28     53.078        138.74        40.846       1.4982       1.482e+04    7.141e+05    3.590e+04    0.24491       
29     37.22         153.72        44.621       1.7553       1.480e+04    7.116e+05    3.586e+04    0.24491       
30     48.476        144.59        44.207       1.6539       1.498e+04    7.096e+05    3.631e+04    0.24491       
31     36.095        156.61        43.989       1.6431       1.477e+04    7.120e+05    3.594e+04    0.24491       
32     87.568        103.01        46.077       1.7044       1.481e+04    7.082e+05    3.592e+04    0.24491       
33     97.931        93.654        41.767       1.5775       1.503e+04    7.129e+05    3.634e+04    0.24491       
34     102.6         86.817        41.946       1.6662       1.490e+04    7.074e+05    3.635e+04    0.24491       
35     107.24        85.574        41.399       1.5411       1.479e+04    7.141e+05    3.621e+04    0.24491       
36     116.62        75.425        40.56        1.996        1.482e+04    8.314e+05    3.605e+04    0.24491       
37     28.753        95.285        111.08       1.6137       1.479e+04    7.154e+05    3.596e+04    0.24491       
38     106.28        82.668        43.903       1.6988       1.493e+04    7.109e+05    3.632e+04    0.24491       
39     103.71        94.23         44.198       1.6194       1.479e+04    7.133e+05    3.607e+04    0.24491       
40     25.943        164.96        45.837       1.5379       1.486e+04    7.110e+05    3.632e+04    0.24491       
41     35.7          155.63        41.711       1.3751       1.492e+04    7.111e+05    3.630e+04    0.24491       
42     41.6          148.76        40.871       1.4665       1.486e+04    7.164e+05    3.627e+04    0.24491       
43     45.242        147.53        41.629       1.4319       1.483e+04    7.116e+05    3.619e+04    0.24491       
44     55.092        137.38        39.967       1.8396       1.494e+04    7.154e+05    3.648e+04    0.24491       
45     33.359        157.25        44.454       1.4906       1.496e+04    8.301e+05    3.660e+04    0.24491       
46     44.359        144.62        43.742       1.4476       1.477e+04    7.113e+05    3.599e+04    0.24491       
47     41.656        156.21        44.14        1.5314       1.498e+04    7.127e+05    3.660e+04    0.24491       
48     23.701        167.45        46.036       1.8907       1.488e+04    7.082e+05    3.607e+04    0.24491       
49     35.506        160.62        43.519       1.818        1.477e+04    7.183e+05    3.584e+04    0.24491       
50     21.461        167.83        42.452       1.5313       1.492e+04    7.109e+05    3.613e+04    0.24491       
51     28.332        162.76        43.194       1.3987       1.504e+04    7.096e+05    3.643e+04    0.24491       
52     48.275        143.61        41.469       1.8569       1.485e+04    7.109e+05    3.595e+04    0.24491       
53     24.198        165.55        45.134       1.3858       1.496e+04    7.113e+05    3.631e+04    0.24491       
54     36.322        152.19        44.547       1.6184       1.486e+04    8.322e+05    3.632e+04    0.24491       
55     28.781        169.45        44.163       1.6645       1.500e+04    7.078e+05    3.600e+04    0.24491       
56     23.845        166.87        46.323       1.6831       1.473e+04    7.159e+05    3.606e+04    0.24491       
57     36.272        160.05        43.05        1.7236       1.471e+04    7.125e+05    3.590e+04    0.24491       
