Performance Recorder: AA_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      5.3314       263.15       5090.2       2.752e+06    44.024           2.231e+07   356.99          2.752e+06   44.024      6.141e+07   982.5       5.6575        
1      5.3303       263.15       4367.7       1.542e+06    24.67            1.336e+07   213.72          1.542e+06   24.67       2.779e+07   444.67      5.6575        
2      5.3292       263.14       3967.7       1.715e+06    27.445           2.161e+07   345.76          1.715e+06   27.445      1.866e+07   298.61      5.6575        
3      5.3281       263.17       4547.4       2.405e+06    38.477           2.558e+07   409.23          2.405e+06   38.477      3.970e+07   635.24      5.6575        
4      5.3314       263.15       4528.9       2.140e+06    34.235           1.707e+07   273.05          2.140e+06   34.235      2.668e+07   426.82      5.6575        
5      5.3302       263.15       4368.6       2.037e+06    32.593           2.118e+07   338.82          2.037e+06   32.593      2.794e+07   447.1       5.6575        
6      5.3301       263.15       3676.1       1.290e+06    20.642           1.206e+07   192.96          1.290e+06   20.642      1.616e+07   258.58      5.6575        
7      5.3285       263.17       3766.3       1.552e+06    24.829           1.743e+07   278.82          1.552e+06   24.829      1.418e+07   226.93      5.6575        
8      5.3324       263.15       4784.1       1.667e+06    26.667           1.178e+07   188.41          1.667e+06   26.667      2.694e+07   431.07      5.6575        
9      5.3302       263.14       4356.5       2.227e+06    35.626           1.873e+07   299.66          2.227e+06   35.626      3.774e+07   603.89      5.6575        
10     5.331        263.14       1215.2       6.163e+05    9.8615           1.891e+07   302.55          6.163e+05   9.8615      2.692e+07   430.77      5.6575        
11     5.3302       263.17       4221.6       2.096e+06    33.528           2.162e+07   345.91          2.096e+06   33.528      2.778e+07   444.52      5.6575        
12     5.3303       263.15       4154.8       2.089e+06    33.42            2.587e+07   413.94          2.089e+06   33.42       3.284e+07   525.47      5.6575        
13     5.3274       263.15       4876.9       1.826e+06    29.215           1.133e+07   181.25          1.826e+06   29.215      5.094e+07   815.11      5.6575        
14     5.328        263.13       4141.6       1.513e+06    24.209           1.427e+07   228.36          1.513e+06   24.209      2.284e+07   365.46      5.6575        
15     5.3288       263.17       4250         1.502e+06    24.035           1.156e+07   185.02          1.502e+06   24.035      2.405e+07   384.77      5.6575        
