Performance Recorder: AA_1D_Detailed_NoPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      8.1057       922.44       2659.4       7.289e+05    11.662           2.706e+07   433.02          7.289e+05   11.662      8.827e+06   141.24      3.7395        
1      8.1054       922.42       2416.6       6.679e+05    10.686           2.754e+07   440.6           6.679e+05   10.686      8.769e+06   140.3       3.7395        
2      8.1054       922.44       2215         4.905e+05    7.8479           2.713e+07   434.13          4.905e+05   7.8479      7.682e+06   122.92      3.7395        
3      8.105        922.44       2047.7       4.336e+05    6.9376           2.792e+07   446.77          4.336e+05   6.9376      7.223e+06   115.57      3.7395        
4      8.1067       922.43       1706.7       3.542e+05    5.6677           2.783e+07   445.21          3.542e+05   5.6677      6.783e+06   108.53      3.7395        
5      8.1059       922.45       1694.2       3.373e+05    5.3963           2.849e+07   455.91          3.373e+05   5.3963      6.652e+06   106.43      3.7395        
6      8.1072       922.43       1871.2       3.905e+05    6.2486           2.876e+07   460.21          3.905e+05   6.2486      7.212e+06   115.39      3.7395        
7      8.1068       922.46       1731.1       3.675e+05    5.8803           2.873e+07   459.65          3.675e+05   5.8803      7.181e+06   114.9       3.7395        
8      8.1062       922.44       2075.9       4.176e+05    6.682            2.861e+07   457.72          4.176e+05   6.682       7.726e+06   123.62      3.7395        
9      8.1039       922.45       2738.5       5.338e+05    8.5407           2.854e+07   456.61          5.338e+05   8.5407      8.051e+06   128.82      3.7395        
10     8.1052       922.46       2226         5.191e+05    8.3063           2.830e+07   452.83          5.191e+05   8.3063      7.771e+06   124.33      3.7395        
11     8.1036       922.46       2693         6.424e+05    10.278           2.733e+07   437.34          6.424e+05   10.278      8.743e+06   139.89      3.7395        
12     8.1013       922.47       2042.6       4.648e+05    7.436            2.809e+07   449.42          4.648e+05   7.436       7.657e+06   122.51      3.7395        
13     8.1011       922.45       1765.5       3.467e+05    5.5469           2.875e+07   460             3.467e+05   5.5469      6.775e+06   108.39      3.7395        
14     8.1005       922.49       1968.3       3.812e+05    6.0988           2.875e+07   459.96          3.812e+05   6.0988      7.444e+06   119.1       3.7395        
15     8.0999       922.47       2187.3       5.896e+05    9.4337           2.772e+07   443.54          5.896e+05   9.4337      8.646e+06   138.34      3.7395        
16     8.1071       922.44       1953.4       4.010e+05    6.4165           2.881e+07   460.91          4.010e+05   6.4165      7.105e+06   113.68      3.7395        
17     8.1048       922.45       2519.9       5.551e+05    8.8817           2.879e+07   460.6           5.551e+05   8.8817      8.269e+06   132.3       3.7395        
18     8.1065       922.44       2141.1       5.066e+05    8.1049           2.879e+07   460.57          5.066e+05   8.1049      7.724e+06   123.59      3.7395        
19     8.105        922.5        2760.1       6.482e+05    10.371           2.879e+07   460.58          6.482e+05   10.371      9.073e+06   145.17      3.7395        
20     8.1054       922.43       2179.6       5.008e+05    8.0133           2.832e+07   453.13          5.008e+05   8.0133      8.177e+06   130.84      3.7395        
21     8.1049       922.42       2390.1       5.427e+05    8.6833           2.864e+07   458.3           5.427e+05   8.6833      8.472e+06   135.55      3.7395        
22     8.1044       922.43       2357.2       5.201e+05    8.3216           2.880e+07   460.88          5.201e+05   8.3216      8.015e+06   128.23      3.7395        
23     8.1036       922.46       2520.8       6.064e+05    9.7019           2.873e+07   459.62          6.064e+05   9.7019      8.284e+06   132.54      3.7395        
24     8.1075       922.47       1836.9       3.918e+05    6.2684           2.812e+07   450             3.918e+05   6.2684      6.801e+06   108.82      3.7395        
25     8.1048       922.43       1824.2       3.724e+05    5.9578           2.881e+07   461.02          3.724e+05   5.9578      7.069e+06   113.11      3.7395        
26     8.1066       922.44       1969.5       4.212e+05    6.7394           2.830e+07   452.75          4.212e+05   6.7394      7.617e+06   121.87      3.7395        
27     8.1061       922.46       2080.9       5.210e+05    8.3359           2.751e+07   440.17          5.210e+05   8.3359      8.117e+06   129.86      3.7395        
28     8.101        922.43       2268.9       4.840e+05    7.7444           2.877e+07   460.34          4.840e+05   7.7444      7.941e+06   127.05      3.7395        
29     8.1002       922.44       2165         4.663e+05    7.4613           2.873e+07   459.73          4.663e+05   7.4613      7.814e+06   125.02      3.7395        
30     8.1011       922.45       2258.9       5.185e+05    8.2964           2.870e+07   459.13          5.185e+05   8.2964      8.205e+06   131.28      3.7395        
31     8.0999       922.46       2249.5       4.945e+05    7.9123           2.886e+07   461.74          4.945e+05   7.9123      8.026e+06   128.42      3.7395        
32     8.1036       922.43       2204.4       5.081e+05    8.1295           2.878e+07   460.55          5.081e+05   8.1295      8.147e+06   130.35      3.7395        
33     8.1043       922.5        1749.5       3.628e+05    5.8055           2.872e+07   459.59          3.628e+05   5.8055      6.904e+06   110.47      3.7395        
34     8.103        922.43       2102.6       4.106e+05    6.57             2.844e+07   455.03          4.106e+05   6.57        7.126e+06   114.02      3.7395        
35     8.1034       922.45       2001.5       4.389e+05    7.0224           2.782e+07   445.08          4.389e+05   7.0224      7.399e+06   118.39      3.7395        
36     8.1018       922.44       2666.8       5.986e+05    9.5769           2.545e+07   407.24          5.986e+05   9.5769      8.799e+06   140.79      3.7395        
37     8.1006       922.45       2612.3       7.129e+05    11.407           2.167e+07   346.71          7.129e+05   11.407      9.301e+06   148.81      3.7395        
38     8.1019       922.43       2488         5.102e+05    8.1636           2.877e+07   460.25          5.102e+05   8.1636      8.279e+06   132.47      3.7395        
39     8.1016       922.47       1608.3       3.673e+05    5.8764           2.787e+07   445.93          3.673e+05   5.8764      7.102e+06   113.63      3.7395        
40     8.1051       922.44       1253.6       2.608e+05    4.1728           2.849e+07   455.9           2.608e+05   4.1728      6.197e+06   99.15       3.7395        
41     8.1033       922.46       1591.6       3.377e+05    5.4025           2.870e+07   459.16          3.377e+05   5.4025      6.409e+06   102.55      3.7395        
42     8.1038       922.46       1544.4       3.869e+05    6.1898           2.868e+07   458.81          3.869e+05   6.1898      6.603e+06   105.65      3.7395        
43     8.1031       922.46       1745.3       3.960e+05    6.3357           2.841e+07   454.54          3.960e+05   6.3357      6.903e+06   110.45      3.7395        
44     8.1043       922.45       1724.5       3.838e+05    6.1406           2.698e+07   431.7           3.838e+05   6.1406      6.825e+06   109.21      3.7395        
45     8.1038       922.45       1822         3.842e+05    6.1472           2.793e+07   446.94          3.842e+05   6.1472      6.930e+06   110.88      3.7395        
46     8.1042       922.44       1713.9       3.478e+05    5.5655           2.732e+07   437.05          3.478e+05   5.5655      6.558e+06   104.92      3.7395        
