Performance Recorder: AA_1D_Detailed_RandPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      5.5258       238.27       4255.3       1.738e+06    27.809           2.896e+07   463.31          1.738e+06   27.809      2.988e+07   478.03      4.9941        
1      5.5243       238.26       4354.8       1.793e+06    28.693           2.896e+07   463.32          1.793e+06   28.693      3.043e+07   486.86      4.9941        
2      5.5238       238.25       4460.8       1.837e+06    29.387           2.896e+07   463.33          1.837e+06   29.387      2.998e+07   479.67      4.9941        
3      5.524        238.3        4526         1.836e+06    29.375           2.896e+07   463.33          1.836e+06   29.375      3.034e+07   485.5       4.9941        
4      5.5264       238.27       4273.2       1.755e+06    28.072           2.896e+07   463.34          1.755e+06   28.072      3.013e+07   482.14      4.9941        
5      5.5259       238.25       4539.2       1.827e+06    29.235           2.896e+07   463.34          1.827e+06   29.235      3.036e+07   485.68      4.9941        
6      5.5247       238.25       4558         1.829e+06    29.265           2.896e+07   463.33          1.829e+06   29.265      3.041e+07   486.63      4.9941        
7      5.5234       238.3        4498.1       1.862e+06    29.795           2.896e+07   463.35          1.862e+06   29.795      3.041e+07   486.51      4.9941        
8      5.5228       238.27       4377         1.804e+06    28.872           2.896e+07   463.33          1.804e+06   28.872      3.000e+07   479.94      4.9941        
9      5.5221       238.25       4489.3       1.830e+06    29.279           2.896e+07   463.33          1.830e+06   29.279      3.035e+07   485.53      4.9941        
10     5.5231       238.27       4236.4       1.762e+06    28.191           2.896e+07   463.34          1.762e+06   28.191      3.004e+07   480.68      4.9941        
11     5.5219       238.29       4328.6       1.771e+06    28.342           2.896e+07   463.33          1.771e+06   28.342      2.962e+07   473.9       4.9941        
12     5.5221       238.26       4439.2       1.805e+06    28.88            2.896e+07   463.33          1.805e+06   28.88       2.970e+07   475.27      4.9941        
13     5.5233       238.24       4496.6       1.815e+06    29.043           2.896e+07   463.33          1.815e+06   29.043      3.040e+07   486.46      4.9941        
14     5.5232       238.26       4437.7       1.840e+06    29.443           2.896e+07   463.33          1.840e+06   29.443      3.026e+07   484.2       4.9941        
15     5.5218       238.29       4586.1       1.862e+06    29.794           2.896e+07   463.33          1.862e+06   29.794      3.028e+07   484.49      4.9941        
