Performance Recorder: AA_2D_Detailed_GPPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      1152.5        7088.7        5366.4       457.02       3.261e+06    3.261e+06    4.051e+07    17.761        
1      1277.5        7087.2        5386.7       469.8        2.355e+06    2.355e+06    3.850e+07    17.761        
2      5079          7082.3        1322         301.27       4.559e+05    4.559e+05    2.316e+07    17.761        
3      5465.2        7082          1421.8       252.6        7.209e+05    7.209e+05    1.795e+07    17.761        
4      3310.5        4193          6384.9       483.2        2.355e+06    2.355e+06    3.850e+07    17.761        
5      398           4194          9698.8       611.6        5.459e+06    5.459e+06    4.703e+07    17.761        
6      7195.3        4186.8        2204.5       373.22       9.509e+05    9.509e+05    2.658e+07    17.761        
7      7488.5        4188          3162.1       376.97       1.510e+06    1.510e+06    2.676e+07    17.761        
8      3982.2        8251.2        1290.6       291.02       4.559e+05    4.559e+05    2.316e+07    17.761        
9      3125.2        8249          2249.9       343.02       9.509e+05    9.509e+05    2.658e+07    17.761        
10     730.48        8245.4        5123         425.65       3.121e+06    3.121e+06    3.274e+07    17.761        
11     3310.4        8245          2618.5       258.82       9.637e+05    9.637e+05    2.022e+07    17.761        
12     1774.1        9945.2        2708.1       267.39       7.209e+05    7.209e+05    1.795e+07    17.761        
13     979.03        9944.1        4260.3       462.91       1.510e+06    1.510e+06    2.676e+07    17.761        
14     2280.5        9938.5        1750.9       258.98       9.637e+05    9.637e+05    2.022e+07    17.761        
15     469.06        9939.2        6307.9       784.21       3.214e+06    3.214e+06    5.600e+07    17.761        
