Performance Recorder: AA_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      264.25        1138.3        4648.8       590.97       2.851e+06    2.851e+06    3.709e+07    8.3074        
1      466.52        1124.7        4455         577.92       2.665e+06    2.665e+06    3.749e+07    8.3074        
2      2513          1132.7        2541.4       395.85       1.238e+06    1.238e+06    2.610e+07    8.3074        
3      3222.9        1119.1        1799.5       349.71       9.155e+05    9.155e+05    2.255e+07    8.3074        
4      316.78        1225          4529.6       611.81       2.665e+06    2.665e+06    3.749e+07    8.3074        
5      422.73        1210.5        4439         599.14       2.829e+06    2.829e+06    3.858e+07    8.3074        
6      2340.6        1220.6        2711.8       418.74       1.396e+06    1.396e+06    2.726e+07    8.3074        
7      3052.5        1205.3        1943.4       367.53       1.078e+06    1.078e+06    2.357e+07    8.3074        
8      944.54        3134          2156.7       403.33       1.238e+06    1.238e+06    2.610e+07    8.3074        
9      861.58        3124.3        2317.9       414.48       1.396e+06    1.396e+06    2.726e+07    8.3074        
10     268.04        3129.9        3639.3       473.46       2.050e+06    2.050e+06    3.054e+07    8.3074        
11     526.41        3113.3        3448         476.97       2.097e+06    2.097e+06    3.251e+07    8.3074        
12     1464.7        2908.1        1973.2       333.55       9.155e+05    9.155e+05    2.255e+07    8.3074        
13     1464.9        2901.6        2044.2       361.19       1.078e+06    1.078e+06    2.357e+07    8.3074        
14     179.85        2904.4        4284.2       505.69       2.097e+06    2.097e+06    3.251e+07    8.3074        
15     374.15        2887.5        4311.6       558.33       2.458e+06    2.458e+06    3.742e+07    8.3074        
