Performance Recorder: AA_2D_Detailed_RandPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      238.43        102.19        2638.5       458.45       1.802e+06    1.802e+06    3.018e+07    3.6599        
1      193.04        100.55        2701.5       456.52       1.807e+06    1.807e+06    3.033e+07    3.6599        
2      223.62        96.034        2672.1       456.43       1.779e+06    1.779e+06    3.000e+07    3.6599        
3      179.54        93.202        2732.4       455.77       1.819e+06    1.819e+06    3.014e+07    3.6599        
4      189.93        132.15        2663.3       457.7        1.807e+06    1.807e+06    3.033e+07    3.6599        
5      145.61        130.26        2725.4       458.6        1.836e+06    1.836e+06    3.051e+07    3.6599        
6      183.55        125.7         2681.4       460.74       1.796e+06    1.796e+06    3.017e+07    3.6599        
7      134.68        124.07        2748.8       452.85       1.834e+06    1.834e+06    3.031e+07    3.6599        
8      196.2         168.1         2607.3       452.05       1.779e+06    1.779e+06    3.000e+07    3.6599        
9      178.87        165.89        2638.5       454.53       1.796e+06    1.796e+06    3.017e+07    3.6599        
10     202.15        161.35        2608.6       457.14       1.780e+06    1.780e+06    2.985e+07    3.6599        
11     168.5         159.91        2666.8       448.5        1.811e+06    1.811e+06    2.999e+07    3.6599        
12     248.67        38.259        2706.2       458.82       1.819e+06    1.819e+06    3.014e+07    3.6599        
13     229.97        33.079        2745.7       508.8        1.834e+06    1.834e+06    3.031e+07    3.6599        
14     251.24        31.346        2715.5       472.35       1.811e+06    1.811e+06    2.999e+07    3.6599        
15     163.44        31.093        2837.4       451.48       1.857e+06    1.857e+06    3.014e+07    3.6599        
