Performance Recorder: CBC_RTA_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      3.9941       8.3365       19.396       6.447e+03    0.10315          2.849e+04   0.45586         2.752e+06   44.024      2.229e+05   3.5659      0.033057      
1      3.9931       8.3188       12.591       2.447e+03    0.039152         2.396e+04   0.3833          1.542e+06   24.67       2.456e+05   3.93        0.033057      
2      3.9944       8.35         10.927       1.416e+03    0.022656         2.331e+04   0.37301         1.715e+06   27.445      6.897e+04   1.1036      0.033057      
3      3.9929       8.3298       13.162       3.356e+03    0.053696         3.110e+04   0.49752         2.405e+06   38.477      1.472e+05   2.3548      0.033057      
4      3.9955       8.3294       12.972       2.273e+03    0.036368         2.097e+04   0.33554         2.140e+06   34.235      5.796e+04   0.92742     0.033057      
5      3.9941       8.3319       11.516       2.181e+03    0.034896         2.454e+04   0.39261         2.037e+06   32.593      1.266e+05   2.0262      0.033057      
6      3.9948       8.3283       12.678       1.165e+03    0.01864          2.063e+04   0.33002         1.290e+06   20.642      1.775e+05   2.8406      0.033057      
7      3.9944       8.3472       10.188       1.004e+03    0.016064         2.024e+04   0.3239          1.552e+06   24.829      4.632e+04   0.74106     0.033057      
8      3.9941       8.3325       15.802       2.309e+03    0.036944         2.014e+04   0.32229         1.667e+06   26.667      2.500e+05   4           0.033057      
9      3.9937       8.3296       14.705       3.105e+03    0.04968          2.454e+04   0.39259         2.227e+06   35.626      1.666e+05   2.6649      0.033057      
10     3.9939       8.3209       5.5373       4.581e+03    0.073296         3.018e+04   0.48285         6.163e+05   9.8615      1.537e+05   2.4593      0.033057      
11     3.9922       8.3533       10.205       2.683e+03    0.042928         2.622e+04   0.4196          2.096e+06   33.528      6.248e+04   0.99963     0.033057      
12     3.9942       8.3363       10.882       3.059e+03    0.048944         3.148e+04   0.50363         2.089e+06   33.42       9.315e+04   1.4905      0.033057      
13     3.9925       8.3331       15.701       5.346e+03    0.085536         2.023e+04   0.32373         1.826e+06   29.215      3.266e+05   5.2257      0.033057      
14     3.9917       8.3275       11.062       1.737e+03    0.027792         2.453e+04   0.39246         1.513e+06   24.209      2.263e+05   3.6209      0.033057      
15     3.9914       8.354        13.331       1.992e+03    0.031872         1.961e+04   0.3137          1.502e+06   24.035      2.219e+05   3.55        0.033057      
