Performance Recorder: CBC_RTA_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      4.2184       4.7914       14.492       2.818e+03    0.045088         4.040e+04   0.64645         2.323e+06   37.161      1.820e+05   2.9119      0.030548      
1      4.2166       4.794        13.123       2.818e+03    0.045088         4.290e+04   0.68645         1.449e+06   23.186      1.670e+05   2.6715      0.030548      
2      4.2162       4.796        20.349       2.818e+03    0.045088         4.270e+04   0.68325         2.115e+06   33.836      2.081e+05   3.3296      0.030548      
3      4.2168       4.8202       13.369       2.818e+03    0.045088         4.256e+04   0.68104         1.781e+06   28.496      1.705e+05   2.7288      0.030548      
4      4.2177       4.7956       16.715       2.818e+03    0.045088         4.303e+04   0.68846         2.124e+06   33.988      1.931e+05   3.0893      0.030548      
5      4.2167       4.7972       15.032       2.818e+03    0.045088         4.272e+04   0.6836          2.160e+06   34.568      1.874e+05   2.9979      0.030548      
6      4.217        4.798        16.256       2.818e+03    0.045088         4.282e+04   0.6852          1.705e+06   27.286      1.773e+05   2.8364      0.030548      
7      4.2167       4.8273       14.914       2.818e+03    0.045088         4.292e+04   0.68677         1.972e+06   31.548      1.851e+05   2.9621      0.030548      
8      4.2156       4.7937       12.632       2.818e+03    0.045088         4.335e+04   0.69355         1.729e+06   27.663      1.902e+05   3.0435      0.030548      
9      4.2133       4.7945       17.777       2.818e+03    0.045088         4.322e+04   0.69144         2.173e+06   34.766      2.695e+05   4.3127      0.030548      
10     4.2154       4.8262       12.004       2.818e+03    0.045088         4.322e+04   0.69147         1.389e+06   22.224      1.412e+05   2.2591      0.030548      
11     4.2141       4.7961       11.254       2.818e+03    0.045088         4.185e+04   0.66955         1.490e+06   23.843      1.570e+05   2.5123      0.030548      
12     4.2187       4.7993       13.188       2.818e+03    0.045088         4.104e+04   0.6567          1.559e+06   24.943      1.847e+05   2.9547      0.030548      
13     4.2162       4.7859       13.207       2.818e+03    0.045088         4.291e+04   0.68654         1.734e+06   27.74       2.089e+05   3.3422      0.030548      
14     4.2174       4.7958       16.202       2.818e+03    0.045088         4.329e+04   0.69266         1.645e+06   26.316      1.909e+05   3.0539      0.030548      
15     4.2176       4.8208       12.637       2.831e+03    0.045296         4.223e+04   0.67563         1.619e+06   25.912      1.952e+05   3.1228      0.030548      
