Performance Recorder: CBC_RTA_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      6.8974       9.4562       8.0698       7.040e+02    0.011264         4.115e+04   0.65838         4.285e+05   6.8566      2.351e+04   0.37614     0.026509      
1      6.8946       9.4353       8.8003       7.040e+02    0.011264         4.135e+04   0.66158         4.701e+05   7.5208      2.558e+04   0.40922     0.026509      
2      6.8965       9.5034       8.7729       7.040e+02    0.011264         4.137e+04   0.66197         4.629e+05   7.4066      2.613e+04   0.4181      0.026509      
3      6.8949       9.4688       8.0949       7.040e+02    0.011264         4.082e+04   0.65317         4.142e+05   6.6277      2.379e+04   0.38066     0.026509      
4      6.8952       9.4329       8.6877       7.040e+02    0.011264         4.146e+04   0.66338         4.783e+05   7.6522      2.650e+04   0.42408     0.026509      
5      6.8948       9.4538       7.7682       7.040e+02    0.011264         4.149e+04   0.66389         4.552e+05   7.2831      2.589e+04   0.41429     0.026509      
6      6.8961       9.4615       7.5461       7.040e+02    0.011264         4.086e+04   0.65371         4.410e+05   7.0565      2.401e+04   0.38416     0.026509      
7      6.8963       9.4412       7.9012       7.040e+02    0.011264         4.145e+04   0.66322         4.437e+05   7.0985      2.603e+04   0.41653     0.026509      
8      6.896        9.4811       9.2859       7.040e+02    0.011264         4.150e+04   0.66405         4.661e+05   7.4575      2.636e+04   0.4217      0.026509      
9      6.8951       9.4445       9.2842       7.040e+02    0.011264         4.128e+04   0.66056         4.384e+05   7.0149      2.437e+04   0.38995     0.026509      
10     6.8943       9.4632       9.4224       7.040e+02    0.011264         4.160e+04   0.66552         5.021e+05   8.033       2.708e+04   0.43325     0.026509      
11     6.893        9.4697       7.4656       7.040e+02    0.011264         4.140e+04   0.66245         4.235e+05   6.7767      2.461e+04   0.39373     0.026509      
12     6.8971       9.4511       6.968        7.040e+02    0.011264         4.134e+04   0.66139         4.430e+05   7.0887      2.449e+04   0.39189     0.026509      
13     6.8975       9.4334       8.1447       7.040e+02    0.011264         4.138e+04   0.66203         4.225e+05   6.7602      2.537e+04   0.4059      0.026509      
14     6.8972       9.4552       8.191        7.040e+02    0.011264         4.139e+04   0.66219         4.850e+05   7.7601      2.511e+04   0.40181     0.026509      
15     6.8975       9.4699       6.5119       7.040e+02    0.011264         4.117e+04   0.65877         4.405e+05   7.048       2.430e+04   0.38872     0.026509      
16     6.8976       9.4804       8.8587       7.040e+02    0.011264         4.112e+04   0.658           4.308e+05   6.8922      2.455e+04   0.39277     0.026509      
17     6.8939       9.4549       8.8095       7.040e+02    0.011264         4.116e+04   0.65864         4.564e+05   7.3025      2.434e+04   0.38941     0.026509      
18     6.8959       9.4762       7.7047       7.040e+02    0.011264         4.136e+04   0.66178         4.220e+05   6.7518      2.460e+04   0.39354     0.026509      
19     6.8962       9.4637       9.3628       7.040e+02    0.011264         4.126e+04   0.66021         4.705e+05   7.5288      2.634e+04   0.42142     0.026509      
20     6.8963       9.4534       9.3218       7.040e+02    0.011264         4.135e+04   0.66162         5.113e+05   8.1806      2.732e+04   0.4372      0.026509      
21     6.895        9.4584       8.3858       7.040e+02    0.011264         4.112e+04   0.658           4.165e+05   6.6648      2.370e+04   0.3792      0.026509      
22     6.8962       9.4516       9.0074       7.040e+02    0.011264         4.170e+04   0.66718         4.706e+05   7.5295      2.622e+04   0.41944     0.026509      
23     6.8947       9.4841       8.1335       7.040e+02    0.011264         4.142e+04   0.66267         4.380e+05   7.0083      2.540e+04   0.40646     0.026509      
24     6.895        9.5322       7.8147       7.040e+02    0.011264         4.095e+04   0.65522         4.038e+05   6.4608      2.393e+04   0.38294     0.026509      
25     6.8954       9.465        8.3401       7.040e+02    0.011264         4.170e+04   0.66728         4.314e+05   6.9017      2.547e+04   0.40749     0.026509      
26     6.8959       9.4405       9.058        7.040e+02    0.011264         4.142e+04   0.6628          4.238e+05   6.7803      2.402e+04   0.38427     0.026509      
27     6.8941       9.4865       8.5839       7.040e+02    0.011264         4.117e+04   0.65874         4.500e+05   7.1997      2.511e+04   0.40171     0.026509      
28     6.896        9.4688       7.072        7.040e+02    0.011264         4.129e+04   0.66062         4.140e+05   6.6245      2.425e+04   0.38797     0.026509      
29     6.8936       9.486        9.203        7.040e+02    0.011264         4.166e+04   0.66664         5.072e+05   8.115       2.720e+04   0.43528     0.026509      
30     6.8957       9.4779       8.2197       7.040e+02    0.011264         4.134e+04   0.66149         4.376e+05   7.0021      2.364e+04   0.37826     0.026509      
31     6.8937       9.4872       8.3884       7.040e+02    0.011264         4.142e+04   0.6627          4.601e+05   7.3614      2.528e+04   0.40451     0.026509      
32     6.893        9.447        9.1468       7.040e+02    0.011264         4.142e+04   0.66277         4.519e+05   7.2303      2.613e+04   0.41803     0.026509      
33     6.8917       9.4457       8.7737       7.040e+02    0.011264         4.127e+04   0.66027         4.493e+05   7.1887      2.474e+04   0.39579     0.026509      
34     6.8926       9.4413       8.3855       7.040e+02    0.011264         4.152e+04   0.6644          4.685e+05   7.4966      2.548e+04   0.4077      0.026509      
35     6.8926       9.4481       8.9413       7.040e+02    0.011264         4.157e+04   0.66514         4.676e+05   7.4817      2.632e+04   0.42114     0.026509      
36     6.8923       9.4403       9.3447       7.040e+02    0.011264         4.161e+04   0.66574         4.682e+05   7.4906      2.539e+04   0.4063      0.026509      
