Performance Recorder: RTAR_1DOP_Detailed_GPPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      0.31771      1.828        0.29887       0.87343      2.229e+05    3.5659           6.447e+03   0.10315     1.884e+04   0.3015      0.0038966     
1      0.25438      1.2028       0.27071       1.4695       2.456e+05    3.93             2.447e+03   0.039152    1.616e+04   0.25856     0.0038966     
2      0.25778      2.2762       0.28147       0.35813      6.897e+04    1.1036           1.416e+03   0.022656    1.626e+04   0.26021     0.0038966     
3      0.27979      1.9177       0.30202       0.72631      1.472e+05    2.3548           3.356e+03   0.053696    1.760e+04   0.28158     0.0038966     
4      0.2612       2.2913       0.37006       0.34198      5.796e+04    0.92742          2.273e+03   0.036368    1.899e+04   0.30386     0.0038966     
5      0.26102      2.1126       0.33537       0.47575      1.266e+05    2.0262           2.181e+03   0.034896    1.991e+04   0.3185      0.0038966     
6      0.2407       1.7247       0.3212        0.94461      1.775e+05    2.8406           1.165e+03   0.01864     1.722e+04   0.27547     0.0038966     
7      0.25734      2.3975       0.27314       0.24186      4.632e+04    0.74106          1.004e+03   0.016064    1.624e+04   0.25978     0.0038966     
8      0.26676      1.4122       0.41077       1.2352       2.500e+05    4                2.309e+03   0.036944    1.895e+04   0.30326     0.0038966     
9      0.26489      2.1375       0.33766       0.54568      1.666e+05    2.6649           3.105e+03   0.04968     1.948e+04   0.31171     0.0038966     
10     0.26134      1.9568       0.34341       0.76255      1.537e+05    2.4593           4.581e+03   0.073296    1.910e+04   0.30565     0.0038966     
11     0.26222      2.1606       0.28497       0.52863      6.248e+04    0.99963          2.683e+03   0.042928    1.613e+04   0.25814     0.0038966     
12     0.28758      1.9271       0.25833       0.69601      9.315e+04    1.4905           3.059e+03   0.048944    1.577e+04   0.25226     0.0038966     
13     0.2649       1.3349       0.19247       1.3343       3.266e+05    5.2257           5.346e+03   0.085536    1.302e+04   0.20834     0.0038966     
14     0.24205      1.2486       0.25984       1.5141       2.263e+05    3.6209           1.737e+03   0.027792    1.751e+04   0.28022     0.0038966     
15     0.25859      1.4049       0.33178       1.3566       2.219e+05    3.55             1.992e+03   0.031872    1.748e+04   0.27974     0.0038966     
