Performance Recorder: RTAR_1DOP_Detailed_NoPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      0.94243      1.4349       0.067219      0.23093      4.329e+04    0.69269          7.040e+02   0.011264    2.255e+03   0.03608     0.0033313     
1      0.95747      1.4492       0.31015       0.23832      4.370e+04    0.6992           7.040e+02   0.011264    3.268e+03   0.052288    0.0033313     
2      0.96078      1.4715       0.10587       0.16917      3.387e+04    0.54198          7.040e+02   0.011264    2.662e+03   0.042592    0.0033313     
3      0.96148      1.4864       0.05209       0.16276      3.011e+04    0.48176          7.040e+02   0.011264    1.492e+03   0.023872    0.0033313     
4      0.94408      1.5199       0.12825       0.14493      2.616e+04    0.41859          7.040e+02   0.011264    2.488e+03   0.039808    0.0033313     
5      0.96421      1.6179       0.092568      0.15822      2.360e+04    0.37758          7.040e+02   0.011264    1.903e+03   0.030448    0.0033313     
6      0.94824      1.559        0.13029       0.19119      2.405e+04    0.38482          7.040e+02   0.011264    2.457e+03   0.039312    0.0033313     
7      0.95609      1.5427       0.14383       0.14217      2.656e+04    0.42504          7.040e+02   0.011264    2.581e+03   0.041296    0.0033313     
8      0.97588      1.4818       0.22021       0.19615      2.546e+04    0.40736          7.040e+02   0.011264    3.804e+03   0.060864    0.0033313     
9      0.96111      1.5374       0.047512      0.22673      3.027e+04    0.48437          7.040e+02   0.011264    1.171e+03   0.018736    0.0033313     
10     0.97057      1.4845       0.10819       0.18906      3.166e+04    0.50651          7.040e+02   0.011264    3.167e+03   0.050672    0.0033313     
11     0.96646      1.4432       0.15136       0.22472      4.140e+04    0.66238          7.040e+02   0.011264    3.562e+03   0.056992    0.0033313     
12     0.95992      1.4608       0.15086       0.18547      3.172e+04    0.5076           7.040e+02   0.011264    2.699e+03   0.043184    0.0033313     
