Performance Recorder: RTAR_1DOP_Detailed_RandPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      0.39042      1.3198       0.33173       0.75361      1.382e+05    2.2105           2.818e+03   0.045088    1.495e+04   0.23925     0.0037287     
1      0.38038      1.1865       0.41144       0.62136      1.444e+05    2.31             2.818e+03   0.045088    1.183e+04   0.18934     0.0037287     
2      0.4324       1.3013       0.34449       0.75375      1.447e+05    2.3159           2.818e+03   0.045088    1.405e+04   0.22477     0.0037287     
3      0.4867       1.423        0.26673       0.63603      1.452e+05    2.3235           2.818e+03   0.045088    1.268e+04   0.20294     0.0037287     
4      0.47468      1.4214       0.40924       0.60284      1.418e+05    2.2689           2.818e+03   0.045088    1.675e+04   0.268       0.0037287     
5      0.49077      1.4669       0.53608       0.58827      1.463e+05    2.3403           2.818e+03   0.045088    1.550e+04   0.24797     0.0037287     
6      0.47307      1.2666       0.42753       0.73505      1.468e+05    2.3485           2.818e+03   0.045088    1.373e+04   0.21973     0.0037287     
7      0.47049      1.3539       0.41858       0.64676      1.470e+05    2.3521           2.818e+03   0.045088    1.489e+04   0.23829     0.0037287     
8      0.43258      1.16         0.36725       0.68795      1.429e+05    2.2862           2.818e+03   0.045088    1.505e+04   0.2408      0.0037287     
9      0.39419      1.3335       0.27757       0.81088      1.480e+05    2.3686           2.818e+03   0.045088    1.181e+04   0.18896     0.0037287     
10     0.39551      1.1744       0.18994       0.60709      1.417e+05    2.2669           2.818e+03   0.045088    1.026e+04   0.16411     0.0037287     
11     0.39416      1.3004       0.54467       0.70548      1.406e+05    2.2495           2.818e+03   0.045088    1.405e+04   0.2248      0.0037287     
12     0.45026      1.2348       0.28722       0.71559      1.430e+05    2.288            2.818e+03   0.045088    1.185e+04   0.18963     0.0037287     
13     0.39016      1.1909       0.23271       0.62818      1.469e+05    2.3508           2.818e+03   0.045088    1.124e+04   0.17986     0.0037287     
14     0.41506      1.2276       0.34504       0.68979      1.451e+05    2.3215           2.818e+03   0.045088    1.424e+04   0.22784     0.0037287     
15     0.38949      1.3224       0.28997       0.7545       1.469e+05    2.3503           2.831e+03   0.045296    1.274e+04   0.20376     0.0037287     
