Performance Recorder: RTAR_1D_Detailed_GPPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      4.7383       11.097       0.18529      2.973e+04    0.47566          2.360e+04   0.37754         2.940e+02   0.004704    3.736e+03   0.059776    0.019607      
1      4.7402       11.155       0.2289       5.847e+04    0.93555          4.672e+04   0.7475          4.620e+02   0.007392    4.225e+03   0.0676      0.019607      
2      4.7389       11.112       0.27943      3.679e+04    0.58869          6.917e+04   1.1068          5.690e+02   0.009104    4.795e+03   0.07672     0.019607      
3      4.7384       11.087       0.22291      3.296e+04    0.52738          4.719e+04   0.75502         4.520e+02   0.007232    5.263e+03   0.084208    0.019607      
4      4.7386       11.075       0.13904      4.836e+04    0.77373          2.110e+04   0.33768         2.540e+02   0.004064    3.130e+03   0.05008     0.019607      
5      4.7391       11.08        0.12949      9.453e+04    1.5124           2.393e+04   0.38294         2.500e+02   0.004       3.419e+03   0.054704    0.019607      
6      4.7386       11.092       0.24905      4.588e+04    0.734            4.691e+04   0.75062         4.800e+02   0.00768     3.715e+03   0.05944     0.019607      
7      4.7383       11.082       0.19144      4.990e+04    0.79835          2.969e+04   0.47506         3.470e+02   0.005552    4.919e+03   0.078704    0.019607      
8      4.7388       11.119       0.35546      7.082e+04    1.1332           5.714e+04   0.91421         7.940e+02   0.012704    3.206e+03   0.051296    0.019607      
9      4.7395       11.102       0.11982      5.370e+04    0.85918          1.366e+04   0.21859         1.770e+02   0.002832    2.403e+03   0.038448    0.019607      
10     4.7395       11.096       0.47458      2.274e+04    0.36379          8.077e+04   1.2923          6.240e+02   0.009984    5.855e+03   0.09368     0.019607      
11     4.7392       11.095       0.45685      2.506e+04    0.40091          7.633e+04   1.2213          5.510e+02   0.008816    4.630e+03   0.07408     0.019607      
12     4.7395       11.103       0.18439      1.772e+04    0.28355          3.585e+04   0.57362         3.550e+02   0.00568     5.268e+03   0.084288    0.019607      
13     4.7409       11.104       0.14485      1.970e+02    0.003152         2.688e+04   0.43016         3.040e+02   0.004864    5.054e+03   0.080864    0.019607      
14     4.7388       11.12        0.13121      8.750e+04    1.3999           2.618e+04   0.41885         2.980e+02   0.004768    4.178e+03   0.066848    0.019607      
15     4.7383       11.118       0.23024      1.384e+05    2.2147           3.958e+04   0.63322         4.240e+02   0.006784    4.260e+03   0.06816     0.019607      
16     4.7386       11.1         0.2653       4.212e+04    0.67392          5.058e+04   0.8093          4.720e+02   0.007552    4.718e+03   0.075488    0.019607      
17     4.74         11.097       2.1038       2.312e+04    0.36987          5.464e+05   8.7426          3.343e+03   0.053488    6.483e+03   0.10373     0.019607      
18     4.7395       11.09        0.59542      2.243e+04    0.35888          1.297e+05   2.0745          1.061e+03   0.016976    6.129e+03   0.098064    0.019607      
19     4.739        11.103       0.14638      3.418e+04    0.54683          1.580e+04   0.25275         2.160e+02   0.003456    2.636e+03   0.042176    0.019607      
20     4.7409       11.075       1.273        2.140e+04    0.34248          2.340e+05   3.7436          2.085e+03   0.03336     5.794e+03   0.092704    0.019607      
21     4.7398       11.08        0.45931      3.055e+04    0.48883          9.425e+04   1.508           9.180e+02   0.014688    3.850e+03   0.0616      0.019607      
22     4.7397       11.089       0.13599      4.253e+04    0.68043          2.375e+04   0.38003         2.440e+02   0.003904    4.185e+03   0.06696     0.019607      
23     4.7401       11.098       0.15351      4.226e+04    0.67608          2.448e+04   0.39166         2.580e+02   0.004128    4.646e+03   0.074336    0.019607      
24     4.7401       11.081       0.1451       2.120e+02    0.003392         3.018e+04   0.48282         3.310e+02   0.005296    4.663e+03   0.074608    0.019607      
25     4.7396       11.115       0.16172      6.515e+04    1.0423           2.441e+04   0.39051         2.370e+02   0.003792    3.563e+03   0.057008    0.019607      
26     4.7405       11.079       0.72228      4.440e+04    0.71032          1.516e+05   2.4263          1.292e+03   0.020672    3.668e+03   0.058688    0.019607      
27     4.74         11.105       0.24629      2.384e+04    0.38142          3.947e+04   0.63149         4.420e+02   0.007072    3.638e+03   0.058208    0.019607      
28     4.7401       11.093       0.13294      1.300e+01    0.000208         2.210e+04   0.35355         2.440e+02   0.003904    4.373e+03   0.069968    0.019607      
29     4.7399       11.111       0.50311      4.233e+04    0.67733          9.491e+04   1.5186          6.910e+02   0.011056    4.825e+03   0.0772      0.019607      
30     4.7397       11.11        0.14493      1.898e+04    0.30376          2.724e+04   0.4359          3.070e+02   0.004912    3.938e+03   0.063008    0.019607      
31     4.7399       11.143       0.54         5.364e+04    0.85824          8.353e+04   1.3365          4.910e+02   0.007856    5.360e+03   0.08576     0.019607      
32     4.7409       11.069       0.11978      2.880e+04    0.46078          2.255e+04   0.36074         2.250e+02   0.0036      3.273e+03   0.052368    0.019607      
33     4.7418       11.071       0.25986      2.700e+01    0.000432         6.023e+04   0.96366         6.420e+02   0.010272    4.415e+03   0.07064     0.019607      
34     4.7405       11.061       0.22647      4.475e+04    0.71605          5.391e+04   0.86259         5.500e+02   0.0088      5.506e+03   0.088096    0.019607      
35     4.7411       11.074       0.2334       4.956e+04    0.79294          3.691e+04   0.59051         4.850e+02   0.00776     3.555e+03   0.05688     0.019607      
36     4.7415       11.076       0.12283      5.662e+04    0.90584          1.830e+04   0.29288         2.140e+02   0.003424    2.990e+03   0.04784     0.019607      
37     4.7418       11.08        0.10776      1.058e+05    1.692            1.572e+04   0.25154         2.150e+02   0.00344     2.241e+03   0.035856    0.019607      
38     4.742        11.067       0.18025      1.096e+05    1.7529           3.647e+04   0.58347         3.690e+02   0.005904    4.256e+03   0.068096    0.019607      
