Performance Recorder: RTAR_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      2.3863       15.951       1.3782       1.820e+05    2.9119           5.710e+05   9.1364          4.644e+03   0.074304    2.177e+04   0.34834     0.021343      
1      2.3861       15.939       0.90619      1.670e+05    2.6715           3.007e+05   4.8114          2.120e+03   0.03392     2.036e+04   0.32576     0.021343      
2      2.3862       15.972       0.72926      2.081e+05    3.3296           2.431e+05   3.8894          2.189e+03   0.035024    2.184e+04   0.34946     0.021343      
3      2.3867       15.946       0.42571      1.705e+05    2.7288           1.696e+05   2.7128          1.718e+03   0.027488    1.931e+04   0.30899     0.021343      
4      2.387        15.951       2.855        1.931e+05    3.0893           7.640e+05   12.224          3.767e+03   0.060272    2.055e+04   0.32875     0.021343      
5      2.3863       15.934       0.71106      1.874e+05    2.9979           2.810e+05   4.496           2.378e+03   0.038048    2.002e+04   0.32026     0.021343      
6      2.3861       15.948       1.1583       1.773e+05    2.8364           3.783e+05   6.0522          3.401e+03   0.054416    2.006e+04   0.32098     0.021343      
7      2.3866       15.968       0.48077      1.851e+05    2.9621           2.361e+05   3.7781          2.319e+03   0.037104    2.111e+04   0.33778     0.021343      
8      2.3866       15.954       0.62472      1.902e+05    3.0435           2.746e+05   4.3935          2.312e+03   0.036992    1.912e+04   0.30592     0.021343      
9      2.3863       15.944       0.52635      2.695e+05    4.3127           2.319e+05   3.7104          1.994e+03   0.031904    1.884e+04   0.30146     0.021343      
10     2.3862       15.972       1.9935       1.412e+05    2.2591           5.768e+05   9.2286          3.851e+03   0.061616    1.627e+04   0.26032     0.021343      
11     2.3856       15.951       0.32219      1.570e+05    2.5123           1.588e+05   2.541           1.552e+03   0.024832    2.011e+04   0.32176     0.021343      
12     2.3871       15.947       1.3182       1.847e+05    2.9547           3.766e+05   6.026           2.711e+03   0.043376    2.163e+04   0.34608     0.021343      
13     2.3863       15.951       2.1602       2.089e+05    3.3422           6.387e+05   10.219          5.855e+03   0.09368     1.989e+04   0.31827     0.021343      
14     2.3862       15.972       0.71058      1.909e+05    3.0539           2.819e+05   4.51            2.568e+03   0.041088    2.165e+04   0.34637     0.021343      
15     2.3867       15.949       0.4644       1.952e+05    3.1228           1.851e+05   2.9619          1.722e+03   0.027552    2.096e+04   0.33542     0.021343      
