Performance Recorder: RTAR_1D_Detailed_RandPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      2.9083       13.24        1.2204       1.382e+05    2.2105           2.919e+05   4.6703          2.396e+03   0.038336    1.495e+04   0.23925     0.021125      
1      2.9076       13.242       0.92218      1.444e+05    2.31             1.853e+05   2.9651          1.558e+03   0.024928    1.183e+04   0.18934     0.021125      
2      2.9085       13.243       0.58275      1.447e+05    2.3159           1.815e+05   2.9037          1.997e+03   0.031952    1.405e+04   0.22477     0.021125      
3      2.9083       13.263       0.19915      1.452e+05    2.3235           7.115e+04   1.1384          9.210e+02   0.014736    1.268e+04   0.20294     0.021125      
4      2.9091       13.235       0.73978      1.418e+05    2.2689           2.503e+05   4.0041          2.939e+03   0.047024    1.675e+04   0.268       0.021125      
5      2.9083       13.238       0.81638      1.463e+05    2.3403           3.834e+05   6.1348          4.210e+03   0.06736     1.550e+04   0.24797     0.021125      
6      2.9079       13.237       0.41571      1.468e+05    2.3485           1.383e+05   2.2135          1.603e+03   0.025648    1.373e+04   0.21973     0.021125      
7      2.9086       13.268       0.47599      1.470e+05    2.3521           1.563e+05   2.5012          1.727e+03   0.027632    1.489e+04   0.23829     0.021125      
8      2.9098       13.249       1.8255       1.429e+05    2.2862           5.293e+05   8.4692          5.923e+03   0.094768    1.505e+04   0.2408      0.021125      
9      2.9094       13.235       0.56554      1.480e+05    2.3686           1.635e+05   2.6152          1.887e+03   0.030192    1.181e+04   0.18896     0.021125      
10     2.9096       13.239       0.22727      1.417e+05    2.2669           6.670e+04   1.0672          9.270e+02   0.014832    1.026e+04   0.16411     0.021125      
11     2.9095       13.269       4.788        1.406e+05    2.2495           1.302e+06   20.825          1.226e+04   0.19624     1.405e+04   0.2248      0.021125      
12     2.9092       13.247       0.80267      1.430e+05    2.288            2.231e+05   3.5696          2.560e+03   0.04096     1.185e+04   0.18963     0.021125      
13     2.9085       13.234       0.23799      1.469e+05    2.3508           8.542e+04   1.3668          1.075e+03   0.0172      1.124e+04   0.17986     0.021125      
14     2.9083       13.239       0.318        1.451e+05    2.3215           1.169e+05   1.8698          1.368e+03   0.021888    1.424e+04   0.22784     0.021125      
15     2.9084       13.263       0.3801       1.469e+05    2.3503           1.281e+05   2.0498          1.745e+03   0.02792     1.274e+04   0.20376     0.021125      
