Performance Recorder: RTAR_2D_Detailed_GPPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      13.038        3.7047        0.94586      0.23225      1.541e+05    2.344e+03    1.766e+04    0.018767      
1      12.409        3.7843        1.3559       0.19851      1.849e+05    2.623e+03    1.766e+04    0.018767      
2      12.398        3.7985        1.297        0.26844      1.114e+05    4.164e+03    1.803e+04    0.018767      
3      13.222        3.4245        1.4251       0.22219      2.018e+05    2.144e+03    1.552e+04    0.018767      
4      7.1896        9.6219        0.86143      0.22892      1.470e+05    2.419e+03    1.766e+04    0.018767      
5      5.9585        10.289        1.2899       0.21534      1.907e+05    3.648e+03    1.945e+04    0.018767      
6      6.5302        9.7414        1.3011       0.28617      1.082e+05    3.120e+03    1.886e+04    0.018767      
7      9.732         6.9165        1.3407       0.23639      2.054e+05    2.088e+03    1.638e+04    0.018767      
8      13.519        3.289         0.88149      0.23432      1.557e+05    1.652e+03    1.803e+04    0.018767      
9      12.828        3.3614        1.3748       0.20501      2.100e+05    5.445e+03    1.886e+04    0.018767      
10     12.807        3.3278        1.4266       0.3052       1.158e+05    2.431e+03    2.008e+04    0.018767      
11     13.345        3.1871        1.4925       0.23698      2.344e+05    1.747e+03    1.670e+04    0.018767      
12     13.249        3.5523        0.8758       0.31098      1.275e+05    2.195e+03    1.552e+04    0.018767      
13     12.741        3.5562        1.2291       0.19337      1.684e+05    3.053e+03    1.638e+04    0.018767      
14     12.698        3.6226        1.1935       0.26192      8.040e+04    2.299e+03    1.670e+04    0.018767      
15     14.917        1.6879        1.4865       0.22714      1.980e+05    3.729e+03    1.519e+04    0.018767      
