Performance Recorder: RTAR_2D_Detailed_NoPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      5.2956        4.0899        1.2265       0.12741      3.980e+04    1.122e+03    2.880e+03    0.011444      
1      6.6169        3.3695        0.6356       0.13694      3.879e+04    4.640e+02    2.680e+03    0.011444      
2      4.8406        4.5517        1.4701       0.11649      4.317e+04    1.296e+03    2.225e+03    0.011444      
3      6.5784        3.2868        0.75396      0.12185      3.794e+04    8.040e+02    2.375e+03    0.011444      
4      6.8103        3.2314        0.49318      0.10127      3.236e+04    3.600e+02    2.183e+03    0.011444      
5      6.4053        3.3584        0.79378      0.095754     2.535e+04    8.930e+02    2.152e+03    0.011444      
6      6.8808        3.253         0.40979      0.11205      2.439e+04    2.960e+02    2.241e+03    0.011444      
7      6.8298        3.2116        0.45318      0.096876     2.565e+04    4.020e+02    2.402e+03    0.011444      
8      8.3406        1.2487        1.0863       0.13358      3.311e+04    1.000e+03    2.680e+03    0.011444      
9      8.7519        1.2456        0.65794      0.1715       3.447e+04    5.060e+02    3.538e+03    0.011444      
10     7.7442        1.5809        1.5321       0.13481      3.630e+04    1.525e+03    2.519e+03    0.011444      
11     8.7835        1.1924        0.67839      0.13434      3.305e+04    6.450e+02    2.788e+03    0.011444      
12     9.0184        1.1091        0.48677      0.099281     3.525e+04    3.260e+02    2.577e+03    0.011444      
13     8.6335        1.2881        0.69994      0.10576      3.109e+04    1.006e+03    2.399e+03    0.011444      
14     9.1242        1.1195        0.40121      0.11103      3.156e+04    2.970e+02    2.506e+03    0.011444      
15     8.9744        1.165         0.42732      0.10422      3.179e+04    3.320e+02    2.803e+03    0.011444      
16     6.0763        3.494         1.014        0.12858      3.108e+04    1.249e+03    2.225e+03    0.011444      
17     7.3924        2.5958        0.61664      0.13064      3.025e+04    4.810e+02    2.519e+03    0.011444      
18     5.3721        4.0286        1.3602       0.11824      3.272e+04    1.187e+03    2.516e+03    0.011444      
19     7.3498        2.6113        0.63564      0.11657      2.968e+04    7.750e+02    2.310e+03    0.011444      
20     7.6801        2.4085        0.46154      0.084063     2.616e+04    3.460e+02    1.978e+03    0.011444      
21     7.2782        2.5773        0.6752       0.090254     2.169e+04    9.690e+02    2.057e+03    0.011444      
22     7.7632        2.3892        0.38802      0.09266      2.232e+04    2.910e+02    2.040e+03    0.011444      
