Performance Recorder: RTAR_2D_Detailed_RandPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      11.888        1.349         0.79507      0.22233      1.357e+05    1.761e+03    1.422e+04    0.0154        
1      9.3324        4.3854        0.6978       0.25693      1.381e+05    2.568e+03    1.487e+04    0.0154        
2      8.4778        4.3433        1.8777       0.17102      1.363e+05    5.249e+03    1.230e+04    0.0154        
3      12.006        1.3936        0.55579      0.16182      1.383e+05    1.697e+03    1.213e+04    0.0154        
4      11.379        2.3298        0.93809      0.22259      1.696e+05    1.655e+03    1.487e+04    0.0154        
5      9.2865        4.3287        0.82485      0.2902       1.725e+05    2.629e+03    1.791e+04    0.0154        
6      8.497         4.2576        1.9671       0.20908      1.695e+05    5.310e+03    1.418e+04    0.0154        
7      11.56         2.3817        0.6209       0.18807      1.721e+05    1.681e+03    1.390e+04    0.0154        
8      13.027        0.29591       0.84368      0.18303      1.376e+05    1.723e+03    1.230e+04    0.0154        
9      11.807        1.9026        0.7132       0.24611      1.395e+05    2.711e+03    1.418e+04    0.0154        
10     11.108        1.9208        1.6264       0.18072      1.375e+05    5.203e+03    1.293e+04    0.0154        
11     13.3          0.22547       0.55465      0.16188      1.396e+05    1.638e+03    1.175e+04    0.0154        
12     12.883        0.14831       0.84605      0.19334      1.299e+05    1.733e+03    1.213e+04    0.0154        
13     12.019        1.6656        0.73224      0.24375      1.318e+05    2.571e+03    1.390e+04    0.0154        
14     11.356        1.5959        1.725        0.16785      1.298e+05    5.240e+03    1.175e+04    0.0154        
15     13.024        0.19758       0.57568      0.17773      1.316e+05    1.732e+03    1.229e+04    0.0154        
