Performance Recorder: RTA_2D_Detailed_GPPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      22.406        103.03        20.637       0.81268      4.990e+02    1.058e+06    3.543e+04    0.16028       
1      21.61         100.53        25.395       0.97383      3.580e+02    4.792e+05    4.632e+04    0.16028       
2      14.474        109.33        25.693       1.0161       4.840e+02    7.521e+05    4.041e+04    0.16028       
3      17.875        103.88        27.833       1.1786       3.110e+02    5.133e+05    5.617e+04    0.16028       
4      46.186        83.728        15.047       0.64282      5.300e+02    1.776e+05    2.906e+04    0.16028       
5      49.787        85.304        13.151       0.54647      4.720e+02    5.091e+04    2.495e+04    0.16028       
6      33.74         99.647        17.871       0.8822       2.390e+02    1.134e+05    4.685e+04    0.16028       
7      25.902        102.16        25.84        0.79608      2.230e+02    2.512e+05    3.956e+04    0.16028       
8      23.111        103.46        19.289       0.58076      4.550e+02    4.792e+05    3.901e+04    0.16028       
9      21.461        99.677        26.627       0.79928      4.960e+02    1.357e+06    5.524e+04    0.16028       
10     13.353        110.15        26.168       0.76954      3.540e+02    6.088e+05    4.419e+04    0.16028       
11     18.002        103.55        28.506       0.95454      3.930e+02    7.833e+05    6.131e+04    0.16028       
12     46            84.163        14.74        0.49336      9.450e+02    1.701e+05    2.801e+04    0.16028       
13     49.539        86.253        12.214       0.37298      4.130e+02    1.483e+05    2.290e+04    0.16028       
14     31.967        100.09        19.487       0.71306      2.850e+02    3.552e+05    4.866e+04    0.16028       
15     26.62         102.67        24.883       0.66631      2.900e+02    3.341e+05    4.104e+04    0.16028       
16     60.614        57.133        29.558       1.1999       1.551e+03    7.521e+05    4.477e+04    0.16028       
17     47.937        61.234        39.684       1.4373       1.134e+03    6.088e+05    6.215e+04    0.16028       
18     37.53         72.42         41.39        1.3946       1.185e+03    1.311e+06    5.160e+04    0.16028       
19     42.381        69.099        39.864       1.1195       1.434e+03    6.160e+05    6.804e+04    0.16028       
20     79.883        45.528        20.493       0.85304      7.880e+02    2.942e+05    3.184e+04    0.16028       
21     91.141        43.391        14.052       0.62747      5.960e+02    1.105e+05    2.769e+04    0.16028       
22     49.941        82.344        25.819       0.91384      9.930e+02    1.068e+05    5.596e+04    0.16028       
23     58.064        59.981        37.798       0.6855       8.740e+02    4.098e+05    4.847e+04    0.16028       
24     55.707        72.208        18.806       0.71714      3.190e+02    5.133e+05    3.457e+04    0.16028       
25     42.883        72.09         33.195       0.87587      1.100e+03    7.833e+05    5.190e+04    0.16028       
26     30.999        88.448        30.851       0.68244      3.830e+02    6.160e+05    3.721e+04    0.16028       
27     37.856        80.962        31.575       0.91176      6.060e+02    1.154e+06    6.121e+04    0.16028       
28     69.042        60.593        16.042       0.53168      5.180e+02    2.997e+05    2.516e+04    0.16028       
29     76.752        57.97         13.45        0.37722      5.440e+02    1.693e+05    2.556e+04    0.16028       
30     39.908        97.471        19.533       0.70323      3.210e+02    7.209e+05    5.500e+04    0.16028       
31     52.401        75.028        26.664       0.64111      3.190e+02    6.121e+05    4.480e+04    0.16028       
32     35.681        92.312        18.542       0.7228       6.190e+02    1.776e+05    2.882e+04    0.16028       
