Performance Recorder: RTA_2D_Detailed_NoPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      9.7426        64.353        32.677       1.2687       1.122e+03    7.785e+05    3.980e+04    0.1134        
1      14.057        61.015        32.474       1.2267       1.000e+03    6.884e+05    3.879e+04    0.1134        
2      13.373        62.21         32.148       1.2765       1.249e+03    7.265e+05    4.317e+04    0.1134        
3      21.195        57.262        28.412       1.1569       1.001e+03    6.390e+05    3.794e+04    0.1134        
4      20.733        61.653        27.391       0.87099      6.760e+02    3.794e+05    3.236e+04    0.1134        
5      30.021        60.003        18.898       0.51856      6.350e+02    1.747e+05    2.535e+04    0.1134        
6      31.447        57.221        22.138       0.51637      4.290e+02    1.779e+05    2.439e+04    0.1134        
7      25.414        60.879        24.061       0.67218      6.070e+02    2.081e+05    2.565e+04    0.1134        
8      11.051        70.001        25.863       0.72712      4.640e+02    6.884e+05    3.311e+04    0.1134        
9      15.815        66.043        25.802       0.82521      5.060e+02    6.946e+05    3.447e+04    0.1134        
10     13.853        67.82         26.147       0.7192       4.810e+02    6.779e+05    3.630e+04    0.1134        
11     20.669        62.861        23.521       0.73228      5.280e+02    6.205e+05    3.305e+04    0.1134        
12     16.212        67.134        27.044       0.71823      5.270e+02    4.610e+05    3.525e+04    0.1134        
13     23.322        65.756        20.351       0.59275      9.540e+02    2.224e+05    3.109e+04    0.1134        
14     25.102        62.693        23.472       0.57721      9.000e+02    2.515e+05    3.156e+04    0.1134        
15     19.752        66.669        24.313       0.63755      7.890e+02    2.787e+05    3.179e+04    0.1134        
16     23.939        56.565        26.798       0.94346      1.296e+03    7.265e+05    3.108e+04    0.1134        
17     29.771        48.699        30.346       0.96199      1.525e+03    6.779e+05    3.025e+04    0.1134        
18     21.158        58.273        28.795       0.87082      1.187e+03    8.652e+05    3.272e+04    0.1134        
19     25.672        56.24         25.632       0.85167      1.449e+03    6.801e+05    2.968e+04    0.1134        
20     29.732        49.354        32.792       0.70814      2.330e+03    4.751e+05    2.616e+04    0.1134        
21     35.868        53.914        19.549       0.51613      1.639e+03    2.852e+05    2.169e+04    0.1134        
22     41.788        45.398        24.37        0.554        2.532e+03    2.680e+05    2.232e+04    0.1134        
23     35.852        50.127        25.76        0.58264      2.292e+03    3.093e+05    2.256e+04    0.1134        
24     9.4374        67.423        30.342       0.6985       8.040e+02    6.390e+05    2.940e+04    0.1134        
25     22.31         57.332        28.488       0.72214      6.450e+02    6.205e+05    2.916e+04    0.1134        
26     11.839        66.072        30.275       0.68704      7.750e+02    6.801e+05    3.193e+04    0.1134        
27     18.109        62.466        26.559       0.65537      6.990e+02    6.017e+05    2.870e+04    0.1134        
28     23.433        59.998        26.91        0.55439      4.680e+02    4.215e+05    2.738e+04    0.1134        
29     28.843        60.383        20.279       0.45572      7.310e+02    2.150e+05    2.484e+04    0.1134        
30     32.664        56.008        22.671       0.52901      6.160e+02    2.356e+05    2.423e+04    0.1134        
31     27.65         60.312        22.819       0.48253      5.820e+02    2.660e+05    2.442e+04    0.1134        
32     7.6317        76.067        23.409       0.60537      3.600e+02    3.794e+05    2.460e+04    0.1134        
33     17.435        66.494        23.931       0.71612      3.260e+02    4.610e+05    2.582e+04    0.1134        
34     10.929        72.933        23.95        0.73442      3.460e+02    4.751e+05    2.764e+04    0.1134        
35     16.764        67.94         22.104       0.57385      3.650e+02    4.215e+05    2.449e+04    0.1134        
36     13.256        72.655        24.272       0.62205      3.820e+02    7.037e+05    2.659e+04    0.1134        
37     19.644        71.149        18.331       0.56388      3.750e+02    3.874e+05    2.496e+04    0.1134        
38     22.774        68.357        19.991       0.54039      2.560e+02    5.349e+05    2.448e+04    0.1134        
39     17.875        71.972        20.711       0.41351      3.340e+02    5.352e+05    2.442e+04    0.1134        
40     7.3439        69.225        30.562       0.71161      8.930e+02    1.747e+05    3.110e+04    0.1134        
41     17.624        59.736        30.39        0.8011       1.006e+03    2.224e+05    2.919e+04    0.1134        
42     11.472        66.075        30.475       0.80452      9.690e+02    2.852e+05    3.360e+04    0.1134        
43     18.928        61.073        26.956       0.63476      9.270e+02    2.150e+05    2.910e+04    0.1134        
44     17.636        65.833        26.568       0.53254      7.090e+02    3.874e+05    2.388e+04    0.1134        
45     25.876        64.065        19.207       0.42849      5.580e+02    5.692e+05    2.134e+04    0.1134        
46     28.855        61.52         20.584       0.39852      3.290e+02    5.323e+05    1.875e+04    0.1134        
47     22.01         65.289        23.06        0.42789      4.600e+02    4.947e+05    1.978e+04    0.1134        
48     7.6785        76.772        22.422       0.7499       2.960e+02    1.779e+05    3.045e+04    0.1134        
49     16.091        68.475        23.255       0.74422      2.970e+02    2.515e+05    2.958e+04    0.1134        
50     9.641         74.756        23.439       0.6137       2.910e+02    2.680e+05    3.257e+04    0.1134        
51     15.415        69.828        21.728       0.65641      3.010e+02    2.356e+05    2.891e+04    0.1134        
52     13.183        74.352        22.561       0.52054      2.570e+02    5.349e+05    2.525e+04    0.1134        
53     19.512        72.755        16.899       0.49951      3.470e+02    5.323e+05    2.331e+04    0.1134        
54     22.441        69.745        18.749       0.42702      2.710e+02    6.879e+05    2.212e+04    0.1134        
55     17.194        73.662        19.779       0.53581      2.500e+02    6.024e+05    2.243e+04    0.1134        
56     7.7149        75.69         23.463       0.64416      4.020e+02    2.081e+05    3.210e+04    0.1134        
57     16.504        67.545        23.835       0.60343      3.320e+02    2.787e+05    3.117e+04    0.1134        
58     10.776        73.639        23.589       0.63289      3.390e+02    3.093e+05    3.475e+04    0.1134        
59     16.862        68.696        21.449       0.5529       3.670e+02    2.660e+05    3.067e+04    0.1134        
60     14.682        73.239        22.308       0.48994      2.880e+02    5.352e+05    2.901e+04    0.1134        
61     20.575        71.885        16.87        0.42787      3.980e+02    4.947e+05    2.668e+04    0.1134        
62     23.354        68.631        19.155       0.38906      3.040e+02    6.024e+05    2.624e+04    0.1134        
63     18.576        72.707        19.6         0.45846      3.280e+02    5.694e+05    2.612e+04    0.1134        
