Performance Recorder: RTA_2D_Detailed_RandPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      1.4224        40.256        34.718       1.2869       1.761e+03    1.802e+06    1.357e+05    0.083411      
1      2.3391        36.751        34.633       1.2629       1.655e+03    1.807e+06    1.381e+05    0.083411      
2      7.2467        35.341        35.168       1.3071       1.723e+03    1.779e+06    1.363e+05    0.083411      
3      10.53         33.144        35.417       1.3045       1.733e+03    1.819e+06    1.383e+05    0.083411      
4      1.7807        41.162        34.28        1.693        2.568e+03    1.807e+06    1.696e+05    0.083411      
5      3.552         35.844        35.261       1.7015       2.629e+03    1.836e+06    1.725e+05    0.083411      
6      7.7546        36.376        34.369       1.749        2.711e+03    1.796e+06    1.695e+05    0.083411      
7      10.074        33.838        36.007       1.7312       2.571e+03    1.834e+06    1.721e+05    0.083411      
8      3.1098        36.012        39.33        1.3376       5.249e+03    1.779e+06    1.376e+05    0.083411      
9      1.2885        34.617        40.041       1.311        5.310e+03    1.796e+06    1.395e+05    0.083411      
10     9.7315        30.054        40.397       1.426        5.203e+03    1.780e+06    1.375e+05    0.083411      
11     10.423        29.883        40.986       1.3618       5.240e+03    1.811e+06    1.396e+05    0.083411      
12     1.5749        41.969        32.677       1.2573       1.697e+03    1.819e+06    1.299e+05    0.083411      
13     2.0345        38.45         32.975       1.2158       1.681e+03    1.834e+06    1.318e+05    0.083411      
14     9.7391        34.888        33.035       1.2722       1.638e+03    1.811e+06    1.298e+05    0.083411      
15     10.281        34.848        33.93        1.2623       1.732e+03    1.857e+06    1.316e+05    0.083411      
