Performance Recorder: AA_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      143          568.76       433.08       1.501e+07    240.19           2.769e+07   442.98          1.501e+07   240.19      8.105e+07   1296.8      1.6556        
1      143          568.72       440.44       1.423e+07    227.67           3.766e+07   602.52          1.423e+07   227.67      7.694e+07   1231.1      1.6556        
2      143          568.72       434.43       1.492e+07    238.65           3.390e+07   542.34          1.492e+07   238.65      8.057e+07   1289.1      1.6556        
3      143          568.72       465.13       1.497e+07    239.5            3.281e+07   524.99          1.497e+07   239.5       8.107e+07   1297.1      1.6556        
4      143          568.73       452.78       1.487e+07    237.88           3.306e+07   528.92          1.487e+07   237.88      8.048e+07   1287.7      1.6556        
5      143          568.72       427.11       1.471e+07    235.41           3.394e+07   542.97          1.471e+07   235.41      7.964e+07   1274.2      1.6556        
6      143          568.73       478.24       1.500e+07    240.03           4.479e+07   716.65          1.500e+07   240.03      8.113e+07   1298.2      1.6556        
7      143          568.74       394.84       1.374e+07    219.84           3.243e+07   518.93          1.374e+07   219.84      7.415e+07   1186.4      1.6556        
8      143          568.73       429.53       1.479e+07    236.61           3.588e+07   574.11          1.479e+07   236.61      8.008e+07   1281.3      1.6556        
9      143          568.71       409.96       1.366e+07    218.53           2.885e+07   461.66          1.366e+07   218.53      7.370e+07   1179.3      1.6556        
10     143          568.75       378.73       1.263e+07    202.08           5.455e+07   872.76          1.263e+07   202.08      6.847e+07   1095.4      1.6556        
11     143          568.73       453.72       1.468e+07    234.92           3.234e+07   517.44          1.468e+07   234.92      7.947e+07   1271.6      1.6556        
12     143          568.76       455.83       1.484e+07    237.45           3.503e+07   560.55          1.484e+07   237.45      8.031e+07   1284.9      1.6556        
13     143          568.72       372.67       1.308e+07    209.21           2.995e+07   479.23          1.308e+07   209.21      7.062e+07   1130        1.6556        
14     143          568.71       453.64       1.479e+07    236.57           5.819e+07   931.06          1.479e+07   236.57      8.012e+07   1281.9      1.6556        
15     143          568.73       392.62       1.361e+07    217.74           2.810e+07   449.53          1.361e+07   217.74      7.348e+07   1175.7      1.6556        
