Performance Recorder: AA_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      113.53       104.95       399.7        1.359e+07    217.41           2.786e+07   445.78          1.359e+07   217.41      7.540e+07   1206.4      1.1569        
1      113.53       104.97       421.4        1.426e+07    228.16           2.996e+07   479.31          1.426e+07   228.16      7.798e+07   1247.6      1.1569        
2      113.53       104.95       405.96       1.426e+07    228.16           2.996e+07   479.31          1.426e+07   228.16      7.798e+07   1247.6      1.1569        
3      113.53       104.94       423.73       1.426e+07    228.16           2.995e+07   479.25          1.426e+07   228.16      7.798e+07   1247.6      1.1569        
4      113.53       104.96       415.45       1.426e+07    228.16           2.995e+07   479.25          1.426e+07   228.16      7.798e+07   1247.6      1.1569        
5      113.53       104.97       395.32       1.426e+07    228.16           2.995e+07   479.25          1.426e+07   228.16      7.798e+07   1247.6      1.1569        
6      113.53       104.94       418.71       1.426e+07    228.16           2.996e+07   479.31          1.426e+07   228.16      7.798e+07   1247.6      1.1569        
7      113.53       104.95       405.56       1.426e+07    228.16           2.996e+07   479.3           1.426e+07   228.16      7.797e+07   1247.6      1.1569        
8      113.53       104.96       488.58       1.388e+07    222.07           2.922e+07   467.52          1.388e+07   222.07      7.379e+07   1180.6      1.1569        
9      113.53       104.95       506.75       1.460e+07    233.67           3.067e+07   490.8           1.460e+07   233.67      7.832e+07   1253.1      1.1569        
10     113.53       104.94       486.47       1.460e+07    233.67           3.068e+07   490.83          1.460e+07   233.67      7.829e+07   1252.7      1.1569        
11     113.53       104.97       503.04       1.460e+07    233.67           3.067e+07   490.74          1.460e+07   233.67      7.832e+07   1253.1      1.1569        
12     113.53       104.96       506.69       1.460e+07    233.67           3.067e+07   490.74          1.460e+07   233.67      7.832e+07   1253.1      1.1569        
13     113.53       104.95       495.26       1.460e+07    233.67           3.068e+07   490.83          1.460e+07   233.67      7.829e+07   1252.7      1.1569        
14     113.53       104.94       505.51       1.460e+07    233.67           3.068e+07   490.85          1.460e+07   233.67      7.832e+07   1253.1      1.1569        
15     113.53       104.97       482.42       1.460e+07    233.64           2.998e+07   479.65          1.460e+07   233.64      7.641e+07   1222.6      1.1569        
