Performance Recorder: AA_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      318.21       5466.3       462.1        3.586e+06    57.373           2.295e+08   3672.3          3.586e+06   57.373      1.940e+07   310.39      6.3858        
1      318.21       5466.3       459.16       3.587e+06    57.388           2.295e+08   3672.3          3.587e+06   57.388      1.940e+07   310.37      6.3858        
2      318.21       5466.3       462.64       3.586e+06    57.376           2.295e+08   3672.3          3.586e+06   57.376      1.939e+07   310.18      6.3858        
3      318.21       5466.3       463.97       3.587e+06    57.392           2.295e+08   3672.3          3.587e+06   57.392      1.939e+07   310.29      6.3858        
4      318.2        5466.3       459.44       3.586e+06    57.384           2.295e+08   3672.3          3.586e+06   57.384      1.939e+07   310.3       6.3858        
5      318.2        5466.3       460.87       3.587e+06    57.389           2.295e+08   3672.3          3.587e+06   57.389      1.940e+07   310.42      6.3858        
6      318.21       5466.3       463.98       3.586e+06    57.379           2.295e+08   3672.3          3.586e+06   57.379      1.940e+07   310.41      6.3858        
7      318.2        5466.3       462.86       3.587e+06    57.389           2.295e+08   3672.3          3.587e+06   57.389      1.939e+07   310.18      6.3858        
8      318.21       5466.3       461.01       3.587e+06    57.389           2.295e+08   3672.3          3.587e+06   57.389      1.942e+07   310.64      6.3858        
9      318.2        5466.3       460.61       3.587e+06    57.39            2.295e+08   3672.3          3.587e+06   57.39       1.941e+07   310.55      6.3858        
10     318.2        5466.3       463.57       3.587e+06    57.392           2.295e+08   3672.3          3.587e+06   57.392      1.940e+07   310.32      6.3858        
11     318.2        5466.3       463.38       3.587e+06    57.39            2.295e+08   3672.3          3.587e+06   57.39       1.940e+07   310.32      6.3858        
12     318.21       5466.3       459.36       3.586e+06    57.378           2.295e+08   3672.3          3.586e+06   57.378      1.939e+07   310.29      6.3858        
13     318.21       5466.4       458.89       3.586e+06    57.374           2.295e+08   3672.3          3.586e+06   57.374      1.940e+07   310.38      6.3858        
14     318.21       5466.3       462.88       3.586e+06    57.376           2.295e+08   3672.3          3.586e+06   57.376      1.939e+07   310.27      6.3858        
15     318.21       5466.3       465.95       3.585e+06    57.366           2.295e+08   3672.3          3.585e+06   57.366      1.939e+07   310.29      6.3858        
16     318.21       5466.3       441.39       3.586e+06    57.374           2.295e+08   3672.3          3.586e+06   57.374      1.939e+07   310.22      6.3858        
