Performance Recorder: AA_2D_Detailed_NoPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      8048.7        2009          856.6        779.59       1.043e+06    1.043e+06    1.246e+08    17.987        
1      7350          5607.2        116.78       7.9138       0.000e+00    0.000e+00    1.941e+06    17.987        
2      5237.5        9798.1        1.3022       0.000761     0.000e+00    0.000e+00    0.000e+00    17.987        
3      3325.6        12437         0.002866     0.00014      0.000e+00    0.000e+00    0.000e+00    17.987        
4      8737.6        6184.3        176.41       223.15       2.609e+07    2.609e+07    2.609e+07    17.987        
5      5244.2        5666.4        29.622       27.6         7.147e+05    7.147e+05    7.147e+05    17.987        
6      3345          9757.4        0.002537     0.00022      0.000e+00    0.000e+00    0.000e+00    17.987        
7      2650.1        12432         4.7254       0.00011      0.000e+00    0.000e+00    0.000e+00    17.987        
8      3466.5        8974.7        12.13        10.235       0.000e+00    0.000e+00    1.941e+06    17.987        
9      9366.4        2853.9        858.86       811.32       1.043e+06    1.043e+06    1.246e+08    17.987        
10     8819.7        6123.6        93.469       55.369       0.000e+00    0.000e+00    1.941e+06    17.987        
11     6919.8        8840.8        2.1839       0.000221     0.000e+00    0.000e+00    0.000e+00    17.987        
12     3551.5        11547         0.002766     0.000501     0.000e+00    0.000e+00    0.000e+00    17.987        
13     7705.2        4564.3        183.76       225.76       2.723e+07    2.723e+07    2.723e+07    17.987        
14     6940.2        6159.4        20.757       17.365       2.475e+05    2.475e+05    2.475e+05    17.987        
15     4928.7        10158         0.003168     0.000621     0.000e+00    0.000e+00    0.000e+00    17.987        
16     6138.6        8206.6        2.7575       0.000221     0.000e+00    0.000e+00    0.000e+00    17.987        
17     9059.8        5190.8        97.356       56.413       0.000e+00    0.000e+00    1.941e+06    17.987        
18     10209         3973.3        856.24       739.96       1.043e+06    1.043e+06    1.246e+08    17.987        
19     11026         4737.2        68.457       29.147       0.000e+00    0.000e+00    1.941e+06    17.987        
20     7719.4        7379.4        4.4333       0.000611     0.000e+00    0.000e+00    0.000e+00    17.987        
21     7802.5        6526.6        18.867       14.087       2.219e+05    2.219e+05    2.219e+05    17.987        
22     8010.8        6152.3        184.78       226.71       2.725e+07    2.725e+07    2.725e+07    17.987        
23     9062.9        6022.6        14.153       0.81775      9.243e+03    9.243e+03    9.243e+03    17.987        
24     8737.1        6325.5        0.002104     0.00022      0.000e+00    0.000e+00    0.000e+00    17.987        
25     4642.5        10415         1.5688       0.001523     0.000e+00    0.000e+00    0.000e+00    17.987        
26     2682.3        12241         114.33       38.754       0.000e+00    0.000e+00    1.941e+06    17.987        
27     12175         3578.8        861.74       796.4        1.043e+06    1.043e+06    1.246e+08    17.987        
28     10320         4778.6        16.656       8.4945       0.000e+00    0.000e+00    1.939e+06    17.987        
29     4662.4        10400         0.003295     0.001944     0.000e+00    0.000e+00    0.000e+00    17.987        
30     6653.6        8375.1        30.322       25.174       6.727e+05    6.727e+05    6.727e+05    17.987        
31     6554.4        8412.8        246          249.33       2.680e+07    2.680e+07    2.680e+07    17.987        
32     10329         3067.2        183.07       221.05       2.609e+07    2.609e+07    2.609e+07    17.987        
33     6258.8        7320          0.002687     0.000321     0.000e+00    0.000e+00    0.000e+00    17.987        
34     3698          11339         0.58504      0.00028      0.000e+00    0.000e+00    0.000e+00    17.987        
35     2210.3        13561         109.08       8.4748       0.000e+00    0.000e+00    1.939e+06    17.987        
36     11013         3176.9        936.7        720.15       1.043e+06    1.043e+06    1.208e+08    17.987        
37     6312          7252.4        13.932       7.9612       0.000e+00    0.000e+00    1.894e+06    17.987        
38     2227.4        11352         0.003064     0.000301     0.000e+00    0.000e+00    0.000e+00    17.987        
39     5655.7        9421.2        47.132       40.315       1.351e+06    1.351e+06    1.351e+06    17.987        
40     3695.2        7179.9        28.215       28.025       7.147e+05    7.147e+05    7.147e+05    17.987        
41     9389.7        3499.3        185.4        225.8        2.723e+07    2.723e+07    2.723e+07    17.987        
42     8986.6        6027.5        22.674       12.912       2.219e+05    2.219e+05    2.219e+05    17.987        
43     7096.4        8674.6        0.003608     0.000711     0.000e+00    0.000e+00    0.000e+00    17.987        
44     3629.4        11351         118.63       10.129       0.000e+00    0.000e+00    1.894e+06    17.987        
45     6357.7        3580.6        990.67       757.76       1.043e+06    1.043e+06    1.247e+08    17.987        
46     7101.7        5896.4        103.17       53.959       0.000e+00    0.000e+00    1.894e+06    17.987        
47     5105.5        9981.5        0.24103      0.000491     0.000e+00    0.000e+00    0.000e+00    17.987        
48     6287.1        5391          0.001993     0.00018      0.000e+00    0.000e+00    0.000e+00    17.987        
49     5043.2        8018.8        16.704       13.027       2.475e+05    2.475e+05    2.475e+05    17.987        
50     7251.4        7601.8        183.55       240.35       2.725e+07    2.725e+07    2.725e+07    17.987        
51     11184         4551.9        27.011       25.487       6.727e+05    6.727e+05    6.727e+05    17.987        
52     7830.6        7268.4        0.001724     0.0002       0.000e+00    0.000e+00    0.000e+00    17.987        
53     3947.8        7626.5        103.09       51.281       0.000e+00    0.000e+00    1.894e+06    17.987        
54     8252.7        3858.5        1002.6       778.33       1.043e+06    1.043e+06    1.247e+08    17.987        
55     9214.4        5737.5        129.77       23.948       0.000e+00    0.000e+00    1.894e+06    17.987        
56     10337         3205.1        50.635       0.0003       0.000e+00    0.000e+00    0.000e+00    17.987        
57     6206.9        7385.4        0.004269     0.000401     0.000e+00    0.000e+00    0.000e+00    17.987        
58     7297.7        7728.3        11.671       1.029        9.243e+03    9.243e+03    9.243e+03    17.987        
59     9071.4        6626.6        185.1        258.11       2.680e+07    2.680e+07    2.680e+07    17.987        
60     11839         3220.8        48.021       39.338       1.351e+06    1.351e+06    1.351e+06    17.987        
61     6264.2        7326.9        1.1803       0.000932     0.000e+00    0.000e+00    0.000e+00    17.987        
62     4232          9290.4        69.156       35.878       0.000e+00    0.000e+00    1.894e+06    17.987        
63     10156         3944.2        991.07       794.8        1.043e+06    1.043e+06    1.247e+08    17.987        
