Performance Recorder: AA_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      1395.2        1454.4        1180.2       517.14       4.502e+06    4.502e+06    2.033e+07    4.7139        
1      1521.2        1522.8        969.42       492.46       3.456e+06    3.456e+06    1.926e+07    4.7139        
2      1541.4        1477.1        986.28       488.09       3.455e+06    3.455e+06    1.927e+07    4.7139        
3      1450.3        1554.3        976.42       511.68       3.454e+06    3.454e+06    1.926e+07    4.7139        
4      1507.8        1550.9        935.61       490.43       3.455e+06    3.455e+06    1.926e+07    4.7139        
5      1485          1567.1        982.48       485.09       3.455e+06    3.455e+06    1.924e+07    4.7139        
6      1529.4        1556.1        959.66       504.02       3.459e+06    3.459e+06    1.927e+07    4.7139        
7      1497.4        1575.9        1011.3       477.16       3.455e+06    3.455e+06    1.927e+07    4.7139        
8      1626.1        1319.2        1069.1       499.27       3.456e+06    3.456e+06    1.926e+07    4.7139        
9      1561.2        1384.8        1080.5       510.69       4.504e+06    4.504e+06    2.032e+07    4.7139        
10     1655          1342          1007.9       488.99       3.456e+06    3.456e+06    1.925e+07    4.7139        
11     1588.4        1417.3        975.1        479.57       3.456e+06    3.456e+06    1.929e+07    4.7139        
12     1572.2        1414          1017.8       487.33       3.450e+06    3.450e+06    1.926e+07    4.7139        
13     1699.6        1431.7        891.6        477.1        3.457e+06    3.457e+06    1.926e+07    4.7139        
14     1625.4        1420          1004.5       519.26       3.456e+06    3.456e+06    1.926e+07    4.7139        
15     1664.7        1440.9        973.72       480.47       3.455e+06    3.455e+06    1.929e+07    4.7139        
16     1592.5        1295.5        1128.6       495.24       3.455e+06    3.455e+06    1.927e+07    4.7139        
17     1647.9        1384.7        984.89       497.66       3.456e+06    3.456e+06    1.925e+07    4.7139        
18     1520.9        1403.7        1115.2       526.54       4.499e+06    4.499e+06    2.037e+07    4.7139        
19     1558.8        1443          982.73       477.72       3.455e+06    3.455e+06    1.923e+07    4.7139        
20     1603.2        1459.4        967.58       495.38       3.457e+06    3.457e+06    1.924e+07    4.7139        
21     1535.9        1483.9        1018.1       490.15       3.455e+06    3.455e+06    1.927e+07    4.7139        
22     1750.3        1403          894.15       493.84       3.455e+06    3.455e+06    1.926e+07    4.7139        
23     1574.5        1495.3        1018.6       483.51       3.457e+06    3.457e+06    1.927e+07    4.7139        
24     1668.6        1261.1        1088.2       487.81       3.454e+06    3.454e+06    1.926e+07    4.7139        
25     1687.1        1351.7        977.69       490.21       3.456e+06    3.456e+06    1.929e+07    4.7139        
26     1641.6        1371          1013         544.92       3.455e+06    3.455e+06    1.923e+07    4.7139        
27     1500.9        1408.1        1093.2       519.19       4.499e+06    4.499e+06    2.030e+07    4.7139        
28     1598.7        1423.3        1010.4       491.66       3.457e+06    3.457e+06    1.925e+07    4.7139        
29     1622.4        1448.8        962.96       488          3.452e+06    3.452e+06    1.927e+07    4.7139        
30     1696.6        1367.2        995.44       499.87       3.454e+06    3.454e+06    1.929e+07    4.7139        
31     1679          1460.1        937.66       485.95       3.458e+06    3.458e+06    1.925e+07    4.7139        
32     1603.3        1401.8        1006         507.81       3.455e+06    3.455e+06    1.926e+07    4.7139        
33     1650.4        1432.3        952.27       485.05       3.450e+06    3.450e+06    1.926e+07    4.7139        
34     1666.2        1430.2        924.35       499.33       3.457e+06    3.457e+06    1.924e+07    4.7139        
35     1510.2        1506          961.48       468.59       3.457e+06    3.457e+06    1.925e+07    4.7139        
36     1426.3        1505.6        1117.7       525.18       4.500e+06    4.500e+06    2.032e+07    4.7139        
37     1503.9        1526.9        1004.7       477.62       3.457e+06    3.457e+06    1.924e+07    4.7139        
38     1634.1        1413.7        1012.3       499.59       3.457e+06    3.457e+06    1.927e+07    4.7139        
39     1531.2        1534.8        1023.5       478.05       3.457e+06    3.457e+06    1.930e+07    4.7139        
40     1724.5        1245.6        1044.5       493.06       3.455e+06    3.455e+06    1.924e+07    4.7139        
41     1888.1        1276.7        864.42       511.53       3.457e+06    3.457e+06    1.926e+07    4.7139        
42     1778.3        1266.8        982.19       502.87       3.455e+06    3.455e+06    1.927e+07    4.7139        
43     1694.5        1347.2        937.98       471.4        3.452e+06    3.452e+06    1.927e+07    4.7139        
44     1662.9        1346          1023.3       494.22       3.457e+06    3.457e+06    1.924e+07    4.7139        
45     1584.3        1368.4        1103.3       500.94       4.501e+06    4.501e+06    2.035e+07    4.7139        
46     1799.3        1251.8        1006.2       498.2        3.455e+06    3.455e+06    1.926e+07    4.7139        
47     1685.3        1379.5        1024.7       474.86       3.455e+06    3.455e+06    1.923e+07    4.7139        
48     1774.5        1223.1        1010.4       491.41       3.459e+06    3.459e+06    1.927e+07    4.7139        
49     1826.6        1232.3        956.02       485.57       3.456e+06    3.456e+06    1.926e+07    4.7139        
50     1890.1        1236.3        894.73       535.92       3.455e+06    3.455e+06    1.926e+07    4.7139        
51     1717.1        1284.7        985.91       502.68       3.454e+06    3.454e+06    1.929e+07    4.7139        
52     1696.5        1306.6        1026.6       491.03       3.457e+06    3.457e+06    1.927e+07    4.7139        
53     1700.4        1330.6        1008.6       477.17       3.455e+06    3.455e+06    1.926e+07    4.7139        
54     1681.6        1266.1        1120.2       519.24       4.496e+06    4.496e+06    2.029e+07    4.7139        
55     1731          1338.2        1014.3       485.04       3.458e+06    3.458e+06    1.927e+07    4.7139        
56     1669.5        1359.3        994.17       490.04       3.455e+06    3.455e+06    1.927e+07    4.7139        
57     1713.2        1371          951.89       584.39       3.455e+06    3.455e+06    1.929e+07    4.7139        
58     1708          1364.5        982.26       505.02       3.457e+06    3.457e+06    1.927e+07    4.7139        
59     1696.5        1422          878.4        468.53       3.458e+06    3.458e+06    1.925e+07    4.7139        
60     1586.8        1447          1026.8       496.45       3.457e+06    3.457e+06    1.930e+07    4.7139        
61     1582.2        1466.6        1012         476.19       3.455e+06    3.455e+06    1.923e+07    4.7139        
62     1657.4        1409          1019.8       490.82       3.458e+06    3.458e+06    1.927e+07    4.7139        
63     1514.6        1475.8        1129.2       489.82       4.496e+06    4.496e+06    2.031e+07    4.7139        
