Performance Recorder: CBC_RTA_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      130.77       117.88       61.975       5.502e+05    8.8037           1.012e+06   16.19           1.501e+07   240.19      2.960e+06   47.367      0.33016       
1      130.77       117.84       57.696       5.178e+05    8.2848           1.376e+06   22.013          1.423e+07   227.67      2.805e+06   44.877      0.33016       
2      130.77       117.84       61.953       5.455e+05    8.7275           1.236e+06   19.783          1.492e+07   238.65      2.932e+06   46.919      0.33016       
3      130.77       117.85       60.946       5.406e+05    8.6502           1.188e+06   19              1.497e+07   239.5       2.945e+06   47.122      0.33016       
4      130.77       117.85       61.254       5.383e+05    8.6125           1.199e+06   19.181          1.487e+07   237.88      2.922e+06   46.758      0.33016       
5      130.77       117.84       58.79        5.328e+05    8.5246           1.234e+06   19.748          1.471e+07   235.41      2.892e+06   46.265      0.33016       
6      130.77       117.84       61.381       5.454e+05    8.7261           1.632e+06   26.105          1.500e+07   240.03      2.949e+06   47.181      0.33016       
7      130.77       117.86       53.987       5.047e+05    8.0753           1.188e+06   19.014          1.374e+07   219.84      2.706e+06   43.3        0.33016       
8      130.77       117.87       59.266       5.345e+05    8.5516           1.308e+06   20.933          1.479e+07   236.61      2.907e+06   46.516      0.33016       
9      130.76       117.84       55.089       5.018e+05    8.029            1.056e+06   16.9            1.366e+07   218.53      2.694e+06   43.102      0.33016       
10     130.76       117.85       50.557       4.542e+05    7.2665           1.978e+06   31.64           1.263e+07   202.08      2.477e+06   39.64       0.33016       
11     130.76       117.85       59.461       5.318e+05    8.5086           1.172e+06   18.746          1.468e+07   234.92      2.891e+06   46.253      0.33016       
12     130.77       117.85       60.78        5.382e+05    8.6107           1.269e+06   20.297          1.484e+07   237.45      2.918e+06   46.694      0.33016       
13     130.76       117.83       51.5         4.785e+05    7.6556           1.093e+06   17.486          1.308e+07   209.21      2.580e+06   41.277      0.33016       
14     130.77       117.84       56.599       5.327e+05    8.5235           2.114e+06   33.828          1.479e+07   236.57      2.900e+06   46.404      0.33016       
15     130.77       117.88       54.278       4.987e+05    7.9793           1.028e+06   16.449          1.361e+07   217.74      2.684e+06   42.945      0.33016       
