Performance Recorder: CBC_RTA_1D_Detailed_NoPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      198.01       3.7014       23.574       1.304e+05    2.0864           2.584e+05   4.1349          2.892e+06   46.269      6.214e+05   9.942       0.23139       
1      198.01       3.6735       22.589       1.304e+05    2.0864           3.092e+05   4.9469          3.566e+06   57.063      7.055e+05   11.288      0.23139       
2      198.01       3.6658       20.915       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.074e+05   11.319      0.23139       
3      198.01       3.6765       22.204       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.055e+05   11.287      0.23139       
4      198.01       3.7044       20.754       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.056e+05   11.289      0.23139       
5      198.01       3.7114       22.048       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.063e+05   11.301      0.23139       
6      198.01       3.6868       21.43        1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.060e+05   11.295      0.23139       
7      198.01       3.695        21.68        1.304e+05    2.0864           3.092e+05   4.948           3.565e+06   57.04       7.043e+05   11.269      0.23139       
8      198.01       3.7581       21.595       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.099e+05   11.358      0.23139       
9      198.01       3.715        21.488       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.072e+05   11.315      0.23139       
10     198.01       3.7044       21.369       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.045e+05   11.271      0.23139       
11     198.01       3.7003       22.243       1.304e+05    2.0864           3.092e+05   4.9464          3.565e+06   57.04       7.070e+05   11.311      0.23139       
12     198.01       3.672        21.172       1.304e+05    2.0864           3.092e+05   4.9464          3.565e+06   57.04       7.058e+05   11.293      0.23139       
