Performance Recorder: CBC_RTA_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      314.92       186.68       135.3        1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.373      7.053e+05   11.285      0.64995       
1      314.92       186.63       136.03       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.388      7.055e+05   11.287      0.64995       
2      314.92       186.63       137.56       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.376      7.059e+05   11.295      0.64995       
3      314.92       186.66       137.39       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.392      7.060e+05   11.296      0.64995       
4      314.92       186.63       137.76       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.384      7.045e+05   11.272      0.64995       
5      314.92       186.63       139.91       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.389      7.068e+05   11.309      0.64995       
6      314.92       186.62       138.36       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.379      7.062e+05   11.299      0.64995       
7      314.92       186.65       137.85       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.389      7.055e+05   11.288      0.64995       
8      314.92       186.75       137.54       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.389      7.055e+05   11.288      0.64995       
9      314.92       186.65       137.72       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.39       7.065e+05   11.304      0.64995       
10     314.92       186.63       138.19       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.392      7.056e+05   11.29       0.64995       
11     314.92       186.65       138.74       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.39       7.048e+05   11.277      0.64995       
12     314.92       186.66       139.13       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.378      7.048e+05   11.276      0.64995       
13     314.92       186.65       139.64       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.374      7.066e+05   11.306      0.64995       
14     314.92       186.66       139.17       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.376      7.059e+05   11.294      0.64995       
15     314.92       186.67       138.41       1.304e+05    2.0864           8.346e+06   133.53          3.585e+06   57.366      7.049e+05   11.279      0.64995       
16     314.92       186.7        137.95       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.374      7.059e+05   11.294      0.64995       
17     314.92       186.66       139.05       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.374      7.054e+05   11.286      0.64995       
18     314.92       186.63       138.24       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.385      7.055e+05   11.288      0.64995       
19     314.92       186.67       138.74       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.395      7.050e+05   11.28       0.64995       
20     314.92       186.63       138.92       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.372      7.054e+05   11.287      0.64995       
21     314.92       186.64       139.56       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.377      7.061e+05   11.298      0.64995       
22     314.92       186.62       138.73       1.304e+05    2.0864           8.346e+06   133.53          3.585e+06   57.355      7.061e+05   11.297      0.64995       
23     314.92       186.66       139.11       1.304e+05    2.0864           8.346e+06   133.53          3.588e+06   57.402      7.056e+05   11.289      0.64995       
24     314.92       186.67       138.84       1.304e+05    2.0864           8.346e+06   133.53          3.584e+06   57.351      7.040e+05   11.263      0.64995       
25     314.92       186.65       139.28       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.381      7.065e+05   11.305      0.64995       
26     314.92       186.64       138.79       1.304e+05    2.0864           8.346e+06   133.53          3.585e+06   57.368      7.061e+05   11.298      0.64995       
27     314.92       186.65       139.71       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.374      7.051e+05   11.282      0.64995       
28     314.92       186.68       139.57       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.376      7.056e+05   11.29       0.64995       
29     314.92       186.64       138.08       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.376      7.053e+05   11.285      0.64995       
30     314.92       186.61       139.95       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.376      7.059e+05   11.294      0.64995       
31     314.92       186.67       139.16       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.378      7.052e+05   11.283      0.64995       
32     314.92       186.74       142.49       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.39       7.073e+05   11.317      0.64995       
33     314.92       186.64       138.57       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.37       7.056e+05   11.29       0.64995       
34     314.92       186.65       140.75       1.304e+05    2.0864           8.346e+06   133.53          3.585e+06   57.366      7.057e+05   11.292      0.64995       
35     314.92       186.66       138.68       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.372      7.055e+05   11.288      0.64995       
36     314.92       186.61       137.79       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.38       7.059e+05   11.294      0.64995       
37     314.92       186.63       138.98       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.386      7.062e+05   11.298      0.64995       
38     314.92       186.63       138.78       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.384      7.059e+05   11.294      0.64995       
39     314.92       186.64       140.78       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.382      7.052e+05   11.283      0.64995       
40     314.92       186.7        138.56       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.384      7.056e+05   11.289      0.64995       
41     314.92       186.66       136.33       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.372      7.064e+05   11.303      0.64995       
42     314.92       186.69       139.22       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.376      7.049e+05   11.278      0.64995       
43     314.92       186.67       138.82       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.383      7.055e+05   11.288      0.64995       
44     314.92       186.66       139.27       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.392      7.059e+05   11.295      0.64995       
45     314.92       186.65       138.81       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.375      7.061e+05   11.298      0.64995       
46     314.92       186.63       139.39       1.304e+05    2.0864           8.346e+06   133.53          3.585e+06   57.367      7.059e+05   11.294      0.64995       
47     314.92       186.66       139.95       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.369      7.058e+05   11.293      0.64995       
48     314.92       186.69       138.1        1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.388      7.052e+05   11.283      0.64995       
49     314.92       186.63       138.95       1.304e+05    2.0864           8.346e+06   133.53          3.587e+06   57.392      7.064e+05   11.303      0.64995       
50     314.92       186.64       138.45       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.381      7.053e+05   11.284      0.64995       
51     314.92       186.66       138.74       1.304e+05    2.0864           8.346e+06   133.53          3.585e+06   57.368      7.058e+05   11.292      0.64995       
52     314.92       186.64       138.31       1.304e+05    2.0864           8.346e+06   133.53          3.585e+06   57.364      7.053e+05   11.284      0.64995       
53     314.92       186.61       139.07       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.371      7.060e+05   11.296      0.64995       
54     314.92       186.68       138.08       1.304e+05    2.0864           8.346e+06   133.53          3.588e+06   57.404      7.049e+05   11.279      0.64995       
55     314.92       186.69       138.7        1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.381      7.065e+05   11.304      0.64995       
56     314.92       186.7        137.84       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.383      7.053e+05   11.286      0.64995       
57     314.92       186.64       138.22       1.304e+05    2.0864           8.346e+06   133.53          3.586e+06   57.377      7.045e+05   11.273      0.64995       
