Performance Recorder: RTAR_1DOP_Detailed_GPPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      14.087       7.1669       3.2496        9.1316       2.960e+06    47.367           5.502e+05   8.8037      2.274e+05   3.6384      0.035489      
1      13.7         7.831        2.9877        8.5915       2.805e+06    44.877           5.178e+05   8.2848      2.279e+05   3.6467      0.035489      
2      14.066       7.083        3.3557        9.025        2.932e+06    46.919           5.455e+05   8.7275      2.280e+05   3.6481      0.035489      
3      13.454       7.7415       3.0044        9.0184       2.945e+06    47.122           5.406e+05   8.6502      2.274e+05   3.6388      0.035489      
4      13.512       7.5553       3.5028        9.1296       2.922e+06    46.758           5.383e+05   8.6125      2.279e+05   3.6471      0.035489      
5      13.98        7.3631       2.497         8.925        2.892e+06    46.265           5.328e+05   8.5246      2.279e+05   3.646       0.035489      
6      13.074       8.2619       3.4314        8.8299       2.949e+06    47.181           5.454e+05   8.7261      2.278e+05   3.6453      0.035489      
7      13.021       9.1101       3.3592        8.1225       2.706e+06    43.3             5.047e+05   8.0753      2.285e+05   3.6555      0.035489      
8      14.162       7.3514       2.5587        8.7519       2.907e+06    46.516           5.345e+05   8.5516      2.276e+05   3.6415      0.035489      
9      14.029       8.05         3.1501        8.3037       2.694e+06    43.102           5.018e+05   8.029       2.279e+05   3.6457      0.035489      
10     12.767       10.13        3.0113        7.3357       2.477e+06    39.64            4.542e+05   7.2665      2.282e+05   3.6515      0.035489      
11     14.29        7.3086       3.0351        8.7765       2.891e+06    46.253           5.318e+05   8.5086      2.275e+05   3.6393      0.035489      
12     13.751       7.3592       2.6819        9.2693       2.918e+06    46.694           5.382e+05   8.6107      2.280e+05   3.6478      0.035489      
13     13.729       8.6167       3.4306        7.7433       2.580e+06    41.277           4.785e+05   7.6556      2.280e+05   3.648       0.035489      
14     12.792       8.683        3.2997        8.87         2.900e+06    46.404           5.327e+05   8.5235      2.279e+05   3.6467      0.035489      
15     14.075       8.1744       3.4497        8.1377       2.684e+06    42.945           4.987e+05   7.9793      2.282e+05   3.6507      0.035489      
