Performance Recorder: RTAR_1DOP_Detailed_NoPerm_64MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      10.919       6.9216       1.1315        2.3799       6.214e+05    9.942            1.304e+05   2.0864      5.725e+04   0.91602     0.023385      
1      10.484       7.2943       1.1643        2.6121       7.055e+05    11.288           1.304e+05   2.0864      5.678e+04   0.90848     0.023385      
2      10.641       7.2767       1.1669        2.5582       7.074e+05    11.319           1.304e+05   2.0864      5.692e+04   0.91066     0.023385      
3      10.957       7.2091       1.2282        2.8124       7.055e+05    11.287           1.304e+05   2.0864      5.719e+04   0.91506     0.023385      
4      10.757       7.6355       1.2362        2.552        7.056e+05    11.289           1.304e+05   2.0864      5.694e+04   0.91106     0.023385      
5      9.1212       8.8253       1.026         2.2817       7.063e+05    11.301           1.304e+05   2.0864      5.667e+04   0.90677     0.023385      
6      10.958       6.6874       1.2316        2.6277       7.060e+05    11.295           1.304e+05   2.0864      5.728e+04   0.91654     0.023385      
7      10.686       7.6232       1.3101        2.6178       7.043e+05    11.269           1.304e+05   2.0864      5.702e+04   0.91238     0.023385      
8      10.829       6.8638       1.194         2.6153       7.099e+05    11.358           1.304e+05   2.0864      5.696e+04   0.91141     0.023385      
9      10.849       6.8898       1.2675        2.6889       7.072e+05    11.315           1.304e+05   2.0864      5.658e+04   0.90528     0.023385      
10     10.829       7.0198       0.99016       2.5806       7.045e+05    11.271           1.304e+05   2.0864      5.691e+04   0.91054     0.023385      
11     10.666       7.0941       1.2457        2.5996       7.070e+05    11.311           1.304e+05   2.0864      5.716e+04   0.91448     0.023385      
12     10.982       7.3838       1.2007        2.597        7.058e+05    11.293           1.304e+05   2.0864      5.733e+04   0.91734     0.023385      
13     10.922       6.8147       1.2471        2.6207       7.060e+05    11.295           1.304e+05   2.0864      5.732e+04   0.9172      0.023385      
14     10.876       6.7322       1.1247        2.4398       7.076e+05    11.321           1.304e+05   2.0864      5.703e+04   0.91242     0.023385      
15     8.9106       9.2164       1.028         2.3642       7.071e+05    11.314           1.304e+05   2.0864      5.699e+04   0.91182     0.023385      
16     10.686       6.9407       1.2281        2.6604       7.069e+05    11.31            1.304e+05   2.0864      5.726e+04   0.9161      0.023385      
17     10.941       6.8212       1.1842        2.5843       7.046e+05    11.273           1.304e+05   2.0864      5.690e+04   0.9104      0.023385      
18     10.767       7.0855       1.2388        2.4757       7.049e+05    11.278           1.304e+05   2.0864      5.729e+04   0.91664     0.023385      
19     11.04        6.81         1.0968        2.6597       7.062e+05    11.299           1.304e+05   2.0864      5.727e+04   0.91627     0.023385      
20     10.759       6.9071       1.3175        2.6161       7.061e+05    11.297           1.304e+05   2.0864      5.746e+04   0.91936     0.023385      
21     10.575       7.9333       1.2612        2.522        7.061e+05    11.298           1.304e+05   2.0864      5.697e+04   0.91154     0.023385      
22     10.603       7.2137       1.2216        2.4749       7.070e+05    11.313           1.304e+05   2.0864      5.691e+04   0.91056     0.023385      
