Performance Recorder: RTAR_1DOP_Detailed_RandPerm_16MPI16Threads.log
Rank | sendB(ms)  | sendC(ms)  | mergeC(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      16.072       36.908       29.606        15.733       2.819e+06    45.112           5.216e+05   8.3456      2.279e+05   3.6457      0.10143       
1      16.153       36.645       28.48         16.148       2.818e+06    45.092           5.216e+05   8.3456      2.272e+05   3.6357      0.10143       
2      16.435       35.169       26.621        16.169       2.820e+06    45.125           5.216e+05   8.3456      2.271e+05   3.6344      0.10143       
3      16.08        36.355       26.649        15.934       2.821e+06    45.13            5.216e+05   8.3456      2.279e+05   3.6471      0.10143       
4      15.549       36.97        28.074        16.086       2.822e+06    45.147           5.216e+05   8.3456      2.271e+05   3.6343      0.10143       
5      15.787       36.962       27.083        16.028       2.821e+06    45.13            5.216e+05   8.3456      2.274e+05   3.6388      0.10143       
6      15.455       38.909       29.671        15.739       2.819e+06    45.112           5.216e+05   8.3456      2.271e+05   3.6335      0.10143       
7      16.057       37.503       28.436        16.544       2.821e+06    45.139           5.216e+05   8.3456      2.271e+05   3.6341      0.10143       
8      16.099       36.997       30.072        16.055       2.822e+06    45.15            5.216e+05   8.3456      2.279e+05   3.6468      0.10143       
9      15.719       37.228       27.078        16.187       2.822e+06    45.156           5.216e+05   8.3456      2.271e+05   3.6336      0.10143       
10     16.227       36.104       27.172        15.815       2.820e+06    45.125           5.216e+05   8.3456      2.274e+05   3.6392      0.10143       
11     16.228       36.901       28.732        16.022       2.819e+06    45.101           5.216e+05   8.3456      2.270e+05   3.6321      0.10143       
12     15.165       37.698       27.92         16.285       2.822e+06    45.145           5.216e+05   8.3456      2.278e+05   3.6441      0.10143       
13     15.306       37.247       29.27         16.374       2.819e+06    45.111           5.216e+05   8.3456      2.274e+05   3.638       0.10143       
14     15.441       36.633       26.57         15.879       2.823e+06    45.165           5.216e+05   8.3456      2.271e+05   3.6344      0.10143       
15     15.635       37.549       29.894        15.969       2.821e+06    45.133           5.216e+05   8.3456      2.277e+05   3.6436      0.10143       
