Performance Recorder: RTAR_1D_Detailed_GPPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      178.34       445.56       20.36        2.960e+06    47.367           4.381e+07   701             5.193e+05   8.3083      2.274e+05   3.6384      0.64591       
1      178.34       445.52       20.21        2.805e+06    44.877           4.381e+07   700.93          5.211e+05   8.3368      2.279e+05   3.6467      0.64591       
2      178.34       445.53       20.247       2.932e+06    46.919           4.375e+07   699.98          5.217e+05   8.3469      2.280e+05   3.6481      0.64591       
3      178.34       445.53       20.301       2.945e+06    47.122           4.379e+07   700.64          5.206e+05   8.3302      2.274e+05   3.6388      0.64591       
4      178.34       445.56       20.144       2.922e+06    46.758           4.377e+07   700.35          5.220e+05   8.3523      2.279e+05   3.6471      0.64591       
5      178.34       445.63       20.18        2.892e+06    46.265           4.384e+07   701.51          5.217e+05   8.3465      2.279e+05   3.646       0.64591       
6      178.33       445.63       20.099       2.949e+06    47.181           4.383e+07   701.29          5.217e+05   8.3471      2.278e+05   3.6453      0.64591       
7      178.34       445.53       20.17        2.706e+06    43.3             4.388e+07   702.05          5.223e+05   8.357       2.285e+05   3.6555      0.64591       
8      178.34       445.54       19.927       2.907e+06    46.516           4.380e+07   700.86          5.197e+05   8.315       2.276e+05   3.6415      0.64591       
9      178.34       445.53       20.369       2.694e+06    43.102           4.392e+07   702.73          5.238e+05   8.381       2.279e+05   3.6457      0.64591       
10     178.34       445.54       20.294       2.477e+06    39.64            4.383e+07   701.3           5.235e+05   8.3756      2.282e+05   3.6515      0.64591       
11     178.34       445.56       20.142       2.891e+06    46.253           4.405e+07   704.82          5.224e+05   8.3581      2.275e+05   3.6393      0.64591       
12     178.33       445.57       20.009       2.918e+06    46.694           4.385e+07   701.65          5.212e+05   8.3394      2.280e+05   3.6478      0.64591       
13     178.33       445.51       20.432       2.580e+06    41.277           4.379e+07   700.7           5.215e+05   8.3433      2.280e+05   3.648       0.64591       
14     178.33       445.72       20.1         2.900e+06    46.404           4.378e+07   700.46          5.220e+05   8.3527      2.279e+05   3.6467      0.64591       
15     178.33       445.53       20.261       2.684e+06    42.945           4.382e+07   701.05          5.212e+05   8.3394      2.282e+05   3.6507      0.64591       
