Performance Recorder: RTAR_1D_Detailed_NoPerm_16MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      192.54       412.87       20.156       2.738e+06    43.807           4.494e+07   718.96          5.227e+05   8.3637      2.277e+05   3.6434      0.62705       
1      192.54       412.86       19.919       2.823e+06    45.174           4.488e+07   718.1           5.213e+05   8.3406      2.276e+05   3.6424      0.62705       
2      192.54       412.86       20.16        2.824e+06    45.178           4.488e+07   718.09          5.221e+05   8.3542      2.282e+05   3.6512      0.62705       
3      192.54       412.88       20.102       2.828e+06    45.253           4.487e+07   717.84          5.219e+05   8.3511      2.280e+05   3.6483      0.62705       
4      192.54       412.9        19.972       2.817e+06    45.071           4.496e+07   719.38          5.219e+05   8.3501      2.278e+05   3.6452      0.62705       
5      192.54       412.86       19.777       2.822e+06    45.159           4.490e+07   718.37          5.208e+05   8.3328      2.278e+05   3.6444      0.62705       
6      192.54       412.85       20.078       2.820e+06    45.115           4.486e+07   717.72          5.237e+05   8.3789      2.288e+05   3.6603      0.62705       
7      192.54       412.87       19.913       2.819e+06    45.102           4.491e+07   718.5           5.207e+05   8.3316      2.273e+05   3.6375      0.62705       
8      192.54       412.9        20.039       2.738e+06    43.812           4.491e+07   718.59          5.210e+05   8.3357      2.278e+05   3.6444      0.62705       
9      192.54       412.85       19.838       2.852e+06    45.634           4.490e+07   718.43          5.212e+05   8.3391      2.281e+05   3.65        0.62705       
10     192.54       412.86       20.004       2.852e+06    45.634           4.481e+07   717.03          5.225e+05   8.3599      2.279e+05   3.646       0.62705       
11     192.54       412.86       19.868       2.854e+06    45.669           4.488e+07   718.02          5.197e+05   8.316       2.277e+05   3.6429      0.62705       
12     192.54       412.89       20.252       2.848e+06    45.571           4.478e+07   716.48          5.212e+05   8.3388      2.275e+05   3.64        0.62705       
13     192.54       412.85       20.14        2.856e+06    45.704           4.493e+07   718.93          5.212e+05   8.3399      2.283e+05   3.6533      0.62705       
14     192.54       412.86       19.86        2.852e+06    45.633           4.489e+07   718.25          5.215e+05   8.3434      2.278e+05   3.645       0.62705       
15     192.54       412.86       19.802       2.820e+06    45.114           4.498e+07   719.65          5.221e+05   8.354       2.279e+05   3.6471      0.62705       
