Performance Recorder: RTAR_1D_Detailed_RandPerm_64MPI16Threads.log
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | TotTime(s)  | 
0      228.04       3139.9       12.281       7.053e+05    11.285           2.877e+07   460.26          1.306e+05   2.0901      5.697e+04   0.91158     3.3816        
1      228.04       3139.8       12.683       7.055e+05    11.287           2.874e+07   459.77          1.307e+05   2.0917      5.693e+04   0.91091     3.3816        
2      228.04       3139.8       12.301       7.059e+05    11.295           2.873e+07   459.68          1.308e+05   2.0932      5.707e+04   0.91317     3.3816        
3      228.04       3139.8       12.316       7.060e+05    11.296           2.869e+07   459.11          1.302e+05   2.083       5.716e+04   0.91462     3.3816        
4      228.04       3139.8       11.858       7.045e+05    11.272           2.858e+07   457.31          1.300e+05   2.0798      5.711e+04   0.91376     3.3816        
5      228.04       3139.8       12.122       7.068e+05    11.309           2.889e+07   462.25          1.319e+05   2.11        5.706e+04   0.91296     3.3816        
6      228.04       3139.8       11.883       7.062e+05    11.299           2.859e+07   457.4           1.299e+05   2.0784      5.700e+04   0.91202     3.3816        
7      228.04       3139.9       12.096       7.055e+05    11.288           2.869e+07   459.03          1.302e+05   2.0827      5.692e+04   0.91077     3.3816        
8      228.04       3139.9       11.85        7.055e+05    11.288           2.887e+07   461.96          1.319e+05   2.1103      5.697e+04   0.91155     3.3816        
9      228.04       3139.9       12.368       7.065e+05    11.304           2.857e+07   457.17          1.294e+05   2.07        5.702e+04   0.91237     3.3816        
10     228.04       3139.9       11.77        7.056e+05    11.29            2.873e+07   459.7           1.308e+05   2.0929      5.709e+04   0.91342     3.3816        
11     228.04       3139.9       11.925       7.048e+05    11.277           2.865e+07   458.33          1.300e+05   2.0805      5.680e+04   0.90883     3.3816        
12     228.05       3139.8       11.79        7.048e+05    11.276           2.879e+07   460.56          1.316e+05   2.1063      5.727e+04   0.9163      3.3816        
13     228.04       3139.8       11.922       7.066e+05    11.306           2.857e+07   457.14          1.295e+05   2.0717      5.655e+04   0.90486     3.3816        
14     228.05       3139.9       11.881       7.059e+05    11.294           2.862e+07   457.94          1.299e+05   2.0777      5.690e+04   0.91042     3.3816        
15     228.05       3139.9       11.93        7.049e+05    11.279           2.863e+07   458.02          1.299e+05   2.079       5.695e+04   0.91114     3.3816        
16     228.04       3139.9       11.981       7.059e+05    11.294           2.862e+07   457.93          1.300e+05   2.0804      5.674e+04   0.90787     3.3816        
17     228.04       3139.8       12.095       7.054e+05    11.286           2.876e+07   460.09          1.307e+05   2.0905      5.704e+04   0.91266     3.3816        
18     228.04       3139.9       11.983       7.055e+05    11.288           2.867e+07   458.75          1.305e+05   2.0883      5.692e+04   0.9108      3.3816        
19     228.04       3139.9       12.413       7.050e+05    11.28            2.857e+07   457.13          1.302e+05   2.0834      5.693e+04   0.91093     3.3816        
20     228.04       3139.8       11.969       7.054e+05    11.287           2.862e+07   457.95          1.300e+05   2.0793      5.691e+04   0.91051     3.3816        
21     228.04       3139.8       12.036       7.061e+05    11.298           2.864e+07   458.31          1.303e+05   2.0847      5.705e+04   0.91285     3.3816        
22     228.04       3139.8       11.954       7.061e+05    11.297           2.856e+07   457.04          1.302e+05   2.0824      5.671e+04   0.90731     3.3816        
23     228.04       3139.8       11.998       7.056e+05    11.289           2.878e+07   460.47          1.311e+05   2.0977      5.724e+04   0.91579     3.3816        
24     228.04       3139.9       12.283       7.040e+05    11.263           2.849e+07   455.88          1.291e+05   2.0658      5.683e+04   0.90928     3.3816        
25     228.04       3139.8       12.059       7.065e+05    11.305           2.866e+07   458.62          1.305e+05   2.0882      5.713e+04   0.91406     3.3816        
26     228.04       3139.8       11.932       7.061e+05    11.298           2.866e+07   458.63          1.307e+05   2.0915      5.720e+04   0.91514     3.3816        
27     228.04       3139.9       11.947       7.051e+05    11.282           2.865e+07   458.37          1.303e+05   2.084       5.687e+04   0.90989     3.3816        
28     228.04       3139.9       11.883       7.056e+05    11.29            2.875e+07   459.99          1.312e+05   2.0991      5.718e+04   0.91488     3.3816        
29     228.04       3139.9       11.98        7.053e+05    11.285           2.874e+07   459.85          1.306e+05   2.0904      5.699e+04   0.91182     3.3816        
30     228.04       3139.8       11.919       7.059e+05    11.294           2.874e+07   459.91          1.311e+05   2.0979      5.719e+04   0.91506     3.3816        
31     228.04       3139.9       12.065       7.052e+05    11.283           2.867e+07   458.66          1.300e+05   2.0802      5.690e+04   0.91037     3.3816        
32     228.04       3139.9       12.098       7.073e+05    11.317           2.869e+07   459.09          1.304e+05   2.0863      5.673e+04   0.90763     3.3816        
33     228.04       3139.8       12.713       7.056e+05    11.29            2.875e+07   459.94          1.302e+05   2.0838      5.693e+04   0.91083     3.3816        
34     228.04       3139.8       12.503       7.057e+05    11.292           2.864e+07   458.22          1.302e+05   2.0838      5.729e+04   0.91662     3.3816        
35     228.04       3139.8       12.158       7.055e+05    11.288           2.852e+07   456.27          1.295e+05   2.0724      5.689e+04   0.91027     3.3816        
36     228.04       3139.8       12.773       7.059e+05    11.294           2.873e+07   459.64          1.306e+05   2.0903      5.704e+04   0.91272     3.3816        
37     228.04       3139.8       12.646       7.062e+05    11.298           2.871e+07   459.43          1.304e+05   2.0871      5.696e+04   0.9113      3.3816        
38     228.04       3139.9       12.688       7.059e+05    11.294           2.845e+07   455.23          1.289e+05   2.0626      5.669e+04   0.90701     3.3816        
39     228.04       3139.9       12.612       7.052e+05    11.283           2.867e+07   458.76          1.301e+05   2.0813      5.698e+04   0.91168     3.3816        
40     228.04       3139.9       11.88        7.056e+05    11.289           2.852e+07   456.32          1.300e+05   2.0797      5.701e+04   0.91221     3.3816        
41     228.04       3139.9       11.697       7.064e+05    11.303           2.846e+07   455.36          1.292e+05   2.0668      5.653e+04   0.90442     3.3816        
42     228.04       3139.8       12.489       7.049e+05    11.278           2.854e+07   456.69          1.296e+05   2.0734      5.688e+04   0.91003     3.3816        
43     228.04       3139.9       11.934       7.055e+05    11.288           2.868e+07   458.85          1.308e+05   2.0925      5.714e+04   0.91422     3.3816        
44     228.04       3139.8       12.404       7.059e+05    11.295           2.867e+07   458.76          1.305e+05   2.0886      5.711e+04   0.91374     3.3816        
45     228.04       3139.8       12.195       7.061e+05    11.298           2.872e+07   459.49          1.308e+05   2.0934      5.701e+04   0.91213     3.3816        
46     228.04       3139.9       11.887       7.059e+05    11.294           2.864e+07   458.29          1.300e+05   2.0804      5.676e+04   0.90818     3.3816        
47     228.04       3139.9       12.465       7.058e+05    11.293           2.859e+07   457.37          1.297e+05   2.0756      5.687e+04   0.90995     3.3816        
48     228.04       3139.9       12.574       7.052e+05    11.283           2.858e+07   457.28          1.299e+05   2.0781      5.671e+04   0.90741     3.3816        
49     228.04       3139.8       12.221       7.064e+05    11.303           2.865e+07   458.41          1.304e+05   2.0862      5.702e+04   0.9124      3.3816        
50     228.04       3139.9       12.025       7.053e+05    11.284           2.872e+07   459.59          1.306e+05   2.0903      5.710e+04   0.91354     3.3816        
51     228.04       3139.8       12.322       7.058e+05    11.292           2.880e+07   460.85          1.313e+05   2.1012      5.702e+04   0.91226     3.3816        
52     228.04       3139.8       12.046       7.053e+05    11.284           2.878e+07   460.53          1.314e+05   2.1022      5.717e+04   0.91475     3.3816        
53     228.04       3139.8       12.098       7.060e+05    11.296           2.869e+07   459.07          1.302e+05   2.084       5.694e+04   0.91109     3.3816        
54     228.04       3139.9       12.485       7.049e+05    11.279           2.870e+07   459.21          1.303e+05   2.085       5.690e+04   0.91038     3.3816        
55     228.04       3139.9       12.133       7.065e+05    11.304           2.880e+07   460.77          1.311e+05   2.0968      5.690e+04   0.91034     3.3816        
56     228.04       3140         12.25        7.053e+05    11.286           2.871e+07   459.41          1.307e+05   2.0907      5.715e+04   0.91437     3.3816        
57     228.04       3139.9       12.179       7.045e+05    11.273           2.879e+07   460.65          1.310e+05   2.0957      5.717e+04   0.91472     3.3816        
58     228.04       3139.9       12.109       7.067e+05    11.307           2.880e+07   460.76          1.313e+05   2.1016      5.725e+04   0.91598     3.3816        
59     228.04       3139.9       12.185       7.069e+05    11.311           2.868e+07   458.9           1.308e+05   2.0928      5.712e+04   0.91398     3.3816        
60     228.04       3139.8       12.357       7.056e+05    11.29            2.858e+07   457.31          1.292e+05   2.0676      5.672e+04   0.90758     3.3816        
61     228.04       3139.9       12.131       7.055e+05    11.288           2.869e+07   459             1.303e+05   2.0852      5.668e+04   0.9068      3.3816        
62     228.04       3139.9       11.904       7.065e+05    11.304           2.851e+07   456.14          1.294e+05   2.0705      5.689e+04   0.91019     3.3816        
63     228.04       3139.9       12.279       7.063e+05    11.3             2.899e+07   463.8           1.327e+05   2.1227      5.787e+04   0.92594     3.3816        
