Performance Recorder: RTAR_2D_Detailed_GPPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      414.93        25.21         45.784       1.5273       2.806e+06    5.195e+05    2.562e+05    0.48987       
1      421.05        23.817        37.696       1.2495       2.824e+06    5.203e+05    2.184e+05    0.48987       
2      422.27        22.675        37.653       1.3129       2.829e+06    5.243e+05    2.184e+05    0.48987       
3      405.52        40.421        38.803       1.2662       2.819e+06    5.222e+05    2.178e+05    0.48987       
4      418.08        27.16         39.36        1.3317       2.814e+06    5.214e+05    2.184e+05    0.48987       
5      414.78        25.976        44.205       1.5366       2.821e+06    5.214e+05    2.580e+05    0.48987       
6      419.62        24.302        38.985       1.2591       2.834e+06    5.235e+05    2.178e+05    0.48987       
7      423.02        23.408        38.577       1.3501       2.827e+06    5.201e+05    2.179e+05    0.48987       
8      411.04        35.043        38.24        1.2657       2.828e+06    5.217e+05    2.184e+05    0.48987       
9      412.05        33.652        37.405       1.2545       2.825e+06    5.232e+05    2.178e+05    0.48987       
10     408.06        31.895        44.266       1.4761       2.822e+06    5.208e+05    2.579e+05    0.48987       
11     414.99        31.205        38.533       1.2625       2.816e+06    5.207e+05    2.170e+05    0.48987       
12     411.64        34.198        38.608       1.3629       2.822e+06    5.201e+05    2.178e+05    0.48987       
13     412.29        33.044        37.92        1.3192       2.816e+06    5.228e+05    2.179e+05    0.48987       
14     412.93        31.581        38.455       1.256        2.828e+06    5.208e+05    2.170e+05    0.48987       
15     411.18        30.505        44.603       1.5958       2.830e+06    5.227e+05    2.592e+05    0.48987       
