Performance Recorder: RTAR_2D_Detailed_NoPerm_16MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      400.33        54.095        44.741       2.2679       2.797e+06    5.213e+05    2.573e+05    0.5031        
1      405.62        52.614        37.879       1.8429       2.820e+06    5.217e+05    2.180e+05    0.5031        
2      405.32        54.062        36.742       1.7325       2.820e+06    5.200e+05    2.180e+05    0.5031        
3      406.59        52.625        38.219       1.799        2.852e+06    5.234e+05    2.183e+05    0.5031        
4      224.15        234.16        39.607       1.8629       2.811e+06    5.240e+05    2.180e+05    0.5031        
5      221           232.96        43.5         2.0897       2.818e+06    5.204e+05    2.578e+05    0.5031        
6      223.96        234.62        37.382       1.7719       2.827e+06    5.216e+05    2.181e+05    0.5031        
7      226.24        232.98        38.544       2.0741       2.839e+06    5.205e+05    2.179e+05    0.5031        
8      417.7         40.651        39.441       1.8379       2.802e+06    5.202e+05    2.180e+05    0.5031        
9      418.8         39.491        37.943       1.8877       2.825e+06    5.239e+05    2.181e+05    0.5031        
10     412.9         40.711        43.848       2.4413       2.820e+06    5.205e+05    2.571e+05    0.5031        
11     421.28        38.204        38.105       1.8338       2.842e+06    5.218e+05    2.183e+05    0.5031        
12     426.19        33.089        38.117       1.7889       2.804e+06    5.226e+05    2.183e+05    0.5031        
13     426.93        31.502        37.607       1.7519       2.815e+06    5.212e+05    2.179e+05    0.5031        
14     425.08        33.574        37.538       1.8243       2.830e+06    5.223e+05    2.183e+05    0.5031        
15     422.76        32.237        43.679       2.326        2.843e+06    5.203e+05    2.571e+05    0.5031        
