Performance Recorder: RTAR_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      229.03        59.969        40.278       3.549        7.071e+05    1.306e+05    7.462e+04    0.3338        
1      234.31        58.141        36.01        2.3271       7.063e+05    1.306e+05    5.459e+04    0.3338        
2      233.81        59.465        33.603       1.9484       7.063e+05    1.306e+05    5.472e+04    0.3338        
3      234.44        58.728        33.439       1.8962       7.059e+05    1.305e+05    5.439e+04    0.3338        
4      230.38        63.054        35.268       2.3019       7.064e+05    1.302e+05    5.463e+04    0.3338        
5      235.77        58.095        34.234       2.1744       7.065e+05    1.297e+05    5.441e+04    0.3338        
6      236.25        57.414        34.097       2.0127       7.068e+05    1.307e+05    5.456e+04    0.3338        
7      234.25        56.957        37.044       2.4579       7.064e+05    1.304e+05    5.438e+04    0.3338        
8      211.23        81.127        36.314       2.4899       7.072e+05    1.304e+05    5.459e+04    0.3338        
9      208.89        79.607        40.578       3.2977       7.054e+05    1.303e+05    7.420e+04    0.3338        
10     211.5         80.852        34.588       1.7268       7.063e+05    1.309e+05    5.435e+04    0.3338        
11     212.8         79.902        34.051       1.655        7.052e+05    1.303e+05    5.445e+04    0.3338        
12     209.21        84.198        35.26        2.3317       7.057e+05    1.301e+05    5.439e+04    0.3338        
13     213.87        79.195        35.058       2.0925       7.070e+05    1.300e+05    5.472e+04    0.3338        
14     215.44        78.641        33.416       1.7794       7.055e+05    1.305e+05    5.435e+04    0.3338        
15     212.92        78.438        36.933       2.4089       7.039e+05    1.307e+05    5.456e+04    0.3338        
16     208.37        84.079        36.322       2.857        7.057e+05    1.307e+05    5.472e+04    0.3338        
17     210.65        82.101        35.712       2.4269       7.057e+05    1.306e+05    5.435e+04    0.3338        
18     206.96        82.681        37.702       2.5906       7.053e+05    1.302e+05    7.361e+04    0.3338        
19     206.6         83.506        36.994       2.1075       7.051e+05    1.306e+05    5.474e+04    0.3338        
20     209.82        83.833        33.998       2.1649       7.058e+05    1.301e+05    5.456e+04    0.3338        
21     211.01        81.009        36.331       2.5695       7.050e+05    1.297e+05    5.449e+04    0.3338        
22     208.78        80.938        38.482       2.4211       7.046e+05    1.304e+05    5.460e+04    0.3338        
23     213.83        80.701        33.841       2.3033       7.047e+05    1.309e+05    5.452e+04    0.3338        
24     196.97        96.122        35.598       2.5204       7.063e+05    1.300e+05    5.439e+04    0.3338        
25     198.82        93.977        35.679       2.2183       7.063e+05    1.301e+05    5.445e+04    0.3338        
26     198.72        94.347        34.05        1.9189       7.065e+05    1.302e+05    5.474e+04    0.3338        
27     192.31        95.044        39.958       2.4577       7.049e+05    1.303e+05    7.443e+04    0.3338        
28     198.94        95.236        33.397       1.8142       7.058e+05    1.303e+05    5.432e+04    0.3338        
29     199.22        92.347        36.874       2.2115       7.056e+05    1.304e+05    5.453e+04    0.3338        
30     197.27        92.629        38.243       2.2852       7.064e+05    1.313e+05    5.456e+04    0.3338        
31     201.87        92.428        34.029       2.2817       7.075e+05    1.306e+05    5.490e+04    0.3338        
32     200.28        92.258        36.167       2.4055       7.051e+05    1.306e+05    5.463e+04    0.3338        
33     198.54        92.801        37.195       2.116        7.049e+05    1.306e+05    5.439e+04    0.3338        
34     200.53        91.584        35.072       1.9564       7.041e+05    1.302e+05    5.456e+04    0.3338        
35     201.22        91.144        34.415       1.992        7.042e+05    1.305e+05    5.432e+04    0.3338        
36     198.6         92.031        37.562       3.0791       7.054e+05    1.301e+05    7.417e+04    0.3338        
37     202.98        89.44         36           2.4078       7.047e+05    1.305e+05    5.448e+04    0.3338        
38     204.31        88.378        35.21        2.1325       7.046e+05    1.302e+05    5.429e+04    0.3338        
39     205.26        89.621        33.518       2.3203       7.051e+05    1.304e+05    5.470e+04    0.3338        
40     197.2         95.114        36.383       2.5038       7.039e+05    1.309e+05    5.441e+04    0.3338        
41     195.81        95.729        37.022       2.1278       7.036e+05    1.307e+05    5.472e+04    0.3338        
42     197.38        94.572        35.199       1.8175       7.034e+05    1.302e+05    5.449e+04    0.3338        
43     198.75        93.618        34.543       1.6989       7.050e+05    1.303e+05    5.453e+04    0.3338        
44     196.86        96.08         35.007       2.1104       7.055e+05    1.296e+05    5.448e+04    0.3338        
45     195.25        92.155        41.619       3.2627       7.033e+05    1.301e+05    7.442e+04    0.3338        
46     200.96        91.953        34.921       1.9831       7.044e+05    1.310e+05    5.415e+04    0.3338        
47     203.26        92.351        32.622       2.2374       7.044e+05    1.305e+05    5.415e+04    0.3338        
48     172.11        120.51        36.367       2.6042       7.040e+05    1.305e+05    5.456e+04    0.3338        
49     172.86        120           35.685       2.152        7.059e+05    1.302e+05    5.435e+04    0.3338        
50     171.95        119.91        35.368       2.2805       7.068e+05    1.302e+05    5.460e+04    0.3338        
51     172.39        120.14        34.334       2.0103       7.051e+05    1.303e+05    5.456e+04    0.3338        
52     171.66        121.81        34.389       2.2018       7.065e+05    1.298e+05    5.429e+04    0.3338        
53     171.96        118.4         38.253       2.6359       7.066e+05    1.301e+05    5.415e+04    0.3338        
54     174.1         119.44        34.347       3.1425       7.058e+05    1.311e+05    7.435e+04    0.3338        
55     175.67        117.79        34.575       2.1551       7.078e+05    1.309e+05    5.498e+04    0.3338        
56     199.47        93.198        36.278       2.5752       7.064e+05    1.307e+05    5.438e+04    0.3338        
57     196.93        96.072        35.553       2.1606       7.066e+05    1.299e+05    5.456e+04    0.3338        
58     197.14        94.443        35.577       1.8703       7.063e+05    1.306e+05    5.452e+04    0.3338        
59     195.41        95.457        36.34        1.7844       7.082e+05    1.308e+05    5.490e+04    0.3338        
60     200.95        93.959        32.663       2.055        7.061e+05    1.304e+05    5.470e+04    0.3338        
61     198.77        93.477        36.112       2.2865       7.075e+05    1.304e+05    5.415e+04    0.3338        
62     200.88        94.144        32.533       2.0384       7.073e+05    1.301e+05    5.498e+04    0.3338        
63     197.96        93.352        37.132       3.1474       7.075e+05    1.303e+05    7.434e+04    0.3338        
