Performance Recorder: RTA_2D_Detailed_GPPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      1351.9        471.27        91.723       4.2519       1.306e+05    2.768e+07    7.012e+05    2.125         
1      1079.5        738.66        96.654       5.7899       1.299e+05    2.247e+05    7.051e+05    2.125         
2      1057.1        789.18        98.355       4.3831       1.294e+05    7.972e+03    6.990e+05    2.125         
3      1154.5        695.99        96.614       4.1289       1.304e+05    0.000e+00    7.020e+05    2.125         
4      1195.7        652.09        94.296       4.2472       1.306e+05    3.319e+05    7.102e+05    2.125         
5      1178.2        669.62        94.854       4.7774       1.302e+05    1.554e+05    7.111e+05    2.125         
6      1230.9        623.88        95.716       4.8588       1.319e+05    8.242e+03    7.180e+05    2.125         
7      1381.9        633.2         92.786       3.7657       1.291e+05    0.000e+00    6.968e+05    2.125         
8      1368.2        455.69        91.137       4.2556       1.310e+05    2.247e+05    7.052e+05    2.125         
9      1097.7        721.28        95.995       4.2177       1.303e+05    2.709e+07    7.057e+05    2.125         
10     1074.7        772.03        97.854       4.3133       1.303e+05    7.933e+05    7.044e+05    2.125         
11     1170.8        678.42        97.879       4.0363       1.295e+05    5.993e+03    6.988e+05    2.125         
12     1209.9        634.2         98.062       4.4891       1.296e+05    1.553e+05    7.019e+05    2.125         
13     1196.8        652.14        93.801       4.5586       1.298e+05    2.965e+05    7.091e+05    2.125         
14     1248          606.1         96.374       4.8191       1.295e+05    1.566e+05    7.062e+05    2.125         
15     1391.7        623.7         91.711       4.2429       1.323e+05    0.000e+00    7.101e+05    2.125         
16     1627.5        223.24        90.359       4.3649       1.307e+05    7.972e+03    7.029e+05    2.125         
17     1216.3        629.85        94.844       4.667        1.302e+05    7.933e+05    7.028e+05    2.125         
18     1326.3        519.28        99.317       7.2571       1.291e+05    2.670e+07    7.008e+05    2.125         
19     1242.4        546.57        158.71       5.9797       1.303e+05    7.639e+05    7.016e+05    2.125         
20     1456.5        391.11        95.604       4.8272       1.307e+05    3.773e+04    7.104e+05    2.125         
21     1444.5        405.69        92.996       5.1223       1.314e+05    1.467e+05    7.185e+05    2.125         
22     1468.4        389.31        95.306       7.4716       1.320e+05    2.173e+05    7.167e+05    2.125         
23     1644.9        379.47        90.99        3.7651       1.304e+05    1.295e+05    6.998e+05    2.125         
24     1631          217.37        90.827       4.1882       1.311e+05    0.000e+00    7.034e+05    2.125         
25     1218.1        624.76        96.284       4.4111       1.301e+05    5.993e+03    7.044e+05    2.125         
26     1330.4        516.32        98.161       5.3338       1.308e+05    7.639e+05    7.093e+05    2.125         
27     1306.4        543.52        97.842       4.429        1.304e+05    2.622e+07    7.031e+05    2.125         
28     1460.6        387.93        94.579       4.9062       1.307e+05    1.027e+06    7.074e+05    2.125         
29     1446.2        402.44        94.519       5.0856       1.302e+05    1.718e+04    7.123e+05    2.125         
30     1471.6        386.18        95.393       5.1448       1.310e+05    1.703e+05    7.129e+05    2.125         
31     1646.5        377.75        92.466       3.7038       1.297e+05    3.266e+05    6.999e+05    2.125         
32     1478.3        364.46        91.854       4.1174       1.295e+05    3.319e+05    6.935e+05    2.125         
33     1171          665.03        98.498       4.3102       1.309e+05    1.553e+05    7.107e+05    2.125         
34     1188.4        657.77        98.72        5.5074       1.311e+05    3.773e+04    7.151e+05    2.125         
35     916.61        933.1         97.541       4.1704       1.299e+05    1.027e+06    6.986e+05    2.125         
36     1187.2        659           96.989       4.8605       1.296e+05    2.681e+07    6.979e+05    2.125         
37     1175.4        672.69        95.115       4.5716       1.302e+05    1.939e+05    7.136e+05    2.125         
38     1194.6        661.68        97.289       5.5618       1.301e+05    6.752e+04    7.057e+05    2.125         
39     1357.5        667.41        92.513       3.6954       1.304e+05    2.621e+04    7.027e+05    2.125         
40     1493.2        349.59        91.819       4.2191       1.302e+05    1.554e+05    7.000e+05    2.125         
41     1188.6        650.83        95.069       4.3784       1.301e+05    2.965e+05    7.067e+05    2.125         
42     1202.2        643.87        98.768       4.5895       1.317e+05    1.467e+05    7.150e+05    2.125         
43     931.57        918.76        96.948       4.3444       1.309e+05    1.718e+04    7.063e+05    2.125         
44     1203          644.57        95.619       4.8881       1.313e+05    1.939e+05    7.093e+05    2.125         
45     1186.3        658.36        98.538       4.8241       1.295e+05    2.802e+07    7.090e+05    2.125         
46     1209.2        647.26        97.334       4.6397       1.294e+05    2.004e+05    7.036e+05    2.125         
47     1365.9        659.15        91.072       4.0469       1.318e+05    1.908e+04    7.089e+05    2.125         
48     1231.2        603.04        91.355       4.2847       1.301e+05    8.242e+03    7.001e+05    2.125         
49     1216.6        613.67        95.261       4.4607       1.312e+05    1.566e+05    7.119e+05    2.125         
50     954.48        891.32        98.791       5.1185       1.303e+05    2.173e+05    7.067e+05    2.125         
51     1202          647.89        97.526       4.2368       1.310e+05    1.703e+05    7.078e+05    2.125         
52     1232.2        615.28        95.301       4.569        1.308e+05    6.752e+04    7.063e+05    2.125         
53     1212          636.27        94.885       4.5307       1.297e+05    2.004e+05    7.122e+05    2.125         
54     1238.3        615           97.775       7.2948       1.304e+05    2.744e+07    7.083e+05    2.125         
55     1392.6        623.03        92.521       3.9287       1.304e+05    6.018e+05    7.018e+05    2.125         
56     1234.8        599.21        90.902       4.2805       1.300e+05    0.000e+00    6.998e+05    2.125         
57     1219.1        610.42        95.274       4.2879       1.304e+05    0.000e+00    7.064e+05    2.125         
58     957.65        888.66        98.335       4.7706       1.304e+05    1.295e+05    7.097e+05    2.125         
59     1205.1        645.39        96.973       4.3941       1.307e+05    3.266e+05    7.033e+05    2.125         
60     1232          612.71        98.048       4.3711       1.300e+05    2.621e+04    7.020e+05    2.125         
61     1216.1        633.8         93.219       4.9275       1.322e+05    1.908e+04    7.230e+05    2.125         
62     1241.9        612.46        97.725       5.1209       1.289e+05    6.018e+05    7.034e+05    2.125         
63     1395.3        620.25        92.704       3.9662       1.291e+05    2.740e+07    6.974e+05    2.125         
