Performance Recorder: RTA_2D_Detailed_NoPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      2200.8        391.88        95.67        5.4687       1.299e+05    1.043e+06    6.924e+05    3.1588        
1      1952.4        647.33        88.44        5.1311       1.306e+05    0.000e+00    7.097e+05    3.1588        
2      1970.9        645.81        93.639       4.3553       1.294e+05    0.000e+00    7.034e+05    3.1588        
3      2410.6        635.96        98.039       4.1623       1.293e+05    0.000e+00    7.013e+05    3.1588        
4      2496.3        140.08        92.452       4.9182       1.299e+05    2.609e+07    6.998e+05    3.1588        
5      2059.1        532.51        96.627       5.1828       1.308e+05    7.147e+05    7.137e+05    3.1588        
6      1708.5        884.11        95.573       5.817        1.294e+05    0.000e+00    7.102e+05    3.1588        
7      2105.7        531.67        95.256       4.4309       1.298e+05    0.000e+00    7.054e+05    3.1588        
8      2189.7        395.54        96.735       4.6331       1.297e+05    0.000e+00    6.961e+05    3.1588        
9      1938.5        649.19        94.137       4.8565       1.297e+05    1.043e+06    7.066e+05    3.1588        
10     1958.8        655.08        96.509       4.5384       1.306e+05    0.000e+00    7.058e+05    3.1588        
11     2402.9        643.9         95.305       4.2666       1.306e+05    0.000e+00    7.051e+05    3.1588        
12     2487.5        150.23        91.217       3.5995       1.300e+05    0.000e+00    6.954e+05    3.1588        
13     2040          546.32        95.498       5.4071       1.302e+05    2.723e+07    7.099e+05    3.1588        
14     1685.7        899.75        96.251       5.2555       1.302e+05    2.475e+05    7.112e+05    3.1588        
15     2078.8        555.22        99.683       4.2633       1.299e+05    0.000e+00    7.076e+05    3.1588        
16     2232.8        383.07        93.013       5.4295       1.304e+05    0.000e+00    6.990e+05    3.1588        
17     2099.2        515.78        93.757       5.1672       1.306e+05    0.000e+00    7.031e+05    3.1588        
18     1984.5        633.3         93.651       4.7828       1.302e+05    1.043e+06    7.047e+05    3.1588        
19     2432.7        496.4         89.349       4.1849       1.311e+05    0.000e+00    7.077e+05    3.1588        
20     2381.6        247.8         96.222       5.5218       1.317e+05    0.000e+00    6.990e+05    3.1588        
21     2211.8        401.12        95.852       5.3211       1.297e+05    2.219e+05    7.121e+05    3.1588        
22     1854.1        757.9         96.753       5.9407       1.299e+05    2.725e+07    7.127e+05    3.1588        
23     2121          517.28        96.634       4.2882       1.309e+05    9.243e+03    7.160e+05    3.1588        
24     2230.7        377.78        94.958       4.2948       1.304e+05    0.000e+00    6.901e+05    3.1588        
25     2099.4        515.68        88.231       4.7521       1.308e+05    0.000e+00    7.103e+05    3.1588        
26     1983.9        639.29        88.28        4.9936       1.309e+05    0.000e+00    7.098e+05    3.1588        
