Performance Recorder: RTA_2D_Detailed_RandPerm_64MPI16Threads.log
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | Alocalnnz  | Blocalnnz  | Clocalnnz  | TotTime(s)  | 
0      204.64        501.06        247.6        18.478       1.306e+05    4.502e+06    7.071e+05    1.0303        
1      190.82        497.22        249.85       16.119       1.304e+05    3.456e+06    7.063e+05    1.0303        
2      198.03        517.17        255.32       16.612       1.307e+05    3.455e+06    7.063e+05    1.0303        
3      160.65        580.1         245.08       16.151       1.300e+05    3.454e+06    7.059e+05    1.0303        
4      332.42        368.54        245.4        17.738       1.306e+05    3.455e+06    7.064e+05    1.0303        
5      257.64        437.75        246.37       16.308       1.309e+05    3.455e+06    7.065e+05    1.0303        
6      302.59        426.05        246.32       16.373       1.305e+05    3.459e+06    7.068e+05    1.0303        
7      216.03        541.93        245          15.942       1.307e+05    3.455e+06    7.064e+05    1.0303        
8      209.89        494.08        249.71       18.953       1.306e+05    3.456e+06    7.072e+05    1.0303        
9      196.62        490.38        249.78       15.855       1.303e+05    4.504e+06    7.054e+05    1.0303        
10     205.36        510.34        254.97       16.533       1.306e+05    3.456e+06    7.063e+05    1.0303        
11     164.13        573.16        250.13       15.974       1.301e+05    3.456e+06    7.052e+05    1.0303        
12     340.42        361.54        243.9        18.225       1.306e+05    3.450e+06    7.057e+05    1.0303        
13     267.62        430.55        242.87       16.116       1.307e+05    3.457e+06    7.070e+05    1.0303        
14     304.99        419.03        253.44       16.371       1.302e+05    3.456e+06    7.055e+05    1.0303        
15     216.74        534.94        252.14       15.995       1.299e+05    3.455e+06    7.039e+05    1.0303        
16     292.82        411.95        250.79       18.936       1.306e+05    3.455e+06    7.057e+05    1.0303        
17     190.83        497.36        250.57       15.967       1.309e+05    3.456e+06    7.057e+05    1.0303        
18     228.58        495.78        249          16.475       1.302e+05    4.499e+06    7.053e+05    1.0303        
19     212.27        530.82        246.63       16.243       1.302e+05    3.455e+06    7.051e+05    1.0303        
20     274.64        425.35        249          17.721       1.302e+05    3.457e+06    7.058e+05    1.0303        
21     266.39        431.54        246.48       18.802       1.302e+05    3.455e+06    7.050e+05    1.0303        
22     330.93        402.18        247.17       16.132       1.302e+05    3.455e+06    7.046e+05    1.0303        
23     297           459.98        249.43       15.959       1.306e+05    3.457e+06    7.047e+05    1.0303        
24     292.24        412.71        249.46       18.296       1.305e+05    3.454e+06    7.063e+05    1.0303        
25     189.8         498.13        251.67       16.115       1.303e+05    3.456e+06    7.063e+05    1.0303        
26     227.02        496.27        250.54       17.747       1.306e+05    3.455e+06    7.065e+05    1.0303        
27     208.43        531.69        249.18       16.225       1.303e+05    4.499e+06    7.049e+05    1.0303        
28     275.28        426.15        246.92       17.625       1.305e+05    3.457e+06    7.058e+05    1.0303        
29     264.61        432.45        248          16.342       1.303e+05    3.452e+06    7.056e+05    1.0303        
30     328.56        402.95        248.74       16.178       1.303e+05    3.454e+06    7.064e+05    1.0303        
31     294.46        460.67        251.46       16.234       1.308e+05    3.458e+06    7.075e+05    1.0303        
32     224.2         502.33        253.47       16.026       1.302e+05    3.455e+06    7.051e+05    1.0303        
33     222.64        462.67        255.55       16.043       1.301e+05    3.450e+06    7.049e+05    1.0303        
34     193.22        505.64        248.72       17.536       1.301e+05    3.457e+06    7.041e+05    1.0303        
35     163.11        582.18        246.13       15.935       1.303e+05    3.457e+06    7.042e+05    1.0303        
36     302.28        395.74        253.82       18.705       1.301e+05    4.500e+06    7.054e+05    1.0303        
37     219.46        494.54        250.71       15.994       1.296e+05    3.457e+06    7.047e+05    1.0303        
38     331.68        378.59        244.94       18.532       1.298e+05    3.457e+06    7.046e+05    1.0303        
39     275.79        482.51        251.15       15.989       1.304e+05    3.457e+06    7.051e+05    1.0303        
40     222.98        499.72        258.48       16.183       1.297e+05    3.455e+06    7.039e+05    1.0303        
41     231.26        460.2         248.74       15.817       1.300e+05    3.457e+06    7.036e+05    1.0303        
42     193.89        503.21        250.97       17.897       1.297e+05    3.455e+06    7.034e+05    1.0303        
43     162.84        579.76        249.63       16.28        1.304e+05    3.452e+06    7.050e+05    1.0303        
44     302.7         393.35        256.18       18.903       1.305e+05    3.457e+06    7.055e+05    1.0303        
45     222.66        491.98        249.61       16.241       1.301e+05    4.501e+06    7.033e+05    1.0303        
46     325.01        376.27        255.17       19.24        1.301e+05    3.455e+06    7.044e+05    1.0303        
