Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
0      244.95       2650.7       8.2745       6.204e+05    9.9263           1.531e+07   244.91          1.306e+05   2.0892      5.690e+04   0.91035     
1      244.95       2650.7       7.7204       7.046e+05    11.274           1.550e+07   248.06          1.298e+05   2.0769      5.716e+04   0.91459     
2      244.95       2650.6       7.4736       7.066e+05    11.306           1.567e+07   250.69          1.308e+05   2.0935      5.715e+04   0.91438     
3      244.95       2650.7       7.0729       7.060e+05    11.296           1.546e+07   247.35          1.297e+05   2.0747      5.670e+04   0.90723     
4      244.95       2650.7       7.3795       7.074e+05    11.319           1.531e+07   244.89          1.304e+05   2.0868      5.714e+04   0.91418     
5      244.95       2650.7       7.3387       7.063e+05    11.301           1.557e+07   249.15          1.299e+05   2.0786      5.686e+04   0.90968     
6      244.95       2650.6       7.4284       7.070e+05    11.312           1.534e+07   245.41          1.302e+05   2.0825      5.694e+04   0.91106     
7      244.95       2650.7       7.2554       7.038e+05    11.26            1.559e+07   249.49          1.295e+05   2.0717      5.709e+04   0.91338     
8      244.95       2650.7       7.6182       7.066e+05    11.306           1.536e+07   245.79          1.304e+05   2.0863      5.694e+04   0.91112     
9      244.95       2650.7       7.765        7.056e+05    11.29            1.539e+07   246.18          1.296e+05   2.073       5.686e+04   0.90971     
10     244.95       2650.7       7.4278       7.076e+05    11.322           1.530e+07   244.86          1.292e+05   2.067       5.668e+04   0.90693     
11     244.95       2650.7       7.2583       7.045e+05    11.272           1.561e+07   249.76          1.321e+05   2.1138      5.722e+04   0.91554     
12     244.95       2650.7       7.5262       7.056e+05    11.289           1.550e+07   247.92          1.302e+05   2.0827      5.685e+04   0.90958     
13     244.95       2650.7       7.2202       7.071e+05    11.314           1.554e+07   248.6           1.304e+05   2.086       5.673e+04   0.90765     
14     244.95       2650.7       7.4621       7.062e+05    11.299           1.569e+07   250.98          1.311e+05   2.0971      5.717e+04   0.9147      
15     244.95       2650.7       7.8933       7.066e+05    11.305           1.562e+07   249.97          1.303e+05   2.0852      5.674e+04   0.90776     
16     244.95       2650.7       7.3771       7.058e+05    11.292           1.546e+07   247.28          1.310e+05   2.0959      5.713e+04   0.91411     
17     244.95       2650.7       6.8162       7.065e+05    11.304           1.560e+07   249.54          1.310e+05   2.0957      5.706e+04   0.91293     
18     244.95       2650.7       6.9987       7.048e+05    11.276           1.542e+07   246.79          1.302e+05   2.0838      5.705e+04   0.9128      
19     244.95       2650.7       7.6371       7.040e+05    11.264           1.575e+07   252.05          1.311e+05   2.0969      5.722e+04   0.91558     
20     244.95       2650.6       7.035        7.062e+05    11.298           1.551e+07   248.19          1.304e+05   2.0858      5.699e+04   0.91189     
21     244.95       2650.7       6.8448       7.077e+05    11.324           1.561e+07   249.72          1.302e+05   2.084       5.705e+04   0.91283     
22     244.95       2650.7       7.0232       7.059e+05    11.294           1.572e+07   251.59          1.307e+05   2.0919      5.719e+04   0.91504     
23     244.95       2650.7       6.8889       7.043e+05    11.269           1.571e+07   251.37          1.300e+05   2.0795      5.685e+04   0.90957     
24     244.95       2650.7       7.3271       7.043e+05    11.268           1.562e+07   249.89          1.312e+05   2.0997      5.708e+04   0.91336     
25     244.95       2650.7       6.6588       7.062e+05    11.3             1.503e+07   240.45          1.304e+05   2.0864      5.687e+04   0.90992     
