Performance Recorder: 
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | 
0      283.71        98.929        27.812       1.5379       
1      286.19        100.22        23.663       0.80292      
2      286.71        100.35        23.469       0.94704      
3      289.29        97.049        23.403       0.89071      
4      285.3         101.34        23.617       0.96333      
5      287.94        98.527        23.566       1.0612       
6      285.97        100.42        23.439       0.90664      
7      292.61        94.807        23.582       1.0561       
8      264.36        121.43        24.198       0.75564      
9      260.05        123.39        27.09        1.0468       
10     265.64        121.48        23.281       0.74         
11     266.65        119.34        23.791       0.62915      
12     263.35        123.28        23.591       0.73529      
13     264.98        121.21        23.832       0.75388      
14     263.43        122.36        23.998       0.69834      
15     269.49        117.61        23.884       0.82581      
16     308.21        78.032        23.76        1.0824       
17     307.35        79.497        23.274       1.1104       
18     304.62        79.326        27.12        1.2857       
19     310.13        76.383        23.288       0.93958      
20     307.98        79.057        23.276       1.0999       
21     310.68        76.047        23.388       0.77837      
22     307.29        79.384        23.174       0.99569      
23     313.51        74.049        23.248       1.0733       
24     276.23        109.79        24           1.0664       
25     275.34        111.22        23.581       0.82808      
26     277.31        109.62        23.721       0.71152      
27     275.22        108.03        27.089       0.94164      
28     274.74        112.16        23.405       0.78652      
29     277.93        108.22        23.958       0.79294      
30     273.83        112.69        23.381       0.73538      
31     281.7         105.67        23.432       0.74814      
32     253.82        132.12        24.176       1.0888       
33     253.83        133.11        23.166       0.77793      
34     257.82        129.38        23.409       1.0094       
35     257.03        129.17        23.597       0.94626      
36     253.02        131.11        26.644       1.4871       
37     256.79        130.02        23.262       0.95919      
38     257.41        130.31        21.918       0.95865      
39     260.08        127.31        23.682       1.0635       
40     263.09        122.85        24.068       0.74402      
41     262.97        123.54        23.628       0.75369      
42     266.35        120.59        23.545       0.73249      
43     265.76        120.09        23.951       0.68936      
44     263.97        123.04        23.346       0.7478       
45     262.48        120.61        27.45        1.1379       
46     262.08        123.69        24.091       0.84679      
47     269.79        117.44        23.877       0.95576      
48     253.57        132.23        24.317       1.0903       
49     253.71        133.28        23.186       0.78171      
50     252.1         135.15        23.441       0.78267      
51     256.03        130.37        23.457       0.76082      
52     252.18        134.57        23.661       0.88915      
53     255.53        130.94        23.697       0.72457      
54     248.59        134.53        27.232       1.001        
55     258.82        128.37        23.988       0.98492      
56     249.86        136.2         24.012       0.76989      
57     248.81        138.04        23.315       0.76089      
58     248.62        138.74        23.311       0.76003      
59     252.19        134.29        23.365       0.72654      
60     248.4         138.42        23.592       0.73719      
61     252.07        134.46        23.594       0.72872      
62     248.79        137.52        23.665       0.70173      
63     251.41        132.17        28.503       1.1981       
