Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
0      269.06       2218.4       17.466       1.304e+05    2.0864           5.681e+06   90.902          7.058e+05   11.292      5.690e+04   0.91035     
1      269.06       2218.3       17.746       1.304e+05    2.0864           5.777e+06   92.439          7.055e+05   11.288      5.716e+04   0.91459     
2      269.06       2218.3       17.615       1.304e+05    2.0864           5.843e+06   93.482          7.074e+05   11.318      5.715e+04   0.91438     
3      269.06       2218.4       17.425       1.304e+05    2.0864           5.767e+06   92.276          7.026e+05   11.242      5.670e+04   0.90723     
4      269.06       2218.4       17.677       1.304e+05    2.0864           5.644e+06   90.309          7.073e+05   11.317      5.714e+04   0.91418     
5      269.06       2218.4       17.748       1.304e+05    2.0864           5.770e+06   92.317          7.046e+05   11.273      5.686e+04   0.90968     
6      269.06       2218.4       17.207       1.304e+05    2.0864           5.725e+06   91.593          7.045e+05   11.272      5.694e+04   0.91106     
7      269.06       2218.4       17.762       1.304e+05    2.0864           5.837e+06   93.399          7.040e+05   11.264      5.709e+04   0.91338     
8      269.06       2218.4       17.877       1.304e+05    2.0864           5.714e+06   91.423          7.056e+05   11.289      5.694e+04   0.91112     
9      269.06       2218.4       17.611       1.304e+05    2.0864           5.746e+06   91.942          7.019e+05   11.23       5.686e+04   0.90971     
10     269.06       2218.3       17.671       1.304e+05    2.0864           5.749e+06   91.986          7.013e+05   11.221      5.668e+04   0.90693     
11     269.06       2218.4       17.702       1.304e+05    2.0864           5.803e+06   92.851          7.125e+05   11.4        5.722e+04   0.91554     
12     269.06       2218.4       17.536       1.304e+05    2.0864           5.789e+06   92.624          7.042e+05   11.267      5.685e+04   0.90958     
13     269.06       2218.4       17.931       1.304e+05    2.0864           5.799e+06   92.778          7.045e+05   11.271      5.673e+04   0.90765     
14     269.06       2218.4       17.526       1.304e+05    2.0864           5.822e+06   93.154          7.087e+05   11.34       5.717e+04   0.9147      
15     269.06       2218.4       17.665       1.304e+05    2.0864           5.859e+06   93.749          7.043e+05   11.269      5.674e+04   0.90776     
16     269.06       2218.4       17.141       1.304e+05    2.0864           5.752e+06   92.027          7.078e+05   11.324      5.713e+04   0.91411     
17     269.06       2218.4       17.595       1.304e+05    2.0864           5.832e+06   93.312          7.092e+05   11.348      5.706e+04   0.91293     
18     269.06       2218.3       17.248       1.304e+05    2.0864           5.746e+06   91.932          7.059e+05   11.295      5.705e+04   0.9128      
19     269.06       2218.4       17.76        1.304e+05    2.0864           5.866e+06   93.858          7.092e+05   11.347      5.722e+04   0.91558     
20     269.06       2218.3       17.276       1.304e+05    2.0864           5.768e+06   92.293          7.060e+05   11.296      5.699e+04   0.91189     
21     269.06       2218.4       17.55        1.304e+05    2.0864           5.843e+06   93.488          7.052e+05   11.282      5.705e+04   0.91283     
22     269.06       2218.4       17.607       1.304e+05    2.0864           5.877e+06   94.027          7.082e+05   11.332      5.719e+04   0.91504     
23     269.06       2218.3       17.659       1.304e+05    2.0864           5.856e+06   93.698          7.046e+05   11.273      5.685e+04   0.90957     
24     269.06       2218.4       17.369       1.304e+05    2.0864           5.826e+06   93.216          7.097e+05   11.355      5.708e+04   0.91336     
25     269.06       2218.4       17.415       1.304e+05    2.0864           5.536e+06   88.583          7.038e+05   11.26       5.687e+04   0.90992     
26     269.06       2218.4       17.83        1.304e+05    2.0864           5.727e+06   91.638          7.003e+05   11.205      5.653e+04   0.90451     
27     269.06       2218.4       17.408       1.304e+05    2.0864           5.714e+06   91.431          7.034e+05   11.255      5.673e+04   0.90766     
28     269.06       2218.4       17.524       1.304e+05    2.0864           5.795e+06   92.72           7.075e+05   11.32       5.708e+04   0.91322     
29     269.06       2218.4       17.624       1.304e+05    2.0864           5.907e+06   94.518          7.079e+05   11.326      5.716e+04   0.91448     
30     269.06       2218.4       17.541       1.304e+05    2.0864           5.871e+06   93.93           7.052e+05   11.282      5.690e+04   0.9104      
31     269.06       2218.4       17.511       1.304e+05    2.0864           5.752e+06   92.025          7.050e+05   11.28       5.689e+04   0.91022     
32     269.06       2218.4       17.471       1.304e+05    2.0864           5.782e+06   92.508          7.070e+05   11.312      5.696e+04   0.91138     
33     269.06       2218.3       17.43        1.304e+05    2.0864           5.714e+06   91.427          7.069e+05   11.311      5.682e+04   0.90907     
34     269.06       2218.3       17.225       1.304e+05    2.0864           5.823e+06   93.165          7.054e+05   11.286      5.682e+04   0.90906     
35     269.06       2218.4       17.53        1.304e+05    2.0864           5.688e+06   91.003          7.102e+05   11.364      5.722e+04   0.91546     
36     269.06       2218.4       17.284       1.304e+05    2.0864           5.767e+06   92.266          7.052e+05   11.283      5.710e+04   0.91365     
37     269.06       2218.4       17.239       1.304e+05    2.0864           5.771e+06   92.341          7.072e+05   11.315      5.702e+04   0.9124      
38     269.06       2218.4       17.292       1.304e+05    2.0864           5.781e+06   92.497          7.019e+05   11.23       5.682e+04   0.90918     
39     269.06       2218.4       17.345       1.304e+05    2.0864           5.762e+06   92.199          7.092e+05   11.347      5.735e+04   0.91762     
40     269.06       2218.4       17.66        1.304e+05    2.0864           5.886e+06   94.169          7.063e+05   11.301      5.685e+04   0.90958     
41     269.06       2218.4       17.511       1.304e+05    2.0864           5.836e+06   93.373          7.043e+05   11.269      5.672e+04   0.90744     
42     269.06       2218.4       17.719       1.304e+05    2.0864           5.761e+06   92.174          7.018e+05   11.229      5.688e+04   0.9101      
43     269.06       2218.4       18.028       1.304e+05    2.0864           5.786e+06   92.573          7.068e+05   11.309      5.701e+04   0.91216     
44     269.06       2218.3       17.712       1.304e+05    2.0864           5.885e+06   94.16           7.051e+05   11.281      5.694e+04   0.9111      
45     269.06       2218.4       17.695       1.304e+05    2.0864           5.818e+06   93.085          7.058e+05   11.292      5.694e+04   0.91099     
46     269.06       2218.4       17.727       1.304e+05    2.0864           5.818e+06   93.085          7.070e+05   11.312      5.732e+04   0.91707     
47     269.06       2218.4       17.873       1.304e+05    2.0864           5.756e+06   92.102          7.113e+05   11.381      5.738e+04   0.918       
48     269.07       2218.4       17.923       1.304e+05    2.0864           5.797e+06   92.752          7.071e+05   11.314      5.722e+04   0.9155      
49     269.07       2218.3       17.497       1.304e+05    2.0864           5.774e+06   92.38           7.027e+05   11.243      5.671e+04   0.90738     
50     269.06       2218.4       17.896       1.304e+05    2.0864           5.823e+06   93.169          6.999e+05   11.199      5.659e+04   0.90542     
51     269.07       2218.4       17.499       1.304e+05    2.0864           5.802e+06   92.831          7.078e+05   11.325      5.701e+04   0.91221     
52     269.06       2218.4       17.483       1.304e+05    2.0864           5.755e+06   92.076          7.031e+05   11.249      5.684e+04   0.90942     
53     269.07       2218.4       17.568       1.304e+05    2.0864           5.753e+06   92.042          7.025e+05   11.24       5.685e+04   0.90963     
54     269.07       2218.4       17.558       1.304e+05    2.0864           5.763e+06   92.202          7.026e+05   11.241      5.674e+04   0.90787     
55     269.06       2218.4       17.527       1.304e+05    2.0864           5.762e+06   92.195          7.037e+05   11.26       5.679e+04   0.90867     
56     269.07       2218.4       17.797       1.304e+05    2.0864           5.724e+06   91.591          6.984e+05   11.175      5.659e+04   0.90544     
57     269.06       2218.3       17.504       1.304e+05    2.0864           5.716e+06   91.461          7.091e+05   11.345      5.707e+04   0.9131      
58     269.07       2218.3       17.674       1.304e+05    2.0864           5.776e+06   92.409          7.021e+05   11.234      5.653e+04   0.9045      
59     269.07       2218.4       17.575       1.304e+05    2.0864           5.794e+06   92.708          7.023e+05   11.237      5.687e+04   0.90987     
60     269.07       2218.3       17.73        1.304e+05    2.0864           5.832e+06   93.313          7.066e+05   11.305      5.696e+04   0.91139     
61     269.06       2218.4       17.736       1.304e+05    2.0864           5.885e+06   94.155          7.056e+05   11.289      5.699e+04   0.91178     
