Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
0      199.09       3.9413       22.652       1.304e+05    2.0864           2.584e+05   4.1349          2.892e+06   46.269      6.204e+05   9.9263      
1      199.09       3.9208       21.262       1.304e+05    2.0864           3.092e+05   4.9469          3.566e+06   57.063      7.046e+05   11.274      
2      199.09       3.9376       20.731       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.066e+05   11.306      
3      199.09       3.934        21.386       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.060e+05   11.296      
4      199.09       3.9362       21.293       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.074e+05   11.319      
5      199.09       3.9064       21.373       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.063e+05   11.301      
6      199.09       3.9131       20.75        1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.070e+05   11.312      
7      199.09       3.9385       21.399       1.304e+05    2.0864           3.092e+05   4.948           3.565e+06   57.04       7.038e+05   11.26       
8      199.09       3.9533       21.237       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.066e+05   11.306      
9      199.09       3.9569       21.309       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.056e+05   11.29       
10     199.09       3.9166       20.662       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.076e+05   11.322      
11     199.09       3.9544       22.218       1.304e+05    2.0864           3.092e+05   4.9464          3.565e+06   57.04       7.045e+05   11.272      
12     199.09       3.9561       20.894       1.304e+05    2.0864           3.092e+05   4.9464          3.565e+06   57.04       7.056e+05   11.289      
13     199.09       3.9648       21.598       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.071e+05   11.314      
14     199.09       3.945        21.119       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.062e+05   11.299      
15     199.09       3.9882       21.634       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.066e+05   11.305      
16     199.1        3.9207       21.583       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.058e+05   11.292      
17     199.1        3.9064       22.413       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.039      7.065e+05   11.304      
18     199.1        3.9103       22.478       1.304e+05    2.0864           3.092e+05   4.9464          3.565e+06   57.04       7.048e+05   11.276      
19     199.1        3.9147       21.747       1.304e+05    2.0864           3.092e+05   4.9464          3.565e+06   57.04       7.040e+05   11.264      
20     199.09       3.9009       21.747       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.062e+05   11.298      
21     199.09       3.9353       22.446       1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.077e+05   11.324      
22     199.09       3.9133       22.29        1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.059e+05   11.294      
23     199.09       3.9405       22.22        1.304e+05    2.0864           3.092e+05   4.9475          3.565e+06   57.04       7.043e+05   11.269      
24     199.09       3.9401       21.699       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.043e+05   11.268      
25     199.09       3.9193       22.621       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.062e+05   11.3        
26     199.09       3.9261       22.623       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.046e+05   11.274      
27     199.09       3.9244       22.472       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.058e+05   11.292      
28     199.09       3.9339       21.229       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.040e+05   11.264      
29     199.1        3.9423       22.481       1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.040e+05   11.264      
30     199.1        3.9448       21.84        1.304e+05    2.0864           3.092e+05   4.948           3.565e+06   57.04       7.034e+05   11.255      
31     199.1        3.9731       21.78        1.304e+05    2.0864           3.092e+05   4.9469          3.565e+06   57.04       7.052e+05   11.283      
32     199.09       3.9311       21.417       1.304e+05    2.0864           3.133e+05   5.0135          2.926e+06   46.82       5.924e+05   9.4784      
33     199.1        3.903        22.13        1.304e+05    2.0864           3.169e+05   5.0708          3.651e+06   58.418      7.184e+05   11.495      
34     199.09       3.9067       21.775       1.304e+05    2.0864           3.169e+05   5.0698          3.651e+06   58.418      7.151e+05   11.442      
35     199.09       3.9143       22.24        1.304e+05    2.0864           3.169e+05   5.0708          3.651e+06   58.418      7.125e+05   11.4        
36     199.09       3.9243       22.688       1.304e+05    2.0864           3.169e+05   5.0698          3.651e+06   58.418      7.147e+05   11.436      
37     199.09       3.8965       21.876       1.304e+05    2.0864           3.169e+05   5.0708          3.651e+06   58.418      7.119e+05   11.391      
38     199.09       3.9106       21.952       1.304e+05    2.0864           3.169e+05   5.0698          3.651e+06   58.418      7.134e+05   11.415      
39     199.08       3.9084       22.579       1.304e+05    2.0864           3.169e+05   5.0708          3.651e+06   58.418      7.114e+05   11.383      
40     199.09       3.94         21.597       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.126e+05   11.402      
41     199.09       3.9448       21.566       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.127e+05   11.403      
42     199.09       3.9247       22.941       1.304e+05    2.0864           3.172e+05   5.0755          3.651e+06   58.418      7.160e+05   11.456      
43     199.09       3.9183       22.043       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.096e+05   11.353      
44     199.09       3.934        21.932       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.142e+05   11.426      
45     199.09       3.9751       21.947       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.136e+05   11.417      
46     199.09       3.9293       22.672       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.140e+05   11.424      
47     199.09       3.9408       22.105       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.117e+05   11.387      
48     199.09       3.9291       21.809       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.142e+05   11.428      
49     199.09       3.9177       21.973       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.110e+05   11.376      
50     199.09       3.9351       22.245       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.119e+05   11.39       
51     199.09       3.9309       22.171       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.121e+05   11.394      
52     199.09       3.9164       22.067       1.304e+05    2.0864           3.169e+05   5.0703          3.651e+06   58.418      7.134e+05   11.414      
53     199.09       3.9053       22.166       1.304e+05    2.0864           3.172e+05   5.0755          3.651e+06   58.418      7.132e+05   11.411      
