Performance Recorder: 
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | 
0      2768.7        431.43        90.766       4.7728       
1      2635.8        558.4         96.665       5.3997       
2      2788.8        430.54        90.007       4.7846       
3      3265.1        404.3         95.642       4.2113       
4      2921.1        321.63        93.42        3.867        
5      2618.7        573.7         98.498       5.3068       
6      2585.7        608.27        96.856       4.869        
7      2776.4        457.2         97.391       4.1691       
8      2778.4        422.09        95.788       5.3195       
9      2652.5        553.51        90.18        4.8799       
10     2794.6        419.44        95.375       4.705        
11     3266.6        403.11        90.281       4.3963       
12     2925.8        316.09        93.873       3.6187       
13     2637          561.94        97.223       5.3854       
14     2587.8        609.73        98.62        5.6858       
15     2784.9        448.87        96.505       4.2141       
16     2782.4        435.55        89.947       5.3073       
17     2767.3        446.59        93.899       5.7953       
18     2781.2        441.91        90.518       4.9255       
19     3132.6        547.7         90.638       4.0731       
20     2809.8        423.09        93.898       4.2356       
21     2750.9        460.84        96.1         5.2593       
22     2714.7        495.62        97.517       4.7545       
23     2655.4        577.49        97.921       4.1954       
24     2771.1        434.83        101.79       4.3654       
25     2766.9        446.12        94.611       4.5834       
26     2783.9        440.03        89.695       4.8584       
27     3133.6        546.75        90.458       4.0192       
28     2809.4        422.21        94.707       3.5524       
29     2749.7        459.46        98.561       5.2034       
30     2716.9        492.86        97.928       4.9242       
31     2656.1        574.66        99.977       4.2179       
32     2763.8        451.92        95.556       4.9645       
33     2661.2        555.04        94.898       5.2087       
34     2623.5        600.7         89.489       4.4618       
35     3249.9        432.16        90.372       4.2266       
36     2792.9        438.02        96.731       5.0916       
37     2645          566.54        99.585       5.6329       
38     2732.9        480.35        97.896       4.9307       
39     2796.9        436.12        98.351       4.2883       
40     2761.6        458.46        92.615       5.4133       
41     2654.7        563.61        94.269       4.7687       
42     2619.7        603.53        90.525       5.1972       
43     3250.7        431.35        90.671       4.4605       
44     2794.6        437.34        95.593       3.6651       
45     2639          572.39        101.2        5.198        
46     2733.6        481.03        97.995       5.4199       
47     2800.5        433.23        97.711       4.2045       
48     2647.8        426.09        95.73        4.553        
49     2634.1        446.89        88.462       4.7524       
50     2767.1        452.7         93.859       4.3242       
51     3120          538.74        96.024       4.0471       
52     2685.3        552.58        92.602       4.3346       
53     2618.4        455.05        96.058       5.3377       
54     2601.5        469.64        98.363       4.8933       
55     2679.3        552.82        98.814       4.1871       
56     2653.6        423.36        92.975       4.7347       
57     2638.1        436.76        95.027       4.2603       
58     2776.9        442.59        94.161       4.5611       
59     3127.2        531.82        91.004       4.2879       
60     2684.2        552.5         93.297       3.8564       
61     2622.5        451.11        96.24        4.8703       
62     2609.8        462.31        97.747       5.0119       
63     2680          552.35        98.783       4.3572       
