Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
0      34.823       1810.7       215.76       3.274e+06    26.192           1.269e+08   1015            1.196e+05   0.9572      3.144e+06   25.15       
1      34.824       1810.6       0.000742     3.278e+06    26.223           0.000e+00   0               0.000e+00   0           0.000e+00   0           
2      34.822       1810.6       0.000541     3.277e+06    26.215           0.000e+00   0               0.000e+00   0           0.000e+00   0           
3      34.822       1810.7       0.000781     3.278e+06    26.224           0.000e+00   0               0.000e+00   0           0.000e+00   0           
4      34.823       1810.6       0.000671     3.274e+06    26.194           0.000e+00   0               0.000e+00   0           0.000e+00   0           
5      34.822       1810.7       0.000922     3.276e+06    26.212           0.000e+00   0               0.000e+00   0           0.000e+00   0           
6      34.824       1810.7       0.000481     3.276e+06    26.209           0.000e+00   0               0.000e+00   0           0.000e+00   0           
7      34.823       1810.7       0.00045      3.277e+06    26.218           0.000e+00   0               0.000e+00   0           0.000e+00   0           
8      34.823       1810.7       204.44       3.277e+06    26.218           1.216e+08   972.9           1.115e+05   0.89215     3.143e+06   25.141      
9      34.822       1810.7       0.000741     3.280e+06    26.239           0.000e+00   0               0.000e+00   0           0.000e+00   0           
10     34.823       1810.7       0.000521     3.276e+06    26.207           0.000e+00   0               0.000e+00   0           0.000e+00   0           
11     34.824       1810.7       0.000471     3.275e+06    26.204           0.000e+00   0               0.000e+00   0           0.000e+00   0           
12     34.825       1810.7       0.000742     3.277e+06    26.219           0.000e+00   0               0.000e+00   0           0.000e+00   0           
13     34.824       1810.7       0.000411     3.278e+06    26.224           0.000e+00   0               0.000e+00   0           0.000e+00   0           
14     34.823       1810.7       0.000551     3.279e+06    26.233           0.000e+00   0               0.000e+00   0           0.000e+00   0           
15     34.824       1810.7       0.000762     3.277e+06    26.219           0.000e+00   0               0.000e+00   0           0.000e+00   0           
16     34.823       1810.7       202.58       3.274e+06    26.196           1.200e+08   960.18          1.094e+05   0.87527     3.143e+06   25.14       
17     34.823       1810.7       0.000461     3.277e+06    26.22            0.000e+00   0               0.000e+00   0           0.000e+00   0           
18     34.824       1810.7       0.000401     3.273e+06    26.187           0.000e+00   0               0.000e+00   0           0.000e+00   0           
19     34.823       1810.7       0.000471     3.276e+06    26.208           0.000e+00   0               0.000e+00   0           0.000e+00   0           
20     34.823       1810.6       0.000291     3.277e+06    26.214           0.000e+00   0               0.000e+00   0           0.000e+00   0           
21     34.823       1810.6       0.000621     3.278e+06    26.225           0.000e+00   0               0.000e+00   0           0.000e+00   0           
22     34.823       1810.6       0.000331     3.274e+06    26.194           0.000e+00   0               0.000e+00   0           0.000e+00   0           
23     34.823       1810.7       0.00047      3.273e+06    26.181           0.000e+00   0               0.000e+00   0           0.000e+00   0           
24     34.82        1810.7       210.25       3.279e+06    26.229           1.259e+08   1007            1.178e+05   0.94223     3.144e+06   25.149      
25     34.822       1810.7       0.000631     3.275e+06    26.199           0.000e+00   0               0.000e+00   0           0.000e+00   0           
26     34.821       1810.7       0.000311     3.277e+06    26.214           0.000e+00   0               0.000e+00   0           0.000e+00   0           
27     34.821       1810.7       0.000541     3.275e+06    26.204           0.000e+00   0               0.000e+00   0           0.000e+00   0           
28     34.823       1810.7       0.000401     3.277e+06    26.216           0.000e+00   0               0.000e+00   0           0.000e+00   0           
29     34.823       1810.7       0.000681     3.273e+06    26.188           0.000e+00   0               0.000e+00   0           0.000e+00   0           
30     34.823       1810.6       0.000461     3.276e+06    26.212           0.000e+00   0               0.000e+00   0           0.000e+00   0           
31     34.827       1810.7       0.000501     3.276e+06    26.207           0.000e+00   0               0.000e+00   0           0.000e+00   0           
32     34.821       1810.7       202.95       3.277e+06    26.22            1.224e+08   979.37          1.126e+05   0.9008      3.143e+06   25.141      
33     34.822       1810.6       0.000371     3.276e+06    26.208           0.000e+00   0               0.000e+00   0           0.000e+00   0           
34     34.821       1810.7       0.000321     3.275e+06    26.199           0.000e+00   0               0.000e+00   0           0.000e+00   0           
35     34.821       1810.7       0.000301     3.275e+06    26.2             0.000e+00   0               0.000e+00   0           0.000e+00   0           
36     34.822       1810.6       0.000341     3.275e+06    26.202           0.000e+00   0               0.000e+00   0           0.000e+00   0           
37     34.822       1810.7       0.000671     3.277e+06    26.212           0.000e+00   0               0.000e+00   0           0.000e+00   0           
38     34.822       1810.6       0.0003       3.276e+06    26.21            0.000e+00   0               0.000e+00   0           0.000e+00   0           
39     34.822       1810.7       0.000492     3.276e+06    26.211           0.000e+00   0               0.000e+00   0           0.000e+00   0           
40     34.822       1810.7       211.58       3.278e+06    26.227           1.250e+08   999.79          1.162e+05   0.9299      3.143e+06   25.141      
41     34.822       1810.7       0.000431     3.276e+06    26.211           0.000e+00   0               0.000e+00   0           0.000e+00   0           
42     34.822       1810.7       0.000311     3.280e+06    26.238           0.000e+00   0               0.000e+00   0           0.000e+00   0           
43     34.822       1810.7       0.000471     3.277e+06    26.217           0.000e+00   0               0.000e+00   0           0.000e+00   0           
44     34.823       1810.7       0.000411     3.279e+06    26.229           0.000e+00   0               0.000e+00   0           0.000e+00   0           
45     34.822       1810.7       0.000341     3.276e+06    26.209           0.000e+00   0               0.000e+00   0           0.000e+00   0           
46     34.822       1810.6       0.00022      3.278e+06    26.225           0.000e+00   0               0.000e+00   0           0.000e+00   0           
47     34.825       1810.7       0.000301     3.278e+06    26.227           0.000e+00   0               0.000e+00   0           0.000e+00   0           
48     34.827       1810.7       209.4        3.276e+06    26.21            1.270e+08   1015.8          1.203e+05   0.9622      3.144e+06   25.153      
49     34.826       1810.7       0.000692     3.274e+06    26.19            0.000e+00   0               0.000e+00   0           0.000e+00   0           
50     34.827       1810.7       0.000411     3.275e+06    26.199           0.000e+00   0               0.000e+00   0           0.000e+00   0           
51     34.827       1810.7       0.000641     3.276e+06    26.211           0.000e+00   0               0.000e+00   0           0.000e+00   0           
52     34.825       1810.6       0.000501     3.278e+06    26.223           0.000e+00   0               0.000e+00   0           0.000e+00   0           
53     34.824       1810.6       0.000501     3.276e+06    26.211           0.000e+00   0               0.000e+00   0           0.000e+00   0           
54     34.825       1810.6       0.000561     3.276e+06    26.207           0.000e+00   0               0.000e+00   0           0.000e+00   0           
55     34.826       1810.7       0.000742     3.278e+06    26.225           0.000e+00   0               0.000e+00   0           0.000e+00   0           
56     34.826       1810.7       198.32       3.278e+06    26.222           1.199e+08   958.81          1.095e+05   0.87611     3.142e+06   25.139      
