Performance Recorder: 
Rank | prepT(ms)  | commT(ms)  | compT(ms)  | Alocalnnz  | Alocalmem(MB)  | Aneednnz  | Aneedmem(MB)  | Bnnz      | Bmem(MB)  | Cnnz      | Cmem(MB)  | 
0      8.9813       4.0433       13.7         6.270e+02    0.005016         4.070e+04   0.32562         3.274e+06   26.192      6.576e+04   0.52606     
1      8.9807       4.0128       13.827       6.260e+02    0.005008         4.070e+04   0.32563         3.274e+06   26.189      6.565e+04   0.52519     
2      8.981        4.0434       14.538       5.950e+02    0.00476          4.071e+04   0.32568         3.276e+06   26.211      6.590e+04   0.52723     
3      8.9798       4.0449       13.856       6.440e+02    0.005152         4.072e+04   0.32574         3.277e+06   26.215      6.597e+04   0.52779     
4      8.9807       4.009        13.719       6.270e+02    0.005016         4.075e+04   0.32597         3.277e+06   26.217      6.586e+04   0.5269      
5      8.9795       4.0142       13.866       6.320e+02    0.005056         4.072e+04   0.32579         3.278e+06   26.227      6.591e+04   0.5273      
6      8.9815       3.9979       13.668       6.350e+02    0.00508          4.072e+04   0.32573         3.278e+06   26.221      6.644e+04   0.53156     
7      8.9799       4.0233       14.074       6.110e+02    0.004888         4.074e+04   0.32591         3.276e+06   26.206      6.594e+04   0.5275      
8      8.981        4.0282       13.845       6.170e+02    0.004936         4.072e+04   0.32573         3.279e+06   26.232      6.612e+04   0.52894     
9      8.9817       4.015        13.879       6.260e+02    0.005008         4.070e+04   0.32562         3.275e+06   26.196      6.627e+04   0.53015     
10     8.9818       4.021        13.436       6.620e+02    0.005296         4.070e+04   0.32561         3.278e+06   26.22       6.601e+04   0.52807     
11     8.981        4.0377       13.871       6.400e+02    0.00512          4.070e+04   0.32559         3.276e+06   26.205      6.605e+04   0.52843     
12     8.9814       4.0254       13.431       6.370e+02    0.005096         4.069e+04   0.32552         3.275e+06   26.201      6.600e+04   0.52799     
13     8.981        4.0163       13.72        6.090e+02    0.004872         4.073e+04   0.32583         3.277e+06   26.215      6.626e+04   0.53012     
14     8.9793       4.0662       13.679       6.480e+02    0.005184         4.071e+04   0.32568         3.278e+06   26.228      6.590e+04   0.52719     
15     8.9806       4.0333       13.81        6.000e+02    0.0048           4.071e+04   0.32567         3.278e+06   26.222      6.571e+04   0.52567     
16     8.9821       4.0298       13.753       6.260e+02    0.005008         4.070e+04   0.3256          3.275e+06   26.198      6.588e+04   0.52706     
17     8.9813       4.0059       13.899       6.390e+02    0.005112         4.068e+04   0.32548         3.275e+06   26.201      6.618e+04   0.52946     
18     8.9825       3.9966       13.296       6.660e+02    0.005328         4.072e+04   0.32576         3.277e+06   26.218      6.617e+04   0.52934     
19     8.9818       4.0432       13.588       6.000e+02    0.0048           4.072e+04   0.32574         3.276e+06   26.21       6.616e+04   0.52927     
20     8.9817       4.0008       14.09        6.130e+02    0.004904         4.074e+04   0.32593         3.281e+06   26.245      6.638e+04   0.53102     
21     8.9815       4.0171       13.653       6.640e+02    0.005312         4.069e+04   0.32554         3.276e+06   26.207      6.590e+04   0.52724     
22     8.9815       4.0256       14.159       6.730e+02    0.005384         4.073e+04   0.32582         3.278e+06   26.22       6.597e+04   0.52777     
23     8.9807       4.0678       13.681       6.830e+02    0.005464         4.072e+04   0.32574         3.277e+06   26.212      6.557e+04   0.52458     
24     8.9806       4.0555       13.754       6.200e+02    0.00496          4.074e+04   0.3259          3.275e+06   26.202      6.605e+04   0.52837     
25     8.981        4.0279       13.659       6.760e+02    0.005408         4.071e+04   0.32566         3.277e+06   26.213      6.583e+04   0.52665     
26     8.9814       4.0369       13.935       6.500e+02    0.0052           4.073e+04   0.32582         3.276e+06   26.209      6.593e+04   0.52746     
27     8.9806       4.0465       13.78        6.810e+02    0.005448         4.073e+04   0.32585         3.279e+06   26.23       6.617e+04   0.52938     
28     8.9808       4.0178       13.729       6.520e+02    0.005216         4.070e+04   0.3256          3.274e+06   26.196      6.591e+04   0.52729     
29     8.9808       4.0063       13.705       6.410e+02    0.005128         4.069e+04   0.32553         3.275e+06   26.197      6.582e+04   0.52658     
30     8.981        4.0097       13.851       6.050e+02    0.00484          4.074e+04   0.32589         3.278e+06   26.221      6.629e+04   0.53034     
31     8.9812       4.0369       13.797       6.420e+02    0.005136         4.073e+04   0.32585         3.276e+06   26.208      6.619e+04   0.52949     
32     8.9825       4.0199       13.218       6.330e+02    0.005064         4.070e+04   0.32558         3.276e+06   26.21       6.565e+04   0.52517     
33     8.9823       4.0155       14.048       6.610e+02    0.005288         4.072e+04   0.32578         3.279e+06   26.235      6.620e+04   0.52962     
34     8.9834       3.9994       13.782       6.460e+02    0.005168         4.070e+04   0.32564         3.277e+06   26.215      6.596e+04   0.52769     
35     8.9823       4.0343       13.919       6.450e+02    0.00516          4.074e+04   0.3259          3.278e+06   26.221      6.596e+04   0.52772     
36     8.9819       4.0093       13.73        6.180e+02    0.004944         4.072e+04   0.32574         3.277e+06   26.214      6.557e+04   0.52457     
37     8.9819       4.0343       13.749       6.090e+02    0.004872         4.072e+04   0.32572         3.274e+06   26.195      6.610e+04   0.52879     
38     8.9823       4.0165       13.742       6.410e+02    0.005128         4.074e+04   0.3259          3.278e+06   26.223      6.624e+04   0.52995     
39     8.9817       4.0394       14.005       6.210e+02    0.004968         4.074e+04   0.3259          3.277e+06   26.22       6.609e+04   0.52874     
40     8.9811       4.0105       13.756       6.330e+02    0.005064         4.074e+04   0.3259          3.274e+06   26.194      6.576e+04   0.5261      
41     8.9812       4.0193       13.647       6.250e+02    0.005            4.072e+04   0.32577         3.272e+06   26.177      6.583e+04   0.52662     
42     8.9815       4.0292       13.68        6.380e+02    0.005104         4.075e+04   0.32598         3.278e+06   26.226      6.593e+04   0.52742     
43     8.9815       4.0224       13.639       6.100e+02    0.00488          4.072e+04   0.32577         3.278e+06   26.226      6.622e+04   0.52978     
44     8.9834       4.0285       13.636       6.550e+02    0.00524          4.070e+04   0.3256          3.274e+06   26.19       6.570e+04   0.52564     
45     8.9821       4.0384       13.639       6.330e+02    0.005064         4.071e+04   0.32567         3.277e+06   26.22       6.621e+04   0.52969     
46     8.9823       4.009        13.933       6.430e+02    0.005144         4.071e+04   0.32568         3.275e+06   26.201      6.615e+04   0.52923     
47     8.9822       4.0709       13.601       6.130e+02    0.004904         4.073e+04   0.32582         3.277e+06   26.213      6.601e+04   0.5281      
48     8.9844       4.0205       14.121       6.450e+02    0.00516          4.070e+04   0.32556         3.274e+06   26.189      6.584e+04   0.52674     
49     8.9837       4.0294       13.747       5.890e+02    0.004712         4.069e+04   0.32554         3.279e+06   26.231      6.585e+04   0.52679     
50     8.9839       4.0431       14.159       6.540e+02    0.005232         4.072e+04   0.32579         3.276e+06   26.207      6.594e+04   0.52754     
51     8.9845       4.0392       13.771       6.680e+02    0.005344         4.070e+04   0.3256          3.278e+06   26.226      6.559e+04   0.52472     
52     8.9827       4.0099       13.933       6.540e+02    0.005232         4.073e+04   0.32583         3.276e+06   26.21       6.618e+04   0.52946     
53     8.9825       4.0081       13.62        6.590e+02    0.005272         4.073e+04   0.32587         3.278e+06   26.222      6.608e+04   0.52867     
54     8.982        4.0159       14.198       6.480e+02    0.005184         4.072e+04   0.3258          3.278e+06   26.227      6.548e+04   0.52381     
55     8.9826       4.0355       13.754       6.390e+02    0.005112         4.075e+04   0.32598         3.275e+06   26.2        6.612e+04   0.52893     
56     8.9835       4.0093       13.524       6.400e+02    0.00512          4.073e+04   0.32584         3.276e+06   26.204      6.614e+04   0.52914     
57     8.9829       4.017        13.921       6.550e+02    0.00524          4.070e+04   0.32558         3.278e+06   26.228      6.580e+04   0.52643     
58     8.9837       3.9956       13.215       5.930e+02    0.004744         4.072e+04   0.32576         3.276e+06   26.207      6.585e+04   0.52679     
59     8.9831       4.0284       13.901       6.520e+02    0.005216         4.071e+04   0.32571         3.274e+06   26.193      6.606e+04   0.52846     
60     8.9841       4.0256       13.955       6.660e+02    0.005328         4.074e+04   0.3259          3.276e+06   26.207      6.601e+04   0.52806     
61     8.9834       4.0406       13.952       6.280e+02    0.005024         4.073e+04   0.32582         3.275e+06   26.202      6.608e+04   0.52865     
62     8.9835       4.0263       14.314       6.780e+02    0.005424         4.072e+04   0.32575         3.278e+06   26.227      6.563e+04   0.52507     
63     8.9839       4.0651       13.81        6.720e+02    0.005376         4.072e+04   0.32572         3.276e+06   26.212      6.587e+04   0.52698     
