Performance Recorder: 
Rank | bcastA(ms)  | bcastB(ms)  | compT(ms)  | merge(ms)  | 
0      234.82        239.63        300.87       142.66       
1      227           243.8         305.52       143.68       
2      226.19        246.08        301.74       143.69       
3      229.54        241.66        305.08       141.47       
4      224.08        247           305.72       143.56       
5      225.42        245.98        305.83       143.87       
6      224.66        248.04        303.1        141.9        
7      224.46        246.17        306.23       142.33       
8      418.51        57.513        300.33       145.33       
9      408.57        61.535        306.81       141.89       
10     337.92        61.891        386.57       141.31       
11     410.23        59.431        307.19       141.77       
12     408.87        59.902        306.95       143.65       
13     402.09        63.646        312.6        141.24       
14     410           60.66         304.89       141.95       
15     402.68        63.287        311.62       141.16       
16     199.27        260.41        305.18       142.9        
17     195.34        261.79        306.88       143.34       
18     197.49        263.86        300.67       142.99       
19     194.3         264.22        305.92       143.4        
20     187.85        270.28        306.45       142.18       
21     190.83        267.74        304.64       143.63       
22     186.17        270.97        307.19       142.2        
23     191.29        270.38        304.71       143.32       
24     324.68        140.18        298.84       141.08       
25     314.89        143.67        306.02       142.02       
26     316.27        143.39        303.56       141.01       
27     312.71        144.89        306.82       142.47       
28     312.81        144.11        308.16       142.06       
29     310.75        147.25        304.81       143.12       
30     308.96        145.36        310.06       142.17       
31     310.12        150.26        306.04       143.88       
32     281.74        178.47        304.5        141.35       
33     279.53        181.44        303.1        142.12       
34     285.57        183.66        292.91       143.7        
35     276.89        182.94        304.08       143.23       
36     273.6         182.55        307.59       142.08       
37     273.45        185.8         305.79       142.92       
38     283.04        185.3         294.91       143.05       
39     274.72        186.29        306.15       142.35       
40     259.86        201.74        303.28       143.23       
41     250.8         205.9         306.85       142.08       
42     257.14        210.31        295.47       143.04       
43     251.73        206.25        306.79       143.16       
44     249.18        207.36        307.05       141.41       
45     247.43        209.03        308.38       143.58       
46     256.91        210.59        295.18       142.42       
47     249.85        209.81        307.01       141.52       
48     192.97        271.24        313.93       143.12       
49     198.77        273.28        304.13       143.29       
50     197.79        275.03        301.93       143.48       
51     197.92        271.91        307.18       142.91       
52     190.55        278.03        307.92       141.72       
53     193.73        275.61        308.24       143.73       
54     195.16        277.56        303.41       142.31       
55     194.32        274.65        308.22       143.39       
56     227.34        248.57        300.65       143.34       
57     220.56        250.9         304.77       142.7        
58     219.76        253.05        302.13       142.13       
59     223.54        249.14        303.38       143.14       
60     216.95        253.09        306.17       143.52       
61     216.09        251.8         310.25       141.15       
62     217.35        253.27        305.08       143.67       
63     217.58        251.18        309.02       142.26       
